v,Feature importance based on training set,Feature importance based on test set,Subtypes,colors,x,y,Bit Substructure,Proportion in inhibitors,Proportion in non-inhibitors
PubChemFP684,0.016722722484370345,0.013215370408081628,PubChemFP,#d600ff,34,29,O=C-C-C-C-C,0.7221418234442837,0.5547445255474452
PubChemFP692,0.016716206936629396,0.017171066297267168,PubChemFP,#d600ff,35,29,O=C-C-C-C-C-C,0.6903039073806078,0.5097323600973236
PubChemFP287,0.016003443702501174,0.013798029685092694,PubChemFP,#d600ff,26,13,C-F,0.6237337192474675,0.40145985401459855
PharmacoErGFP22,0.01573938552019849,0.021180594169173284,PharmacoErGFP,#003fff,11,30,"('Donor', 'Acceptor', 2)",0.9927641099855282,0.9817518248175182
PubChemFP685,0.015718393230306604,0.013430898474517172,PubChemFP,#d600ff,34,28,O=C-C-C-C-N,0.36468885672937773,0.19099756690997566
MACCSFP80,0.01552556732747401,0.01875363447317413,MACCSFP,#00c7ff,26,29,"('[#7]~*~*~*~[#7]', 0)",0.6642547033285094,0.559610705596107
MACCSFP120,0.015326665216683577,0.0230755025396846,MACCSFP,#00c7ff,26,25,"('[!#6;R]', 1)",0.7192474674384949,0.6715328467153284
MACCSFP93,0.015156521669094425,0.01931795332577746,MACCSFP,#00c7ff,24,18,"('[!#6;!#1]~[CH3]', 0)",0.6078147612156295,0.45742092457420924
PubChemFP366,0.014853390888743934,0.01629063914496276,PubChemFP,#d600ff,30,20,C(~H)(~O),0.788712011577424,0.6690997566909975
MACCSFP139,0.01478473242075945,0.0056925127282738686,MACCSFP,#00c7ff,27,15,"('[O;!H0]', 0)",0.5904486251808972,0.4233576642335766
PharmacoErGFP150,0.014584266095016174,0.009443613705929943,PharmacoErGFP,#003fff,5,22,"('Acceptor', 'Positive', 4)",0.5021707670043415,0.3467153284671533
MACCSFP92,0.014276676191101678,0.01977674099984328,MACCSFP,#00c7ff,29,27,"('[#8]~[#6](~[#7])~[#6]', 0)",0.8625180897250362,0.7043795620437956
PubChemFP577,0.014260552369523782,0.019697487241692735,PubChemFP,#d600ff,29,33,C:C-N-C:C,0.487698986975398,0.27007299270072993
PubChemFP712,0.014195737420929555,0.020538280083871374,PubChemFP,#d600ff,16,29,C-C(C)-C(C)-C,0.6526772793053546,0.6447688564476886
PharmacoErGFP41,0.013898414363007039,0.009924163573151956,PharmacoErGFP,#003fff,7,34,"('Donor', 'Acceptor', 21)",0.6237337192474675,0.45742092457420924
PubChemFP633,0.013876956613919078,0.015007438565494136,PubChemFP,#d600ff,19,30,N-C-C:C-C,0.9522431259044862,0.9111922141119222
MACCSFP53,0.013425401295150408,0.008878328662831336,MACCSFP,#00c7ff,8,32,"('[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]', 0)",0.48625180897250364,0.305352798053528
PubChemFP439,0.013383787192504326,0.022253707291766678,PubChemFP,#d600ff,31,29,C(-C)(-N)(=O),0.8625180897250362,0.6958637469586375
PubChemFP16,0.01338106334567346,0.017113499205534954,PubChemFP,#d600ff,8,30,>= 4 N,0.24312590448625182,0.17883211678832117
PubChemFP443,0.013113315016067828,0.021223004271680668,PubChemFP,#d600ff,32,29,C(-C)(=O),0.869753979739508,0.7262773722627737
PubChemFP391,0.013105548686667301,0.008401633261727492,PubChemFP,#d600ff,27,27,N(~C)(~C)(~C),0.5455861070911722,0.4537712895377129
PubChemFP579,0.013082627684728454,0.01299338758460511,PubChemFP,#d600ff,33,28,O=C-C-C-C,0.7308248914616498,0.5802919708029197
PharmacoErGFP6,0.012506660561015737,0.01159632593733384,PharmacoErGFP,#003fff,7,30,"('Donor', 'Donor', 7)",0.3661360347322721,0.30900243309002434
PharmacoErGFP4,0.012498645657242458,0.0076043028767391885,PharmacoErGFP,#003fff,8,31,"('Donor', 'Donor', 5)",0.5600578871201157,0.4172749391727494
PubChemFP364,0.012287232946519788,0.01554737507448356,PubChemFP,#d600ff,26,12,C(~F)(:C),0.492040520984081,0.35036496350364965
MACCSFP144,0.01222593863292648,0.019780785503251908,MACCSFP,#00c7ff,20,24,"('*!:*:*!:*', 0)",0.492040520984081,0.41605839416058393
PharmacoErGFP101,0.01221680027444283,0.01305747210311603,PharmacoErGFP,#003fff,13,32,"('Donor', 'Hydrophobic', 18)",0.9768451519536903,0.9549878345498783
PubChemFP24,0.01146988454101655,0.007432475951071327,PubChemFP,#d600ff,25,15,>= 2 F,0.48191027496382055,0.27858880778588807
PubChemFP420,0.0113736130481909,0.010888965902267955,PubChemFP,#d600ff,32,27,C=O,0.8712011577424024,0.7311435523114356
PubChemFP451,0.011341427806918769,0.013256431430100357,PubChemFP,#d600ff,30,27,C(-N)(=O),0.8639652677279306,0.7019464720194647
PharmacoErGFP120,0.011202217927029412,0.008464317159929458,PharmacoErGFP,#003fff,25,24,"('Donor', 'Aromatic', 16)",0.5947901591895803,0.6228710462287105
PubChemFP566,0.011078534154740971,0.006274803351659863,PubChemFP,#d600ff,30,23,O-C-C-N,0.6208393632416788,0.5523114355231143
PubChemFP659,0.011075335414502896,0.004124377498795351,PubChemFP,#d600ff,29,23,O-C-C-N-C,0.6049204052098408,0.4586374695863747
PubChemFP628,0.010909305764448818,0.008794777785384955,PubChemFP,#d600ff,23,29,C-N-C-C:C,0.849493487698987,0.7992700729927007
PharmacoErGFP207,0.010733351736158248,0.010135419852878469,PharmacoErGFP,#003fff,12,23,"('Acceptor', 'Hydrophobic', 19)",0.9247467438494935,0.8479318734793188
PubChemFP552,0.010726064292007786,0.009200603737171131,PubChemFP,#d600ff,13,28,C:C-C:C,0.9927641099855282,0.9854014598540146
PharmacoErGFP144,0.010708973998221183,0.014636561152751915,PharmacoErGFP,#003fff,3,33,"('Acceptor', 'Acceptor', 19)",0.9030390738060782,0.7700729927007299
MACCSFP25,0.010605601174372037,0.019647059128098943,MACCSFP,#00c7ff,17,35,"('[#7]~[#6](~[#7])~[#7]', 0)",0.27496382054992763,0.27007299270072993
PharmacoErGFP83,0.010231475351707375,0.0079044192320189,PharmacoErGFP,#003fff,7,28,"('Donor', 'Negative', 21)",0.4833574529667149,0.5815085158150851
MACCSFP66,0.010189220470410931,0.009878913491296437,MACCSFP,#00c7ff,13,20,"('[#6]~[#6](~[#6])(~[#6])~*', 0)",0.6353111432706223,0.5961070559610706
PharmacoErGFP42,0.010146386209925362,0.008477942555481066,PharmacoErGFP,#003fff,7,33,"('Donor', 'Positive', 1)",0.6251808972503617,0.4805352798053528
PubChemFP476,0.009909576453722646,0.006044870034920158,PubChemFP,#d600ff,34,19,C-O-C=C,0.5253256150506512,0.3333333333333333
PubChemFP405,0.009597625865885806,0.00422231420510033,PubChemFP,#d600ff,31,19,O(~C)(~C),0.6338639652677279,0.48175182481751827
PharmacoErGFP29,0.009259926314727385,0.009782279625620838,PharmacoErGFP,#003fff,8,21,"('Donor', 'Acceptor', 9)",0.7858176555716353,0.6228710462287105
PubChemFP341,0.009200193139403068,0.00535859814523354,PubChemFP,#d600ff,31,15,C(~C)(~C)(~O),0.7901591895803184,0.6593673965936739
PubChemFP18,0.009017510898363168,0.0036040146009518326,PubChemFP,#d600ff,27,21,>= 1 O,0.9884225759768451,0.940389294403893
PharmacoErGFP87,0.008970314903042398,0.009123265367203537,PharmacoErGFP,#003fff,4,27,"('Donor', 'Hydrophobic', 4)",0.41678726483357453,0.32116788321167883
PubChemFP257,0.008903042315207166,0.01026262422735602,PubChemFP,#d600ff,13,23,>= 2 aromatic rings,0.9696092619392185,0.9184914841849149
PubChemFP565,0.008784585098749464,0.008558273678461625,PubChemFP,#d600ff,35,18,C:C-O-C,0.5253256150506512,0.3333333333333333
PubChemFP704,0.008744543470530775,0.009870988646166756,PubChemFP,#d600ff,35,30,O=C-C-C-C-C-C-C,0.6164978292329957,0.4416058394160584
PubChemFP20,0.008743741150275763,0.004436620648974876,PubChemFP,#d600ff,26,21,>= 4 O,0.4703328509406657,0.2798053527980535
MACCSFP62,0.008692214299380108,0.012454421932680426,MACCSFP,#00c7ff,17,24,"('*@*!@*@*', 0)",0.5383502170767004,0.5948905109489051
PubChemFP698,0.008665562726505316,0.0043174215097678825,PubChemFP,#d600ff,33,11,O-C-C-C-C-C-C-C,0.7959479015918958,0.6618004866180048
MACCSFP94,0.008598625377082225,0.014125015393610219,MACCSFP,#00c7ff,18,30,"('[!#6;!#1]~[#7]', 0)",0.24746743849493488,0.20194647201946472
MACCSFP155,0.00853370801778508,0.0024551674876802654,MACCSFP,#00c7ff,25,19,"('*!@[CH2]!@*', 0)",0.7597684515195369,0.6885644768856448
PubChemFP641,0.008357559487681576,0.007254881997237339,PubChemFP,#d600ff,32,14,O-C-C-C=C,0.5586107091172214,0.4586374695863747
PubChemFP576,0.008187872597712975,0.022480536570104626,PubChemFP,#d600ff,29,31,N=C-C:C-[#1],0.4963820549927641,0.3686131386861314
PubChemFP445,0.008138814528495797,0.010441647197646842,PubChemFP,#d600ff,32,31,C(-H)(-N)(=C),0.48191027496382055,0.305352798053528
MACCSFP128,0.008122690227979512,0.007028290193901721,MACCSFP,#00c7ff,16,20,"('[$(*~[CH2]~*~*~*~[CH2]~*),$([R]1@[CH2;R]@[R]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[R]@[CH2;R]1),$(*~[CH2]~*~[R]1@[R]@[CH2;R]1)]', 0)",0.5774240231548481,0.5486618004866181
MACCSFP147,0.008119669253601136,0.0075915228923182365,MACCSFP,#00c7ff,17,21,"('[$(*~[CH2]~[CH2]~*),$([R]1@[CH2;R]@[CH2;R]1)]', 0)",0.61794500723589,0.5291970802919708
MACCSFP112,0.007888860447035906,0.007047725482200451,MACCSFP,#00c7ff,21,19,"('*~*(~*)(~*)~*', 0)",0.8350217076700435,0.7639902676399026
PharmacoErGFP383,0.007703004805332647,0.004568516158063751,PharmacoErGFP,#003fff,8,24,"('Hydrophobic', 'Hydrophobic', 6)",0.41244573082489144,0.5170316301703163
PharmacoErGFP122,0.0076912406544308864,0.0014693178879832125,PharmacoErGFP,#003fff,25,22,"('Donor', 'Aromatic', 18)",0.8147612156295224,0.7968369829683698
PubChemFP352,0.007660904958601722,0.003391429143927205,PubChemFP,#d600ff,28,20,C(~C)(~O),0.9884225759768451,0.9355231143552312
PharmacoErGFP403,0.007592336650146914,0.010059632550875941,PharmacoErGFP,#003fff,13,25,"('Hydrophobic', 'Aromatic', 5)",0.5195369030390738,0.5206812652068127
MACCSFP118,0.007490032986393336,0.004266701306302245,MACCSFP,#00c7ff,19,21,"('[$(*~[CH2]~[CH2]~*),$(*1~[CH2]~[CH2]1)]', 1)",0.5947901591895803,0.4732360097323601
PharmacoErGFP188,0.007469241325175846,0.010210478135329493,PharmacoErGFP,#003fff,5,24,"('Acceptor', 'Negative', 21)",0.5195369030390738,0.4854014598540146
PharmacoErGFP25,0.007318985510246123,-0.0013532304215723157,PharmacoErGFP,#003fff,10,29,"('Donor', 'Acceptor', 5)",0.9565846599131693,0.7968369829683698
PubChemFP607,0.007249605418991056,0.009763447128199543,PubChemFP,#d600ff,19,29,N-C-C-C:C,0.9927641099855282,0.9233576642335767
PubChemFP710,0.0072191278886508115,0.003002778271605333,PubChemFP,#d600ff,15,30,C-C-C(C)-C-C,0.9971056439942113,0.9695863746958637
PubChemFP519,0.0071986267873286325,0.023797472671599484,PubChemFP,#d600ff,21,34,N=C-N-C,0.32850940665701883,0.3734793187347932
PubChemFP617,0.007174590906543932,0.0034146852589114207,PubChemFP,#d600ff,28,15,C-C-C-O-[#1],0.5861070911722142,0.4197080291970803
PharmacoErGFP200,0.0071537468443366725,0.00125984564472581,PharmacoErGFP,#003fff,24,22,"('Acceptor', 'Hydrophobic', 12)",0.9001447178002895,0.7846715328467153
PubChemFP363,0.007064795598372309,0.002723033092670968,PubChemFP,#d600ff,26,15,C(~F)(~F),0.25615050651230103,0.08880778588807786
PubChemFP470,0.007020618168306181,0.002856619791648529,PubChemFP,#d600ff,12,27,C:C-C=C,0.9927641099855282,0.9854014598540146
PharmacoErGFP391,0.006976599825838592,0.00942858726270246,PharmacoErGFP,#003fff,2,25,"('Hydrophobic', 'Hydrophobic', 14)",0.38639652677279307,0.2749391727493917
PubChemFP589,0.006830151918900296,-0.0019350229214116776,PubChemFP,#d600ff,34,17,C-C:C-O-C,0.5180897250361794,0.3284671532846715
PharmacoErGFP20,0.0068022779911594555,-0.0003542658018168554,PharmacoErGFP,#003fff,11,33,"('Donor', 'Donor', 21)",0.8914616497829233,0.8880778588807786
MACCSFP141,0.006793436640200046,0.010734895130888988,MACCSFP,#00c7ff,17,18,"('[CH3]', 2)",0.5340086830680174,0.38929440389294406
PubChemFP356,0.006743650282165503,0.002478009947624593,PubChemFP,#d600ff,14,28,C(~C)(:C)(:C),0.9927641099855282,0.9537712895377128
PharmacoErGFP109,0.006623646977245934,0.009738136652710061,PharmacoErGFP,#003fff,9,21,"('Donor', 'Aromatic', 5)",0.507959479015919,0.4172749391727494
PharmacoErGFP21,0.006620337369645846,0.00017356919737432364,PharmacoErGFP,#003fff,11,31,"('Donor', 'Acceptor', 1)",0.9811866859623734,0.9720194647201946
MACCSFP140,0.00659030569343988,0.0030734797473996878,MACCSFP,#00c7ff,27,19,"('[#8]', 3)",0.47756874095513746,0.2871046228710462
PubChemFP372,0.006526446177081535,0.007869698317862439,PubChemFP,#d600ff,33,33,C(~H)(:C)(:N),0.4804630969609262,0.2944038929440389
PharmacoErGFP263,0.006464257555405695,0.0032091713426205537,PharmacoErGFP,#003fff,7,29,"('Positive', 'Negative', 12)",0.35021707670043417,0.4282238442822384
PharmacoErGFP400,0.0063884635804190015,0.0036327587050005716,PharmacoErGFP,#003fff,19,27,"('Hydrophobic', 'Aromatic', 2)",0.36324167872648333,0.27858880778588807
PharmacoErGFP389,0.006367444220164498,0.008351652233518303,PharmacoErGFP,#003fff,3,26,"('Hydrophobic', 'Hydrophobic', 12)",0.4182344428364689,0.2761557177615572
PubChemFP258,0.006307518043149274,0.003947706856323729,PubChemFP,#d600ff,26,19,>= 2 hetero-aromatic rings,0.32416787264833574,0.19464720194647203
PubChemFP602,0.006231791578995227,0.004296550600740412,PubChemFP,#d600ff,30,25,O=C-C-N-C,0.20549927641099855,0.20072992700729927
PubChemFP520,0.006193177077259249,-0.0017861771392697623,PubChemFP,#d600ff,12,28,C=C-C:C,0.9927641099855282,0.9854014598540146
PharmacoErGFP265,0.006172469564644234,0.0031348312630525843,PharmacoErGFP,#003fff,6,27,"('Positive', 'Negative', 14)",0.341534008683068,0.35523114355231145
PubChemFP2,0.006162105515081617,0.009583790218273713,PubChemFP,#d600ff,20,18,>= 16 H,0.9522431259044862,0.9513381995133819
PubChemFP666,0.006066478194076241,0.0010954663272346732,PubChemFP,#d600ff,33,19,C=C-C-O-C,0.5441389290882779,0.38686131386861317
PubChemFP406,0.005997566236683349,0.0027277644472442075,PubChemFP,#d600ff,28,16,O(~C)(~H),0.5904486251808972,0.4233576642335766
PubChemFP346,0.005964777466344606,0.0020192404205628955,PubChemFP,#d600ff,29,19,C(~C)(~H)(~O),0.6888567293777135,0.5790754257907542
PubChemFP600,0.005934919679560502,0.007125157518251046,PubChemFP,#d600ff,20,32,N-C:C:C-C,0.6772793053545586,0.5547445255474452
PharmacoErGFP88,0.005934647331783949,0.007911886148289526,PharmacoErGFP,#003fff,4,24,"('Donor', 'Hydrophobic', 5)",0.42981186685962375,0.3175182481751825
PubChemFP381,0.005907981016640418,0.0034028168026308814,PubChemFP,#d600ff,33,14,C(~O)(:C),0.5499276410998553,0.4075425790754258
PubChemFP632,0.005789908153593759,0.005628212972384805,PubChemFP,#d600ff,34,21,C-C-O-C:C,0.27206946454413894,0.1630170316301703
PubChemFP800,0.005773759073162188,0.009286996418316096,PubChemFP,#d600ff,18,31,CC1CC(N)CCC1,0.28075253256150506,0.20681265206812652
PubChemFP596,0.005755836063416786,0.011464853896636873,PubChemFP,#d600ff,24,34,N=C-N-C-C,0.32850940665701883,0.3722627737226277
PharmacoErGFP145,0.005634305338771628,0.0031801366452495206,PharmacoErGFP,#003fff,4,32,"('Acceptor', 'Acceptor', 20)",0.8596237337192475,0.648418491484185
PubChemFP646,0.005630419554077226,0.005078590868690336,PubChemFP,#d600ff,28,27,O=C-N-C-[#1],0.7945007235890015,0.6301703163017032
PubChemFP259,0.005613476779333049,0.005363652059091506,PubChemFP,#d600ff,13,21,>= 3 aromatic rings,0.573082489146165,0.44038929440389296
PubChemFP491,0.0055627243352807665,0.0029321641655100095,PubChemFP,#d600ff,32,33,C-N:C-[#1],0.47467438494934877,0.29075425790754256
PharmacoErGFP388,0.005487951011423853,0.011216141776745459,PharmacoErGFP,#003fff,4,26,"('Hydrophobic', 'Hydrophobic', 11)",0.33719247467438496,0.3102189781021898
MACCSFP83,0.005400572762938094,-0.0010384491845463195,MACCSFP,#00c7ff,24,17,"('[!#6;!#1]1~*~*~*~*~1', 0)",0.5774240231548481,0.5681265206812652
MACCSFP146,0.005381314403354376,0.003060950663271611,MACCSFP,#00c7ff,28,23,"('[#8]', 2)",0.6324167872648335,0.45985401459854014
PubChemFP332,0.005360357204600319,-0.0015559408753975656,PubChemFP,#d600ff,24,20,C(~C)(~C),1.0,1.0
MACCSFP135,0.005359576023780288,0.00690124127676861,MACCSFP,#00c7ff,19,33,"('[#7]!:*:*', 0)",0.3979739507959479,0.41362530413625304
PharmacoErGFP84,0.005173111624278748,0.001989301292556589,PharmacoErGFP,#003fff,7,27,"('Donor', 'Hydrophobic', 1)",0.47756874095513746,0.5304136253041363
PharmacoErGFP384,0.0050847919075749926,0.003290527318696168,PharmacoErGFP,#003fff,9,23,"('Hydrophobic', 'Hydrophobic', 7)",0.38060781476121563,0.3637469586374696
MACCSFP49,0.005081395919950382,0.0027921537916163475,MACCSFP,#00c7ff,31,33,"('[!+0]', 0)",0.6208393632416788,0.5072992700729927
PharmacoErGFP405,0.004984380841622726,-0.0008971796295985657,PharmacoErGFP,#003fff,12,24,"('Hydrophobic', 'Aromatic', 7)",0.6309696092619392,0.5912408759124088
PubChemFP626,0.004978244942718757,-0.001985697110955531,PubChemFP,#d600ff,35,17,C-O-C:C-C,0.5180897250361794,0.3284671532846715
PubChemFP355,0.004921126802219067,0.0030633762063715375,PubChemFP,#d600ff,19,24,C(~C)(:C),0.9942112879884226,0.98661800486618
PubChemFP594,0.004873194639457457,-0.000705724459533652,PubChemFP,#d600ff,32,19,C-O-C-C=C,0.5441389290882779,0.38686131386861317
PharmacoErGFP382,0.0047799353787486565,0.0015036691543891534,PharmacoErGFP,#003fff,9,25,"('Hydrophobic', 'Hydrophobic', 5)",0.4182344428364689,0.5121654501216545
PharmacoErGFP82,0.004702832093625875,0.003547718113527276,PharmacoErGFP,#003fff,8,26,"('Donor', 'Negative', 20)",0.40955137481910275,0.4635036496350365
MACCSFP95,0.004603783285662855,-0.003268666566950018,MACCSFP,#00c7ff,28,25,"('[#7]~*~*~[#8]', 0)",0.8842257597684515,0.7141119221411192
PubChemFP192,0.004526422294203081,0.003515798226305211,PubChemFP,#d600ff,14,20,>= 3 any ring size 6,0.7496382054992764,0.6909975669099757
PubChemFP339,0.0045001025795108895,0.002254740639871522,PubChemFP,#d600ff,29,16,C(~C)(~C)(~H)(~O),0.5846599131693199,0.43795620437956206
MACCSFP152,0.004492709610884438,-0.005719585832067442,MACCSFP,#00c7ff,30,15,"('[#8]~[#6](~[#6])~[#6]', 0)",0.7901591895803184,0.6593673965936739
PharmacoErGFP209,0.00449150163638945,0.003510817505517294,PharmacoErGFP,#003fff,11,20,"('Acceptor', 'Hydrophobic', 21)",0.7930535455861071,0.6922141119221411
PharmacoErGFP45,0.004486617174053409,0.0028673092249511534,PharmacoErGFP,#003fff,6,31,"('Donor', 'Positive', 4)",0.24312590448625182,0.20559610705596107
PubChemFP604,0.0043746600765061094,-0.0003532656149840552,PubChemFP,#d600ff,33,18,C-O-C-C:C,0.5369030390738061,0.3771289537712895
PharmacoErGFP409,0.004318849849784034,0.0019272967688984677,PharmacoErGFP,#003fff,11,18,"('Hydrophobic', 'Aromatic', 11)",0.5759768451519537,0.38929440389294406
MACCSFP38,0.004301277894819211,0.0036902749508092025,MACCSFP,#00c7ff,22,35,"('[#7]~[#6](~[#6])~[#7]', 0)",0.14616497829232997,0.20802919708029197
PubChemFP180,0.00429450793317826,-0.0033664155198493972,PubChemFP,#d600ff,26,28,>= 1 saturated or aromatic nitrogen-containing ring size 6,0.5947901591895803,0.5948905109489051
PubChemFP535,0.0042919768206197695,0.006764387639123015,PubChemFP,#d600ff,32,28,O=C-C-C,0.7496382054992764,0.5936739659367397
PubChemFP623,0.0042870404801046424,0.005795304494983444,PubChemFP,#d600ff,33,29,O=C-C:C-C,0.3849493487698987,0.2798053527980535
PharmacoErGFP30,0.004266358275362869,0.0030527564430438137,PharmacoErGFP,#003fff,7,20,"('Donor', 'Acceptor', 10)",0.5615050651230101,0.4781021897810219
PubChemFP373,0.004225881229835915,0.0027834661519400283,PubChemFP,#d600ff,35,33,C(~H)(:N),0.48191027496382055,0.29927007299270075
PubChemFP506,0.004203797623030192,0.010712406163005839,PubChemFP,#d600ff,30,31,C-C:N:C,0.5007235890014472,0.4051094890510949
PubChemFP578,0.004178485629718343,0.008434396908054809,PubChemFP,#d600ff,12,25,C-C:C-C:C,0.9927641099855282,0.9854014598540146
