,smiles,malaria,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
34,C=CCN1CCC(CC1)N(Cc2cccc(Oc3ccccc3)c2)C(=O)C(c4ccccc4)c5ccccc5,0.12923230502594507,3,4,3,3,3,5,5,4,2,3
35,Clc1ccc2c(NC3CCC(CC3)NC(=O)CCC4CCCC4)ccnc2c1,0.013902905168991434,3,2,2,5,2,1,2,2,4,5
36,CC(C)NC(=O)c1ccc2CN(CC3CCCCC3)C(=Nc2c1)\C=C\c4ccccc4,0.22314355131420974,2,5,4,2,5,4,5,2,5,2
37,COc1ccc(NC(=O)CCNc2cc(C)nc(NCCc3ccc(F)cc3)n2)cc1,-0.1643585299373308,4,4,3,2,2,4,3,5,2,1
38,COc1ccc(NC(=O)NC2CCN(C2)c3ccnc4cc(Cl)ccc34)cc1,-2.3095886104697767,1,5,3,2,3,5,5,1,2,4
39,NS(=O)(=O)c1ccc(CNC(=O)c2cnc3c(O)cccc3c2Nc4cccc(NC(=O)c5ccc(Cl)c(Cl)c5)c4)cc1,0.5439156077296672,5,2,5,1,4,4,5,1,1,1
40,CCCCCCCCc1c(C)nc(C)c(C#N)c1O,-0.9102283105420238,5,1,2,4,1,4,3,2,1,3
41,COc1ccc(NC(=O)C=Cc2ccc(Oc3ccccc3Cl)c(c2)[N+](=O)[O-])cc1OCCN(C(C)C)C(C)C,-0.12387803372737607,3,5,2,4,3,2,2,1,5,5
42,CN(Cc1ccc(NC(=O)NC2CCN(CC2)C(=O)\C=C\c3ccc(Cl)c(Cl)c3)cc1)C4CCOCC4,-0.13258321257504985,4,1,1,5,4,1,4,4,1,1
43,CC(C)C[C@H](NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCc2ccccc2)\C=N\NC(=O)c3ccccc3,-0.20773080895913615,5,1,4,1,2,3,4,1,2,5
44,CC[n+]1c(\C=C\N(C)c2ccccc2)sc(c3ccccc3)c1c4ccccc4,0.09166718852582385,1,3,3,2,4,4,3,5,5,2
45,COc1ccc(CC(C)NCC(O)c2ccc(Cl)c(Cl)c2)cc1,-0.3330750870734957,4,3,2,2,1,4,4,3,3,3
46,CCNc1cc(cc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)C)N3CC(CCS3(=O)=O)c4ccccc4,-0.8866192539419196,5,4,1,3,5,1,4,4,4,3
47,CCOc1ccc(cc1OCC)C(C)NC(=O)c2cc(Cl)ccc2OC,-0.029740648184515737,2,4,2,1,5,1,1,5,3,3
48,CCC(=O)N(C1CCN(CCC2(CN(CCO2)C(=O)C3CCCCC3)c4ccc(Cl)c(Cl)c4)CC1)c5ccccc5,-0.2690713905344565,2,5,2,1,3,4,2,1,1,4
49,[O-][N+](=O)c1oc(cc1)C(=O)N2CCN(CC2)c3cccc(Cl)c3,1.8453002361560848,5,4,3,4,4,1,1,4,2,5
50,CN(CCCc1c[nH]c2ccccc12)CCC3CCC(CC3)NC(=O)\C=C\c4ccc(Cl)c(Cl)c4,-0.43136630931011255,3,3,4,1,4,5,2,5,1,3
51,NS(=O)(=O)CCc1cccc(Nc2nccc(n2)c3c(nn4ccccc34)c5cccc(NC(=O)c6c(F)cccc6F)c5)c1,-2.84063447666944,3,4,2,2,5,1,1,4,4,5
52,Cc1cc(C)n2nc(cc2n1)c3ccc(Cl)cc3,-0.3783364407199117,1,2,5,3,4,3,4,3,1,1
53,COc1cc2CC(C)(C)N=C(CCCCCl)c2cc1OC,-1.0700248318161971,5,3,5,1,3,4,5,5,3,5
54,OC(CNCc1occc1)Cn2c3ccc(Br)cc3c4cc(Br)ccc24,0.07049133449693913,1,5,5,3,1,3,5,1,1,2
55,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4cc(C)ccc4C)cc(OC)c1OC,0.11005157411763118,1,1,1,3,1,2,2,1,4,2
56,CCC1(C)CC(CCNCc2ccccc2O)(CCO1)c3ccccc3OC,-0.32720768264144,1,4,2,3,2,5,3,4,5,1
57,COc1ccc2c(NN=Cc3ccccc3F)cc(C)nc2c1,-0.0029000059553574717,4,5,5,3,1,1,1,1,4,2
58,COc1cccc(CNC(=O)c2cc(CNCc3ccccc3)ccc2c4cccc(CNCc5ccc(cc5)c6ccccc6)c4)c1,-0.16573801696938187,2,3,2,2,3,3,3,2,2,1
59,COCCN1CCC(CNCC(C)(C)c2nc(c3ccc(Cl)c(O)c3)c([nH]2)c4ccncc4)CC1,-0.2841932335341445,5,5,5,1,2,2,2,3,1,2
60,COc1cccc2cc(oc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCc3ccccc3)\C=N\NC(=O)N4CCN(C)CC4,-0.4839106012581965,1,2,3,1,3,2,1,4,1,5
61,CO\C(=C/1\C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccc(Cl)cc4Cl)\O,-1.780226233414382,4,5,2,3,1,5,1,2,4,4
62,Oc1ccc(cc1c2cccc(c2)C(F)(F)F)C(=O)N[C@@H](CC3CCCCC3)C(=O)NCCN4CCCCC4,-0.18505957534805828,1,3,5,1,1,2,1,2,5,4
63,O=C(NCC1CC1)C2CCN(CC2)C(c3ccccc3)c4nc5ccccc5s4,0.015653692159442532,2,4,5,5,3,1,3,4,1,2
64,CCCCCSc1cc(O)c(cc1OC)C(CNC)C(C)C,-1.8145655972000063,1,5,3,3,5,4,3,1,2,3
65,CC(=O)c1ccccc1OCCSc2nnc(Cc3cccs3)n2C4CCCCC4,-0.0845076100317139,3,1,2,3,1,3,2,2,4,2
66,[O-][N+](=O)c1cccc(c1)c2oc(\C=C\C(=O)Nc3nccs3)cc2,0.22314355131420974,4,1,5,2,5,5,2,4,2,4
67,Clc1ccc(NC(=O)c2ccc(CN3CCCN(Cc4ccsc4)CC3)cc2)cc1,-0.1488695452663063,1,5,4,3,2,4,1,3,4,1
68,CO[C@H]1Nc2cc(O)c(OC)cc2C(=O)N3C\C(=C/C)\C[C@@H]13,0.02664193094642109,5,3,1,3,1,3,2,4,1,5
69,COC(\C=C\c1csc(n1)c2csc(n2)C(C)\C=C\C=C\C(C)C)C(C)\C(=C\C(=O)N)\OC,0.2110709700799406,3,3,1,3,4,4,4,5,1,2
70,OCCNc1nc(Nc2ccc(Br)cc2)nc3ccccc13,-0.18729389842051247,2,2,3,1,2,2,5,1,1,4
71,CC(C)N1CCC(CC1)N(Cc2ccc(cc2)c3ccc(cc3)C(F)(F)F)C(=O)CN4C(=CC(=O)c5ccccc45)SCc6cccc(F)c6F,-0.202375887364746,3,2,1,4,4,1,2,2,4,1
72,CCCCCC(=O)N(CCN(C)C)C(CC)C1=Nc2ccccc2C(=O)N1c3ccc(F)cc3,0.22314355131420974,1,4,4,1,5,2,2,5,4,2
73,Cc1ccc(Oc2ccc(NC(=O)CNc3ccccc3N4CCCC4=O)cc2)cc1,-1.0062367744218546,3,5,3,3,2,1,3,3,1,4
74,O=C(N1CCc2cc3nccc(N4CCN5CCC[C@H]5C4)c3cc12)c6csc(n6)c7cccnc7,-0.3634565269803304,2,4,4,5,4,3,5,3,1,5
75,COc1cc(OC)cc(C=CC(=O)N2CCC(CN3CCC(CC3)c4c[nH]c5ccccc45)CC2)c1,-0.2187745393616024,1,4,2,4,5,3,2,4,5,5
76,CC1(C)[C@H]2CC[C@@H](CNc3nc(NCCc4c[nH]cn4)nc(Nc5ccc6OCOc6c5)n3)[C@@H]1C2,-0.6221253174027938,1,1,3,4,1,1,1,2,4,4
77,CSc1nccc(n1)c2cc(F)cc3CC(CNC(=O)C4CC(=O)c5ccccc45)Oc23,0.5900064216404319,1,1,5,4,2,1,3,2,1,2
78,CN1CCCN(Cc2ccc(cc2)c3ccc(NC(=O)c4ccc(cc4)C#N)cc3)CC1,0.015385039992143947,4,2,1,5,4,1,2,5,4,2
79,CC(Sc1ccc(Cl)cc1)C(=O)Nc2ccc(Br)cc2F,2.70805020110221,3,4,4,3,4,1,4,1,3,1
80,CCCC(=O)NC(c1ccc(Cl)cc1Cl)c2ccc3cccnc3c2O,0.806386576166456,2,5,1,1,1,5,1,2,4,1
81,CN(C)CCNC(=O)c1ccc(cc1)c2cnc3ccc(NCc4ccc(Cl)c(Cl)c4)nn23,-0.09098272217037356,4,2,1,2,2,5,5,2,3,2
82,CC1CN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4cc(C)cc(C)c4)CC(C)O1,-0.06340482481416729,4,4,2,2,1,3,4,1,1,3
83,CN1C(=O)NC2=C(N(C)C(=O)N2C)C1=O,-0.04395188752918283,1,2,1,5,2,5,5,3,2,3
84,COc1cccc(c1)C(=O)N2CCOC(CCN3CCC(CC3)c4ccccc4)(C2)c5ccc(Cl)c(Cl)c5,-0.6830765123931467,2,1,3,1,1,3,2,3,4,1
85,COc1ccc2nccc([C@@H](O)CN3CCC(CC3)NCc4cc5c(F)ccc(F)c5[nH]4)c2n1,-0.3587572762027606,2,4,5,5,2,3,3,3,3,4
86,Cc1ccc2nc(C)cc(NN=Cc3ccc(cc3)[N+](=O)[O-])c2c1,-0.2319426336957784,2,1,1,5,4,5,5,2,4,5
87,COc1ccc(Nc2ncc(C#N)c(Nc3ccccc3C(=O)N)n2)cc1N4CCN(C)CC4,-1.995308628160764,1,1,4,4,1,1,2,3,1,5
88,COc1ccc(NC(=O)NC2CCN(CCCOc3ccnc4cc(Cl)ccc34)C2)cc1OC,-0.23332349026279925,3,3,5,5,4,3,2,1,2,4
89,CCN(CC)CCN1C(C2=C(Oc3ccc(F)cc3C2=O)C1=O)c4cccc(Cl)c4,-0.6336722414931732,5,3,1,4,2,4,1,5,2,2
90,Cc1ccccc1Cc2c(C)nc3c(C#N)c(C)nn3c2C,-1.2662028808620702,4,1,4,5,3,1,4,3,2,1
91,Clc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4c(cccc34)c5ccccc5)cc1Cl,-1.4034662537549452,1,2,2,2,5,4,4,2,2,5
92,O=C(C1CCC(CN2C(=S)Nc3ccccc3C2=O)CC1)N4CCC(=CC4)c5ccccc5,-0.03666398437159147,4,3,4,3,4,3,1,3,4,2
93,CC12CCC(CN(CC(O)Cn3c4ccccc4c5cc(I)ccc35)C1)C2(C)C,0.15043973908174613,5,4,2,4,3,4,5,1,5,2
94,Oc1ccc(NC(=O)c2cccc(c2)S(=O)(=O)N3CCCCC3)cc1,1.9329696377795784,1,3,2,5,3,2,3,3,1,3
95,CN1CCC(CC1)C(=O)Nc2ccc(cc2)c3ccc(s3)c4nc5ccccc5[nH]4,-0.2028228633816768,3,5,5,4,2,3,5,2,3,3
96,Cc1ccn2c(NC(C)(C)CC(C)(C)C)c(nc2c1)c3ccccc3OC(=O)C(C)(C)CCl,-0.3581045367483269,5,2,4,2,4,1,3,5,4,1
97,CCCC(C)Nc1nc(C)cc(N[C@@H](CC(C)C)C(=O)Nc2ccc(OC)cc2)n1,-0.14371300635865727,1,3,3,2,4,5,3,2,1,1
98,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(O)c4C(=C3C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O)O)C#Cc5ccccn5,-0.2742923627188765,1,3,1,2,3,4,1,1,2,4
99,CC(=O)Nc1ccc2nc(C)sc2c1,0.22314355131420974,1,1,2,3,1,3,2,1,3,5
100,COc1ccc(cc1OC)S(=O)(=O)NC2CCN(CCCOc3ccnc4cc(Cl)ccc34)C2,0.04448426708603454,4,5,4,1,3,2,3,5,2,5
101,CC1(C)N=C(N)N=C(N)N1OCCCOc2cccc(Cl)c2,-5.744604469176456,2,5,4,2,2,3,4,1,4,2
102,Oc1ccc(C[C@H](NC(=O)Nc2ccc(Oc3ccccc3)cc2)C(=O)NC4CCN(Cc5ccc(O)c(c5)[N+](=O)[O-])C4)cc1,0.41476353410828976,1,5,3,2,5,4,1,1,2,5
103,Clc1ccc(cc1)c2oc(cc2)C(=O)N3CCc4cc5nccc(N6CCN7CCC[C@H]7C6)c5cc34,-1.770028848764544,5,2,4,1,1,1,1,5,4,5
104,Nc1cccc(CNCc2ccc(cc2)c3cccc(c3)c4nc5ccccc5[nH]4)c1,-0.3429134801612267,4,4,5,5,2,5,1,2,3,4
105,[O-][N+](=O)c1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=S)NCCc3ccccc3,-2.330984567515744,2,1,5,2,3,4,4,1,4,4
106,CN(C)CCCNc1cc(nc2ccccc12)c3ccccc3,-2.096384262410148,3,3,5,4,5,2,5,4,5,2
107,CCOc1ccc(cc1)N2N=C(C(=O)NCCCN(C)Cc3ccccc3)c4ccccc4C2=O,2.4141264677269527,1,3,3,4,2,4,5,5,3,4
108,Clc1cccc(c1)C23N=C(Nc4nc5ccccc5[nH]4)NC2(NC(=N3)Nc6nc7ccccc7[nH]6)c8ccccc8,-0.6562309996485748,3,5,3,4,1,1,3,5,4,5
109,Fc1cc(ccc1c2nc3cc(Cl)c(Cl)cc3[nH]2)C(=O)NC4CCN(Cc5ccccc5)CC4,-0.3062137943304873,3,5,1,3,5,4,4,5,3,2
110,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccccc2CN3N=C(C=CC3=O)N4CCNCC4,-0.16665022449838934,3,2,1,4,1,4,3,5,1,1
111,CCCNCc1ccc(nc1)c2ccc(CN(C3CC3)C(=O)c4nn(nc4C)c5ccccc5)cc2,-1.5602555727945695,2,4,1,4,2,1,5,3,3,4
112,CC1CN(C[C@@H](O)C2CCN(CC2)c3cc(ccn3)C#N)CCC14CNc5cc(C)ccc45,-0.5014276153817963,5,3,3,4,2,3,3,5,1,5
113,CCc1ccc(cc1)c2oc3ccc(NC(=O)c4cc(cc(c4)[N+](=O)[O-])[N+](=O)[O-])cc3n2,-0.07029518377044629,4,2,4,4,5,4,5,3,3,2
114,NC(=N)Nc1nc(cs1)c2cccc(NC(=O)NCc3ccc(OC(F)(F)F)cc3)c2,-0.3516992930456501,2,4,1,3,3,2,2,4,2,1
115,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1n3cccc3,-0.2730158899482621,3,2,3,2,5,4,3,4,3,1
116,Cc1cc(C)c2cc(CNCCCNc3nc4ccccc4[nH]3)[nH]c2c1,-0.2641250832994729,1,3,5,1,4,5,1,4,2,4
117,CCC(C)c1cccc(C(C)CC)c1OCCCON2C(=NC(=NC2(C)C)N)N,-3.9123148980246456,2,3,5,3,2,5,1,5,2,2
118,CC[C@H](C)CNC(=O)c1cncc(c1)c2ccc(CNC3Cc4ccccc4C3)cc2,-0.18725862046102146,5,5,1,2,2,5,5,5,3,5
119,CCN(C1C(O)C(C)(C)Oc2ccc(cc12)C#N)C(=O)NC,-1.1902911267817895,2,5,3,5,5,1,2,1,4,3
120,CCCN(CCC)CCCNc1ccc(cc1[N+](=O)[O-])C(=O)Nc2ccc(C)c(F)c2,-0.6186528106388853,4,1,2,5,2,5,3,2,4,2
121,COc1cc(NC(=O)N2CCOC(CCN3CCC(CC3)c4ccccc4)(C2)c5ccc(Cl)c(Cl)c5)cc(OC)c1OC,-2.731447208851117,2,5,1,1,2,5,3,4,3,4
122,COc1ccc2OC(=C(C#N)C(=O)c2c1)O,-1.557005949575623,5,1,1,2,2,5,5,1,1,3
123,COc1ccc2nc(Nc3nc(cs3)c4ccccn4)sc2c1,0.11637506181513214,5,1,4,5,2,3,3,5,5,5
124,CC(=O)Nc1ccc2NC(=O)[C@H](Cc3ccc(O)cc3)N(C(C4CCCCC4)C(=O)NCc5ccccc5)C(=O)c2c1,-0.21443161071218814,2,4,2,2,5,3,2,3,1,5
125,Cc1cc2nc(c3cc(Br)ccc3O)c(nc2cc1C)c4cc(Br)ccc4O,-0.15869340205006752,4,1,1,2,2,3,2,2,3,2
126,COc1ccc(NC(=O)\C=C\c2ccc(cc2)c3ccc(cc3)c4noc(C)n4)cc1OCCN(C)C,0.31342620736458,1,3,2,1,2,2,5,2,3,3
127,C(Cc1cccnc1)NCc2ccc(cc2)c3ccc(CNC4Cc5ccccc5C4)cc3,0.08781959346135641,1,4,3,1,1,2,2,4,1,5
128,CC(C)(C)c1ccc(cc1)c2cc3c(ccc4nc(N)nc(N)c34)[nH]2,-2.17997210480475,2,4,2,4,4,5,5,2,3,5
129,CSc1ccc(CN2CCC(CNC(=O)c3cc(cs3)c4ccccc4F)C2)cc1,0.12951571996779326,3,5,4,5,1,2,1,5,4,5
130,CCOc1ccc(cc1)C2N(C)c3ccccc3N2C,-1.3882963637905636,3,2,2,2,2,2,1,3,4,5
131,COc1ccc2N(C(=O)CSc3oc(nn3)c4ccc(C)cc4)C(C)(C)C=C(C)c2c1,-0.7614260213132397,5,2,2,4,2,4,5,2,5,5
132,Cc1nnc(SCC(=O)NCc2occc2)n1c3ccc(F)cc3,2.191653532286764,1,4,5,1,4,1,4,2,5,1
133,FC(F)C(F)(F)COS(=O)(=O)c1ccc(NC(=O)CCl)cc1,0.5463857991645416,3,4,1,3,1,3,5,3,3,4
134,COc1cccc2cc(oc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCc3ccccc3)\C=N\N4C(=O)CN(Cc5ccccc5)C4=O,-0.4807450288793205,5,1,3,4,1,3,1,4,3,3
135,NC(=O)COc1cccc2CN(CCN3CCC(CC3)NC(=O)c4ccc(cc4)c5ccc(Cl)cc5)CCc12,-0.17355255313604545,2,1,4,5,3,2,4,1,5,5
136,COc1ccc(cc1)C2C(C#N)C(=Nc3ncnn23)C(C)(C)C,2.0898991695786706,3,2,5,2,2,5,1,2,1,5
137,CC(C)CCCC(C)(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c2cccc(CCC3CC3)c2,-0.22768776186719186,3,3,2,2,3,1,2,4,4,5
138,CCCCCC(C)C(C)c1cc(O)c2c(OC(C)(C)CC2(O)c3ccnn3C)c1,-0.0364034612567435,4,1,4,1,5,2,5,1,5,3
139,CN1CCN(CC1)c2cc3N(CCc3cc2Cl)C(=O)Nc4ccc(NC(=O)c5ccc(cc5)C(F)(F)F)cc4,-0.663692935240596,1,4,1,2,5,1,2,3,1,5
140,OCCn1cc(C2CCN(CCN3CCC(CNC(=O)c4ccc(cc4)c5ccc(cc5)C(F)(F)F)CC3)CC2)c6ccccc16,-0.8249466087582685,2,3,5,1,5,4,2,3,1,2
141,Cc1nc2ccccn2c1C3(O)C(=O)Nc4c(Cl)cc(Cl)cc34,0.4627791088808754,1,1,1,1,3,3,1,3,5,2
142,Cc1cc(ccc1Cl)N2C(=NC(=NC2(C)C)N)N,-3.86853688285062,2,4,5,1,4,3,3,5,5,3
143,Cc1ccccc1C2CCN(CC2)C3CCC(CC3)NC(=O)\C=C\c4c(F)ccc(F)c4F,0.23196758318023916,5,5,2,5,1,5,5,3,2,1
144,CC(C)CN1C(C(C(=O)Nc2ccc(C)cn2)c3ccccc3C1=O)c4cccs4,0.2742168214982103,3,3,1,3,1,2,3,5,2,1
145,CN1CCC(CC1)N2CCC(CC2)Oc3cccc(c3)C(=O)NCCCC4CCCC4,-0.17088483572071614,5,1,2,5,5,4,3,5,3,5
146,CCO\C(=C\1/C(C2=C(CC(C)(C)CC2=O)N=C1C)c3ccc(Cl)cc3)\O,-0.08052164926441868,5,2,1,4,1,5,5,5,1,2
147,OC(CN1C(=N)N(Cc2ccc(Cl)cc2)c3ccccc13)c4ccc(Cl)c(Cl)c4,-0.3904985676163963,4,1,2,5,4,5,5,3,1,1
148,COc1cccc(NC(=O)Nc2cc(cc3C(=O)NCc23)c4ccc5[nH]ncc5c4)c1,-2.1476658485882214,2,4,2,1,5,2,5,1,3,1
149,Cc1ccc(cc1)S(=O)(=O)NCC(N2CCN(CC2)c3ccccc3F)c4cccnc4,2.70805020110221,4,4,2,5,1,4,3,3,3,4
150,CCOc1ccc2nc(C)c(CN(C)Cc3ccccc3)c(O)c2c1,0.22314355131420974,5,3,1,2,1,1,3,1,4,1
151,Cc1cc(c2ccc(Cl)cc2)c3c(N)c(sc3n1)C(=O)Nc4ccc(F)cc4,-0.2010171823706968,3,5,5,4,2,1,1,5,5,3
152,CN1CCC(CC1)N(Cc2ccc(cc2)c3ccc(cc3)C(F)(F)F)C(=O)CN4C(=CC(=O)C5=C4CCC5)SCc6cccc(F)c6F,-1.824480676405153,1,5,2,3,4,2,4,3,4,4
153,CC(C)CC1N(CCc2c1[nH]c3ccccc23)C(=O)CCc4ccccc4,-0.03519696242696898,3,3,2,5,4,5,2,5,2,4
154,CCCCN(C)CC#Cc1ccc2nc(C)c(Cl)c(O)c2c1,-2.0439248414590905,2,4,2,5,3,3,1,4,2,4
155,COc1c(CCNCCCCNCCc2cc(Cl)c3ccccc3c2OC)cc(Cl)c4ccccc14,-1.7830125671554085,3,4,4,4,2,4,5,1,1,2
156,CCCN1CCN(CCCNC(=O)c2ccc3c(c2)sc4nc(cn34)c5cccc(OC)c5)CC1,0.18788936109741813,3,2,5,3,5,1,1,1,2,3
157,CC(C)CC(=O)Oc1ccccc1c2nc3cc(C)ccn3c2NC(C)(C)CC(C)(C)C,-0.2587707289573609,3,2,4,4,4,4,1,2,2,4
158,Clc1ccc(cc1)c2cc(on2)c3csc(NCCN4CCCCC4)n3,-0.011455324408045394,1,2,5,3,1,2,5,5,5,5
159,CN(C)c1ccc(cc1)C2N(C)c3ccccc3N2C,1.4518948182038396,1,3,4,5,2,1,5,2,3,1
160,COc1ccc(OC)c(c1)C(=O)c2oc3ccccc3c2NC(=O)CCl,2.3204250111223765,1,2,2,5,5,3,5,5,1,4
161,O=C1c2ccccc2c3nc4cc(C#N)c(cc4nc13)C#N,1.9416152247724323,3,4,4,2,3,5,2,4,5,4
162,Cc1cc(N[C@@H](Cc2ccccc2)C(=O)NCc3cccs3)nc(NCCc4ccccc4)n1,-0.2358413469319989,2,1,1,4,2,1,5,1,5,2
163,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-0.2814363973496951,1,2,5,2,3,2,2,4,2,1
164,Clc1ccc(s1)c2nn(cc2C(=O)Nc3nccs3)c4ccccc4,-0.030853118046978868,5,5,3,2,3,5,1,4,4,4
