,smiles,Lipop,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
28,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,1.2,5,1,3,3,3,5,4,2,2,3
29,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,1.14,1,5,1,5,3,4,1,4,4,5
30,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,2.6,1,2,2,2,3,3,4,2,3,5
31,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,3.3,5,5,5,1,1,5,1,4,5,5
32,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.94,2,4,2,4,1,1,3,3,1,4
33,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,2.34,4,3,4,5,5,4,1,1,2,2
34,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,2.57,3,2,5,5,5,4,3,2,3,2
35,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,3.62,4,5,2,5,4,2,2,5,1,5
36,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,2.06,4,4,2,5,5,5,5,2,4,1
37,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,4.33,2,2,1,3,4,5,5,4,2,5
38,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,2.55,3,4,4,1,3,4,4,4,1,5
39,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,2.78,3,2,5,1,3,3,5,2,1,4
40,OB1N(C(=O)Nc2ccccc12)c3ccccc3,1.4,3,3,3,5,1,2,1,3,4,2
41,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,-0.54,3,4,2,2,4,4,2,5,4,4
42,NC(=NC#N)c1sc(Nc2ccccc2)nc1N,2.91,5,2,4,3,2,3,5,5,1,5
43,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F,-0.4,4,2,3,5,1,3,1,1,1,5
44,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,-0.16,5,2,4,2,2,1,2,3,5,1
45,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,2.2,2,4,1,3,4,1,2,3,5,1
46,CC(Nc1ncnc2ccccc12)c3ccccc3,3.4,5,2,3,2,5,5,3,2,2,3
47,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,1.1,3,2,1,5,4,1,2,5,2,3
48,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,2.28,1,4,4,5,5,4,1,5,3,5
49,COc1ccccc1Cn2c(C)nc3ccccc23,3.47,3,3,1,2,4,2,3,2,1,3
50,OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1,3.0,2,1,3,4,2,4,5,5,3,5
51,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.17,1,2,1,3,4,4,2,2,5,3
52,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,1.95,5,3,4,5,4,2,4,1,3,3
53,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,-0.99,4,5,3,2,3,2,4,4,2,4
54,C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,2.0,2,5,5,3,2,1,5,5,3,3
55,N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,3.8,1,5,4,4,1,1,4,1,1,1
56,COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,3.21,1,1,1,2,4,5,1,2,4,4
57,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c2ccc(C)cc2,0.36,3,5,3,5,2,3,4,3,5,3
58,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,2.14,2,2,4,4,5,1,2,2,3,3
59,O=C1NC(=NC(=C1C#N)c2ccccc2)SCCc3ccccc3,1.71,5,3,3,5,1,4,1,3,2,1
60,OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,1.19,3,3,2,4,3,3,4,2,1,3
61,Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,2.7,3,5,2,1,2,5,4,4,5,1
62,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,2.77,3,1,5,3,1,1,1,5,3,2
63,COc1cccc(c1)c2c[nH]c(n2)c3ccccc3,3.8,1,3,4,4,1,4,3,2,4,5
64,O=C(COc1ccccc1)c2ccccc2,2.87,1,5,5,1,4,2,2,1,3,1
65,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,1.91,2,4,5,2,3,5,3,1,4,1
66,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC(C)C)cc3C24N=C(C)C(=N4)N,3.4,4,4,5,1,4,3,1,4,3,4
67,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,3.13,1,3,3,2,5,4,2,5,2,1
68,O=C1CCOc2cc(COc3ccccc3)ccc12,3.0,5,4,4,5,3,5,4,1,1,5
69,Clc1cccc2cn[nH]c12,2.33,4,1,2,1,2,2,2,4,4,4
70,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,2.8,1,1,2,4,1,1,3,5,1,4
71,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1,-0.54,3,5,4,4,3,2,2,4,3,3
72,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,3.16,5,1,2,5,3,3,2,3,2,1
73,C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,2.91,2,4,4,2,3,2,4,5,3,3
74,Clc1ccc(CN2CC3CNCC(C2)O3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,1.55,1,1,2,5,2,1,4,2,3,4
75,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.2,2,3,1,2,3,2,4,2,5,5
76,Cc1cc(CCC2CCN(CC2)S(=O)(=O)CC3(CCOCC3)N(O)C=O)c(C)cn1,1.43,4,4,4,2,3,3,3,1,2,2
77,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4,2.47,3,1,3,4,1,1,2,3,2,1
78,CC(=O)Nc1ccc2c(c1)c(cn2CCCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,2.48,3,2,1,5,4,2,3,3,1,3
79,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,-0.45,4,2,3,2,1,2,5,5,3,1
80,CC1(CC1)c2nc(ncc2C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4)N6CCOCC6,2.0,2,5,3,2,4,4,3,1,2,1
81,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3N(C)SC(=O)c3c2)c1,2.6,1,4,4,1,3,4,5,4,1,2
82,COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,3.5,2,2,5,3,4,2,3,1,3,3
83,CNCCCC12CCC(c3ccccc13)c4ccccc24,0.89,1,1,2,4,1,5,5,2,5,3
84,Oc1cc(nc2ccnn12)c3ccccc3,1.3,3,3,4,1,1,4,5,4,3,1
85,Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O,2.01,1,3,5,4,5,2,4,1,4,2
86,CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C,3.59,1,2,1,4,2,4,3,2,4,5
87,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,0.18,5,5,2,3,1,1,1,3,1,3
88,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,2.6,2,3,3,3,2,2,1,1,1,1
89,Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2,1.3,3,3,5,4,1,4,2,5,3,4
90,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,2.1,3,2,2,4,3,1,3,4,1,3
91,Cc1cc(CCCOc2c(Cl)cc(cc2Cl)C3=NCCO3)on1,3.72,1,1,2,3,5,4,2,5,1,4
92,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,1.72,2,4,2,1,2,1,1,1,2,3
93,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,1.65,4,5,3,1,2,2,5,2,3,5
94,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2,3.7,1,1,5,5,1,1,2,1,1,5
95,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34,2.2,3,3,3,1,1,3,5,4,1,4
96,CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl,2.04,4,1,5,3,2,3,3,5,4,2
97,CCSc1c(Cc2ccccc2C(F)(F)F)sc3N(CC(C)C)C(=O)N(C)C(=O)c13,4.49,5,1,4,2,2,4,4,2,5,3
98,COc1ccc(Cc2c(N)n[nH]c2N)cc1,0.2,5,1,3,4,4,4,2,1,3,1
99,CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3,2.0,2,1,4,2,2,4,1,5,1,3
100,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C(=O)NC1=O,1.49,4,5,5,1,3,2,2,5,2,3
101,C1Oc2ccccc2C3=NN(CC13)c4ccccc4,4.28,2,3,4,2,5,3,3,3,4,2
102,CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1,-0.95,2,5,5,1,4,1,5,4,3,5
103,CC(C)CC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccncc4,1.64,3,4,1,2,1,2,1,3,3,5
104,FC(F)c1nc2ccccc2[nH]1,2.02,5,4,4,5,3,5,2,3,1,2
105,O[C@@H](CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)COc3cccc(c3)C#N,3.09,1,2,4,2,4,2,5,2,2,1
106,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4,2.18,3,5,5,5,5,2,5,3,5,3
107,Oc1ccccc1OC(=O)c2cccc3ccccc23,4.4,2,5,1,5,1,2,4,4,1,3
108,COc1ccccc1CNc2cc(C)ccn2,3.28,3,5,1,2,2,5,4,3,2,4
109,Nc1nc(Nc2cccc(Br)c2)c3nc[nH]c3n1,3.04,1,4,5,1,5,4,2,3,4,2
110,Nc1c2CCN(c3ccccc3)c2nc4ccc(Br)cc14,3.12,3,1,1,2,3,4,4,3,3,4
111,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N(c2ccc(C)cc2)c3ccc(C)cc3,0.06,3,4,1,4,2,1,3,2,4,3
112,OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,2.49,4,5,2,1,2,5,5,3,1,5
113,CC(C)C[C@H](N)c1oc(nn1)S(=O)(=O)Cc2ccc(F)cc2,1.11,4,3,4,3,3,1,5,2,3,3
114,CC(C)COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3,2.81,1,3,1,3,4,1,5,4,4,2
115,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc3ccccc3)c1,3.52,5,1,4,3,3,3,3,4,4,3
116,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,2.5,4,4,4,4,2,5,2,2,2,3
117,CC(C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3)c5ccccc5,4.48,1,1,5,4,3,5,4,5,1,4
118,Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,1.33,5,4,1,3,4,5,3,5,5,5
119,OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1.83,3,5,1,5,4,3,1,4,3,3
120,COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC,3.6,3,4,3,3,2,4,1,1,3,2
121,CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)C4CCC4,3.2,3,4,3,2,4,4,2,4,3,4
122,NC(=N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,-0.56,3,3,4,1,4,4,4,1,1,2
123,Nc1c(NC2CC3CCC2C3)nc(nc1N4CCOCC4)C#N,3.53,5,1,1,4,1,5,1,3,4,5
124,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F,4.3,1,2,1,5,4,2,2,1,2,5
125,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,2.88,3,4,3,5,1,1,1,4,4,2
126,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,3.08,2,2,1,4,4,3,4,5,4,1
127,Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,1.0,4,3,4,1,2,3,3,3,1,5
128,Cn1ncnc1COc2nn3c(nnc3cc2C(C)(C)C)c4cc(F)ccc4F,2.4,1,2,3,2,4,4,3,4,1,3
129,CNCC[C@H](Oc1ccc(cc1)C(F)(F)F)c2ccccc2,1.89,4,5,5,4,1,5,5,4,2,4
130,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl,1.52,1,5,3,5,5,3,3,1,2,5
131,O=C1C=COc2cc(OCc3ccccc3)ccc12,3.33,4,2,1,3,5,2,5,2,5,5
132,[O-][S+](c1ccccc1)c2ccc3nnnn3n2,0.79,4,2,5,1,3,3,2,1,4,3
133,[O-][N+](=O)c1ccc2OC(CN(c2c1)c3cccc[n+]3[O-])(C(F)F)C(F)F,3.2,4,4,1,1,1,1,5,1,1,5
134,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.1,4,5,4,4,4,2,1,2,1,2
135,Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@H](CC3)C(=O)O)C(=O)N,0.22,2,3,3,3,1,1,3,2,3,4
136,Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1,2.0,4,1,4,2,1,4,3,3,5,3
137,COc1cc(OC2CCN(CC2)C(=O)C)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,4.0,2,5,3,5,4,1,3,2,2,4
138,COc1ccc(cc1)C2=CC(=O)c3ccccc3N2,2.71,2,4,5,3,5,5,4,3,5,1
139,COC1\C=C\OC2(C)Oc3c(C)c(O)c4C(=O)C(=CC(=O)c4c3C2=O)NC(=O)\C(=C/C=C/C(C)C(O)C(C)C(O)C(C)C(OC(=O)C)C1C)\C,0.7,1,2,5,3,5,3,1,2,2,5
140,CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cc(cn6C)C#N)c3C1=O,3.67,3,1,5,4,3,5,2,5,4,2
141,CN1SC(=NC1=O)NC(=O)c2cccc(Cl)c2,0.87,3,3,5,2,4,2,2,5,4,1
142,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4nccn4C,2.83,5,1,3,4,2,1,3,5,4,3
143,CC(=O)Nc1ccc(cc1)C(=O)Nc2ccccc2N,0.82,5,3,2,5,2,2,5,4,3,2
144,Oc1ccc2C(=O)C=C(Oc2c1)N3CCOCC3,1.0,1,4,2,1,2,3,1,4,4,4
145,Oc1nc(nc2CCSCc12)c3ccc(cc3)C(F)(F)F,3.07,3,5,1,5,4,5,3,3,1,5
146,Clc1ccc(N2CCN(CC2)C(=O)COCc3cscn3)c(Cl)c1,3.07,3,1,2,2,2,4,5,5,4,1
147,Oc1ccc(cc1)N2C=Nc3cc(O)ccc3C2=O,1.6,2,2,1,5,1,4,4,3,2,2
148,O[C@@H](CNCCc1ccccc1CNCCc2ccccc2F)c3ccc(O)c4NC(=O)Sc34,1.58,2,4,1,2,5,2,3,3,3,5
149,OCC(CO)N1C=Cc2c(NC(=O)CC34CC5CC(CC(C5)C3)C4)cccc2C1=O,2.62,2,1,2,5,1,5,2,2,4,2
150,COc1ccc(c(OC)n1)c2c(F)ccc3c(N)c(nnc23)C(=O)NC4CC4,3.37,5,4,1,4,2,1,5,5,2,3
151,Clc1ccccc1c2cnn[nH]2,2.68,1,4,5,3,1,5,1,4,3,3
152,NC(=O)c1ccc(Oc2cccc3cccnc23)c(c1)[N+](=O)[O-],1.7,1,5,5,4,1,1,3,3,1,2
153,NC(=O)Nc1cc(sc1C(=O)N)c2cccc(O)c2,2.21,2,5,2,5,3,3,3,4,1,2
154,Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,-0.37,4,2,2,3,1,2,2,2,1,1
155,COC(=O)C1=Nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2NC1=O,2.49,1,5,2,2,2,3,4,3,2,1
156,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,3.11,5,4,4,2,5,5,3,1,4,3
157,CC1CCc2cc(F)cc3C(=O)C(=CN1c23)C(=O)O,0.74,2,1,3,5,2,3,1,2,4,2
158,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cn3c(C)nc(Cl)c3Cl)c2C(=O)N4CC[C@@H](O)C4,1.61,1,2,4,4,2,3,5,3,5,4
159,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ncc(C#N)s4,1.2,2,2,2,3,3,2,3,5,3,2
160,Cc1ccc(NC(=N)N)cc1C,-1.34,3,2,3,3,5,1,5,4,1,4
161,Clc1ccc(cc1C(=O)NCC2CCCCC2)N3N=CC(=O)NC3=O,1.26,2,1,2,4,5,4,3,2,3,2
162,O=C(Oc1ccccc1)N2CCOCC2,1.3,2,5,5,5,5,2,5,1,5,3
163,CC(C)(C#N)c1cnc(s1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,1.9,5,1,4,1,4,1,3,2,3,2
164,FC(F)(F)c1nnc2ccc(nn12)N3CCCCC3,3.0,5,5,3,2,5,5,2,3,2,4
165,Cc1c(Sc2ccc(Cl)cc2)c3c(NS(=O)(=O)C)cccc3n1CC(=O)O,0.21,4,3,4,4,5,3,4,5,2,1
166,CCCNC(=O)CSc1ccc(cn1)S(=O)(=O)N2CCCC2,1.55,2,3,3,5,2,5,2,5,3,2
167,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N6CCOCC6,2.82,3,4,4,3,1,1,3,5,5,2
168,COc1ccc(Cn2cc3N(CC(C)C)C(=O)N(C)C(=O)c3c2)cc1,3.52,1,5,5,4,1,2,5,5,1,2
169,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn4cncn4,3.2,1,1,5,2,1,5,3,3,1,3
170,CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC,1.09,1,1,1,5,3,2,5,2,1,1
171,CC(=O)Nc1nc(C)c(s1)c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2,0.55,5,2,3,4,4,5,5,4,4,1
172,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4ccc(cc34)C(F)(F)F,1.78,5,1,5,1,4,3,5,3,3,1
173,CSc1ncccc1C(=O)Nc2nccs2,1.43,3,3,4,5,3,4,3,4,4,2
174,CCOc1ncc(C)c2NC(=C([C@@H](c3ccc(cc3OC)C#N)c12)C(=O)N)C,2.51,5,1,2,1,4,1,1,2,3,5
175,Cc1nc2ccc(Cl)cn2c1c3ccnc(N)n3,2.49,3,1,1,1,5,4,4,4,2,5
176,CC1CC(CC(C)(C)C1)OC(=O)C(O)c2ccccc2,2.31,1,3,3,5,5,5,5,3,5,2
177,C[C@@H](NC(=O)C1CCCCN1C)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,3.34,1,5,4,5,3,4,3,5,5,5
178,CN(C)C(=O)CN1CCN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CC1,4.13,5,3,1,2,4,3,1,1,3,5
179,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C,3.12,1,4,1,5,3,4,1,4,3,1
180,NC1(CCC1)c2ccc(cc2)c3ncc4ccncc4c3c5ccccc5,2.2,4,5,1,1,1,5,2,4,4,4
181,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)C)C(=O)C(F)(F)F,1.77,1,5,2,4,1,1,2,1,3,2
182,C[C@@H]1CN([C@@H](C)CN1C(=O)c2ccc(cc2)C#N)C(=O)[C@@](C)(O)C(F)(F)F,1.5,2,4,4,2,4,2,1,3,5,3
183,CCOc1ccccc1c2ccc(cc2)c3nc4ccc(F)cc4c(N[C@H](C)C(=O)O)c3C#N,2.5,4,1,4,4,5,1,5,3,3,3
184,Clc1ccc(CC2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4,1.49,3,1,2,2,2,2,5,1,2,3
185,CC[C@H](NC(=O)c1c(c(nc2ccccc12)c3ccccc3)S(=O)(=O)C)c4ccccc4,3.17,3,5,3,3,1,2,4,2,3,5
186,Fc1ccc(NC(=O)c2cccnc2Oc3ccccc3)cc1,3.19,1,4,2,3,3,4,3,2,2,4
187,CC(CN1CCCCC1)C(=O)c2ccc(C)cc2,1.65,5,5,3,2,3,2,1,3,5,3
188,CC(C)OC(=O)N1CCC(CC1)Oc2ncnc(Nc3ccc(nc3C)S(=O)(=O)C)c2C,2.8,1,3,5,3,3,2,2,3,1,4
189,Cc1ccccc1c2c(C(=O)O)n(CCCOc3cccc4ccccc34)c5ccccc25,3.89,5,5,1,3,4,4,4,4,2,3
190,C[C@@H](NCc1ccccc1c2ccc(CCNC[C@H](O)c3ccc(O)c4NC(=O)Sc34)cc2)c5ccccc5,2.28,5,3,3,2,4,3,3,5,2,1
