,smiles,ESOL,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.3370000000000015,2,2,1,4,3,1,1,3,3,4
128,c1ccncc1,0.76,5,3,3,3,1,5,3,4,1,2
129,CCCCCCCBr,-4.43,1,5,4,4,5,4,5,5,1,1
130,Cc1ccncc1C,0.36,2,3,1,3,4,4,2,1,5,3
131,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,1,1,1,5,5,1,5,1,3,4
132,CCSCc1ccccc1OC(=O)NC ,-2.09,4,3,5,1,3,3,5,4,2,1
133,CCOC(=O)CC(=O)OCC,-0.82,5,1,2,2,5,2,3,3,1,3
134,CC1=CCC(CC1)C(C)=C,-4.26,1,4,4,1,4,1,1,4,3,1
135,C1Cc2ccccc2C1,-3.04,3,2,2,2,1,2,2,1,4,4
136,CC(C)(C)c1ccc(O)cc1,-2.41,5,2,3,4,3,3,3,2,3,2
137,O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886,4,3,2,4,2,5,1,2,2,4
138,Clc1cccc(I)c1,-3.55,3,4,5,3,3,5,4,2,4,3
139,Brc1cccc2ccccc12,-4.35,4,1,4,3,5,5,5,5,3,4
140,CC/C=C/C,-2.54,5,4,5,2,2,3,2,3,5,5
141,Cc1cccc(C)n1,0.45,2,1,4,5,3,5,3,5,3,4
142,ClC=C(Cl)Cl,-1.96,5,4,5,1,3,4,1,5,2,3
143,Nc1cccc2ccccc12,-1.92,5,2,4,3,4,2,4,2,1,2
144,Cc1cccc(C)c1,-2.82,2,2,2,3,5,1,1,3,3,4
145,Oc2ncc1nccnc1n2,-1.947,2,2,1,3,5,3,4,2,3,4
146,CO,1.57,1,2,2,5,1,2,3,5,2,5
147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,2,1,3,5,4,4,1,3,1,2
148,CCC(=O)C,0.52,1,4,2,1,3,2,4,3,2,3
149,Fc1c[nH]c(=O)[nH]c1=O ,-1.077,3,1,3,4,3,5,2,5,3,2
150,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95,4,5,2,1,3,1,4,5,1,3
151,Oc1cccc(O)c1,0.81,1,1,4,1,2,5,1,1,1,2
152,CCCCCCO,-1.24,5,5,4,3,4,4,4,4,3,3
153,CCCCCCl,-2.73,2,3,5,4,1,1,5,5,4,1
154,C=CC=C,-1.87,4,3,4,2,3,1,3,3,2,2
155,CCCOC(=O)C,-0.72,4,5,5,3,1,1,2,2,5,1
156,Oc2ccc1CCCCc1c2 ,-1.99,4,4,5,4,3,3,4,5,3,1
157,NC(=O)CCl ,-0.02,2,1,3,5,3,2,2,3,1,4
158,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,3,5,2,1,2,5,5,5,4,2
159,Cc1ccc(Cl)cc1,-3.08,1,5,2,2,1,1,1,4,3,4
160,CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253,3,4,5,2,4,2,4,3,3,2
161,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01,3,3,4,3,4,2,2,2,5,1
162,CCCCCC=O,-1.3,3,3,3,4,5,3,4,5,3,3
163,CCCCOC(=O)c1ccc(N)cc1,-3.082,2,4,1,4,2,4,5,4,1,3
164,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043,3,4,1,2,3,3,3,5,1,5
165,CC(C)=CCC/C(C)=C\CO,-2.46,2,5,4,4,3,5,5,5,3,1
166,Clc1ccc(cc1)c2ccccc2Cl ,-5.28,4,1,2,4,1,4,2,3,1,3
167,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523,2,5,1,4,3,4,2,3,5,3
168,CCN(=O)=O,-0.22,4,5,4,2,1,2,3,5,2,5
169,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124,2,1,3,5,4,3,3,2,2,5
170,Clc1ccc(Cl)c(Cl)c1Cl,-4.57,5,4,1,3,4,2,3,2,5,2
171,CCCC(C)(COC(N)=O)COC(N)=O ,-1.807,5,3,2,4,5,3,5,1,2,2
172,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,5,1,5,4,3,2,3,1,5,1
173,CI,-1.0,1,1,1,4,1,1,3,3,5,2
174,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,5,1,1,2,2,1,5,1,4,3
175,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,1,5,1,1,5,1,3,1,2,3
176,CC1=CC(=O)CC(C)(C)C1 ,-1.06,2,5,1,5,5,4,4,2,3,5
177,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39,4,4,4,5,5,1,1,5,4,3
178,CCCCC(=O)CCCC,-2.58,5,1,2,2,2,2,4,2,3,5
179,CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337,4,5,4,5,3,4,2,3,4,5
180,CCC(C)CC,-3.68,2,4,2,2,3,3,5,1,1,1
181,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,1,5,4,2,2,2,1,3,2,3
182,Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925,3,1,5,5,1,5,1,1,5,5
183,ClCC#N,-0.092,1,3,2,3,5,3,3,4,2,2
184,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000002,5,4,1,1,3,4,5,2,1,3
185,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66,2,5,3,3,2,4,2,1,2,4
186,c1ccnnc1,1.1,3,3,2,5,3,3,1,2,5,2
187,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,4,5,4,3,3,4,2,3,4,3
188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32,3,2,4,5,5,4,2,5,3,4
189,Nc1ccccc1O,-0.72,4,5,2,2,2,3,2,5,1,3
190,CCCCCCCCC(=O)OCC,-3.8,3,1,2,4,3,2,5,4,3,2
191,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601,3,5,3,4,2,2,5,1,5,4
192,CNC(=O)Oc1ccccc1OC(C)C,-2.05,5,4,5,4,4,2,5,3,4,5
193,CCC(C)Cl,-1.96,1,3,1,2,2,1,3,1,1,1
194,Oc1ccc2ccccc2c1,-2.28,2,5,1,3,4,4,1,2,5,3
195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.6960000000000015,1,1,5,4,4,3,1,5,4,2
196,CCCCC#C,-2.36,2,2,5,4,3,4,4,1,5,4
197,CCCCCCCC#C,-4.24,1,4,4,2,1,1,2,1,5,4
198,Cc1ccccc1Cl,-3.52,5,5,4,3,2,4,5,3,3,1
199,CC(C)OC(C)C,-1.1,5,1,2,5,4,1,5,4,2,1
200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094,1,5,1,2,2,1,1,3,4,4
201,CNN,1.34,4,3,4,5,1,2,5,4,2,2
202,CC#C,-0.41,4,1,4,5,4,3,1,1,1,2
203,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,3,4,1,2,2,1,5,4,4,2
204,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408,1,4,3,2,3,2,5,1,2,1
205,C=CC=O,0.57,5,1,2,1,3,4,2,1,2,1
206,O=c1[nH]cnc2nc[nH]c12 ,-2.296,5,5,2,3,5,1,5,1,1,2
207,Oc2ccc1ncccc1c2 ,-2.16,1,5,2,1,3,3,4,2,3,4
208,Fc1ccccc1,-1.8,2,2,5,5,5,5,1,3,2,2
209,CCCCl,-1.47,5,1,4,4,3,2,4,5,1,4
210,CCOC(=O)C,-0.04,1,1,5,5,1,2,2,5,3,1
211,CCCC(C)(C)C,-4.36,3,5,2,5,5,3,2,5,1,1
212,Cc1cc(C)c(C)c(C)c1C,-4.0,5,4,2,2,3,2,3,2,2,2
213,CC12CCC(CC1)C(C)(C)O2 ,-1.64,3,5,3,5,3,1,1,5,1,4
214,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,5,3,4,3,5,2,5,3,3,2
215,Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,4,1,4,2,2,2,5,5,4,3
216,Cc1cccnc1C,0.38,5,3,5,3,2,3,5,1,2,4
217,CC(=C)C1CC=C(C)C(=O)C1,-2.06,2,2,1,5,2,1,5,3,3,2
218,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.7360000000000015,2,1,2,3,3,3,3,1,4,1
219,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571,3,3,2,1,3,4,4,5,4,1
220,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,5,1,5,1,3,3,2,1,5,5
221,Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82,3,5,5,2,5,3,2,1,3,3
222,c1c(Br)ccc2ccccc12 ,-4.4,1,2,4,1,1,2,2,3,4,2
223,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,3,4,4,1,2,5,4,1,5,3
224,COc2cnc1ncncc1n2,-1.139,2,2,2,1,4,3,1,5,5,1
225,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19,4,2,5,5,3,5,3,1,3,2
226,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658,2,4,3,4,2,2,4,3,2,1
227,CC(=C)C=C,-2.03,3,3,2,1,4,3,1,5,1,3
228,CC(C)=CCCC(O)(C)C=C,-1.99,3,5,1,4,1,2,1,4,2,5
229,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,4,5,2,2,3,3,1,3,3,5
230,OC1CCCCC1,-0.44,2,1,3,3,5,2,2,2,1,5
231,O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16,4,3,2,3,2,1,2,5,5,1
232,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16,1,5,2,4,2,5,1,3,5,4
233,OCC(O)C(O)C(O)C(O)CO ,0.06,2,1,2,5,2,2,5,5,4,5
234,Cc1ccc(cc1)c2ccccc2,-4.62,3,4,1,1,1,4,3,1,1,2
235,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,2,1,3,5,5,1,5,5,3,1
236,NC(=S)Nc1ccccc1,-1.77,1,5,3,3,3,3,1,4,5,3
237,CCCC(=O)CCC,-1.3,4,2,4,2,5,3,1,5,5,3
238,CC(=O)C(C)(C)C,-0.72,1,1,4,3,3,5,2,2,2,2
239,Oc1ccc(Cl)cc1,-0.7,4,3,2,3,4,4,1,1,5,2
240,O=C1CCCCC1,-0.6,3,3,2,3,2,4,2,3,5,4
241,Cc1cccc(N)c1,-0.85,4,2,3,4,4,4,2,5,5,5
242,ClC(Cl)(Cl)C#N,-2.168,4,1,3,4,2,1,5,1,5,2
243,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046,4,4,3,1,5,5,5,5,4,4
244,CCCCCCCCC(=O)C,-3.3,1,5,3,5,1,4,4,4,5,4
245,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,1,2,4,5,4,4,3,1,2,3
246,CCOC(=O)c1ccc(N)cc1,-2.616,2,2,4,5,3,2,1,1,1,2
247,Clc1ccc(Cl)c(Cl)c1,-3.59,4,4,4,3,4,1,2,3,3,5
248,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09,1,3,4,3,3,4,1,5,2,3
249,Oc1ccccc1O,0.62,1,5,1,3,3,3,4,3,3,2
250,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62,1,1,5,4,1,5,2,4,5,3
251,CSC,-0.45,4,5,2,1,1,3,2,2,4,5
252,Cc1ccccc1Br,-2.23,5,5,2,3,4,4,5,1,2,5
253,CCOC(=O)N,0.85,2,4,5,1,2,5,1,2,4,3
254,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35,1,1,5,5,1,2,5,4,3,4
255,CC(C)C(O)C(C)C,-1.22,4,3,2,3,4,5,5,2,5,2
256,c1ccc2ccccc2c1,-3.6,2,5,4,5,3,3,2,1,4,5
257,CCNc1ccccc1,-1.7,4,5,2,1,5,5,5,2,3,4
258,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097,1,2,2,4,4,1,2,2,5,1
259,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,4,3,3,1,5,3,5,2,2,5
260,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,3,1,3,2,1,3,5,5,3,1
261,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,5,5,3,2,1,1,1,1,3,4
262,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28,5,4,4,1,4,3,5,4,3,4
263,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,2,1,1,3,1,5,4,2,1,1
264,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,1,4,3,2,4,3,2,2,5,2
265,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37,1,5,4,1,5,1,3,5,3,2
266,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13,4,5,3,5,5,2,1,1,2,4
267,CCCCBr,-2.37,1,1,2,1,4,2,2,4,4,4
268,Brc1cc(Br)c(Br)cc1Br,-6.98,4,1,5,1,1,3,2,1,4,2
269,CC(C)CC(=O)C,-0.74,5,2,1,2,4,5,1,4,1,5
270,CCSC(=O)N(CC)C1CCCCC1 ,-3.4,5,1,3,2,5,3,4,4,2,4
271,COc1ccc(Cl)cc1,-2.78,5,4,5,3,2,4,5,2,4,2
272,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001,3,3,5,2,2,1,5,3,5,2
273,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016,3,4,3,2,2,1,5,5,3,2
274,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04,1,4,2,3,3,1,4,4,2,3
275,Ic1cccc2ccccc12,-4.55,5,2,1,1,3,3,4,2,3,4
