,smiles,HIV,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
74,OCC1OCOC2COCOC12,0.0,4,3,3,5,5,4,2,4,4,2
75,CC(=O)OC1C(OC(C)=O)C(OC(C)=O)C2(CO2)C(OC(C)=O)C1OC(C)=O,0.0,2,5,1,2,4,4,3,4,2,3
76,CCN(CC)C(=O)N1CCN(C)CC1,0.0,3,4,2,4,1,4,3,1,3,1
77,CC(=O)OC1COC(c2ccccc2)OC1C1OC(c2ccccc2)OCC1OC(C)=O,0.0,1,1,5,5,2,3,2,1,4,5
78,Oc1ncnc2[nH]ncc12,0.0,4,4,3,5,1,4,3,5,5,5
79,O=C1O[Cu-5]2(O)(O)(OC1=O)OC(=O)C(=O)O2,0.0,2,1,4,2,4,1,1,4,4,4
80,O=Nc1ccc(O)c(N=O)c1O,1.0,2,5,3,1,2,5,2,5,1,2
81,Oc1ccc(Nc2ccccc2)cc1,0.0,5,1,4,2,2,1,2,2,1,4
82,CCCCCCc1ccc(O)cc1O,0.0,1,3,4,3,1,3,1,3,4,4
83,CCCCCCCC[N+]12CN3CN(CN(C3)C1)C2,0.0,3,3,5,3,1,5,3,5,5,2
84,CC(C)(O)O.CC1(O)C(O)C(O)C1(O)CO,0.0,3,1,5,2,1,5,4,3,5,2
85,OC1COCOC1C(O)C1OCOCC1O,0.0,5,2,3,5,3,3,1,3,2,1
86,CN(C)C(=S)SSC(=S)N(C)C,0.0,1,4,4,2,4,1,5,2,3,4
87,O=[N+]([O-])c1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0.0,3,3,4,5,4,4,2,1,4,2
88,CCc1cc[n+]([Mn](SC#N)(SC#N)([n+]2ccc(CC)cc2)([n+]2ccc(CC)cc2)[n+]2ccc(CC)cc2)cc1,0.0,3,5,2,1,4,1,3,4,5,5
89,N=c1[nH][nH]c(=N)[nH]1,0.0,3,3,1,5,3,2,3,5,3,3
90,O=S(=O)(O)CCO,0.0,2,4,1,5,1,3,5,5,5,4
91,O=C1CSC(=S)N1,0.0,3,4,5,4,3,4,3,1,5,4
92,C1CCNCC1.S=C(S)N1CCCCC1,0.0,2,1,3,2,1,1,2,5,1,4
93,C1SCSCS1,0.0,5,5,2,1,3,1,1,1,5,3
94,CCC(CC)(C(=O)O)C(=O)O,0.0,3,1,3,4,4,2,3,2,1,4
95,N#CC(=Cc1ccccc1)c1ccccc1,0.0,4,2,3,1,3,3,2,5,5,4
96,N#CNC(=N)N,0.0,2,5,5,2,1,1,2,4,3,4
97,O=C1C(O)=C(CCCC2CCC3CCCCC3C2)C(=O)c2ccccc21,0.0,1,4,3,5,1,5,1,5,1,5
98,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.0,5,1,2,3,2,2,2,2,3,3
99,O=C(O)c1ccccc1S,0.0,2,3,5,5,2,5,4,2,4,5
100,CCOC(=O)C(C(=O)OCC)C(C(=O)OCC)C(=O)OCC,0.0,2,2,5,4,5,3,2,5,1,5
101,C=C(C)CS(=O)(=O)O,0.0,3,5,2,3,1,4,3,4,2,3
102,CCSc1ccc(N=[N+]([O-])c2ccc(SCC)c(Cl)c2)cc1Cl,0.0,3,3,1,4,5,5,2,2,5,1
103,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,0.0,5,5,4,2,1,4,4,3,3,5
104,O=C1C(=Cc2ccccc2)CCCC1=Cc1ccccc1,0.0,5,3,5,4,4,1,4,2,4,5
105,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,0.0,4,4,5,1,5,4,4,2,4,5
106,O=S(=O)(O)CO,0.0,3,1,5,4,4,4,2,4,5,3
107,CCN(CC)CCCCCCNc1cc(OC)cc2c(C)ccnc12,0.0,1,1,2,5,1,1,3,5,1,3
108,CCCC(O)CNCc1ccc(N(C)C)cc1,0.0,3,5,2,5,2,1,3,5,3,5
109,N=C1NC(=O)C(c2ccccc2)S1,0.0,1,2,3,2,4,3,4,5,5,3
110,Cc1cc(SCC(=O)c2ccccc2[N+](=O)[O-])cc(C)[o+]1,0.0,4,2,2,2,3,2,4,5,4,3
111,CC12CCC(CC1)C(C)(C)NC(=N)S2,0.0,2,3,3,4,4,3,2,2,5,2
112,CCSC(SCC)C(O)C(O)C(O)C(O)C(O)C(O)CO,0.0,3,2,1,3,3,5,5,5,4,5
113,O=C(O)C(O)C(O)C(O)C(O)C(O)C(O)CO,0.0,4,4,2,5,5,3,2,3,4,3
114,Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,0.0,2,2,3,2,1,3,5,1,3,1
115,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1,0.0,5,2,1,4,5,1,5,3,2,1
116,CCN(CC)CC.O=C(Nc1ccc(Cl)cc1)P(=O)(O)c1ccccc1,0.0,1,1,1,2,4,3,4,5,1,4
117,O=S(=O)(O)CCCCBr,0.0,2,2,4,3,3,2,1,4,5,4
118,c1ccc(SSc2ccccc2)cc1,0.0,4,1,2,3,4,4,5,1,1,4
119,O=S(=O)(O)CC(S(=O)(=O)O)S(=O)(=O)O,0.0,1,3,2,3,5,1,4,2,3,4
120,O=S1(=O)CCCc2c1ccc1ccccc21,0.0,2,1,3,5,1,5,5,3,2,4
121,CCOC(=O)C(CCCCS(=O)(=O)O)C(=O)OCC,0.0,3,5,1,3,3,3,3,2,5,4
122,O=S1(=O)CCc2ccccc2C(Br)C1,0.0,4,3,1,1,4,1,1,5,1,4
123,CCCCCCCCS(=O)(=O)O,0.0,5,3,2,1,4,1,1,1,2,4
124,CCOCCCCS(=O)(=O)O,0.0,3,2,2,2,5,1,4,4,3,2
125,CCOC(C)CCCS(=O)(=O)O,0.0,4,2,2,1,4,3,2,3,2,1
126,O=S(=O)(O)CCCCCO,0.0,5,1,3,4,4,5,5,4,2,4
127,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.0,3,4,2,2,5,2,2,3,4,5
128,CC(=O)N1C(=O)C(=O)c2ccccc21,0.0,3,3,2,4,3,5,4,1,3,4
129,O=C1NC2NC(=O)NC2N1,0.0,3,5,3,5,1,3,3,5,2,4
130,O=C1c2ccccc2C(=O)N1Cc1ccccc1,0.0,4,3,2,1,4,4,1,2,2,5
131,CN(C)c1ccc(N=O)cc1,0.0,2,5,2,2,5,5,4,3,5,4
132,O=S1(=O)CS(=O)(=O)CS(=O)(=O)C1,0.0,4,4,5,2,3,4,5,4,3,4
133,ClC(Cl)(Cl)C1OCOC(C(Cl)(Cl)Cl)OCO1,0.0,4,3,3,2,3,3,2,4,5,2
134,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0.0,5,3,4,5,4,5,1,5,1,1
135,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,0.0,1,1,5,1,5,5,3,3,3,1
136,N=C1NC(=O)CS1,0.0,1,5,1,5,2,2,3,3,3,4
137,O=C1O[Al]23(OC1=O)(OC(=O)C(=O)O2)OC(=O)C(=O)O3,0.0,2,5,1,3,5,4,3,1,5,4
138,O=C1C[N+]23CC[N+]45CC(=O)O[Ni-4]24(O1)(OC(=O)C3)OC(=O)C5,0.0,2,1,2,3,5,3,3,3,5,1
139,CC(=O)c1cc2c(cc1C(C)C)CCC1C(C)(C#N)CCCC21C,0.0,2,1,2,4,5,1,3,4,2,3
140,COC(=O)C1(C)CCCC2(C)c3cc(Br)c(C(C)C)cc3CCC12,0.0,3,4,5,3,5,1,1,3,1,3
141,COC(=O)C1(C)CCCC2(C)c3ccccc3C(OO)CC12,0.0,1,1,3,2,2,2,3,3,5,2
142,COC(=O)C1(C)CCCC2(C)c3ccc(C(C)C)cc3C(=O)CC12,0.0,3,3,2,1,2,1,5,5,5,4
143,C=C(C)c1ccc2c(c1)C(=O)CC1C(C)(C#N)CCCC21C,0.0,5,4,2,5,2,4,4,3,2,1
144,CC(C)c1ccc2c(c1)CCC1C2(C)CCCC1(C)C(O)c1ccccc1,0.0,4,2,4,1,4,4,2,5,3,3
145,CC(=O)OC(C)(C)c1ccc2c(c1)C(=O)CC1C(C)(C#N)CCCC21C,0.0,5,1,4,1,1,1,5,4,3,5
146,CC(O)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C,0.0,4,2,1,3,4,1,2,5,3,2
147,CC(C)C1(Cl)CCC2C3(C)CCCC(C)(C(=O)O)C3CC(Cl)C2(Cl)C1Cl,0.0,2,4,2,4,3,4,5,5,3,2
148,COC(=O)C1(C)CCCC2(C)c3ccc(C(C)C)cc3C(=O)C(Br)C12,0.0,4,4,1,2,5,1,5,1,2,3
149,CNC=O,0.0,2,2,2,3,1,2,1,4,2,5
150,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,0.0,5,3,1,3,3,3,3,1,1,1
151,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.0,5,4,3,3,4,5,2,5,1,5
152,O=[As]O,0.0,2,2,1,2,4,3,3,3,3,1
153,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.0,1,1,3,5,5,3,5,4,2,4
154,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,0.0,3,2,1,5,2,5,1,5,2,5
155,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.0,4,5,5,5,1,4,2,4,3,3
156,CC1(C)NC(=N)NC(=N)N1c1ccc(Cl)c(Cl)c1,0.0,1,1,3,3,5,3,4,5,2,3
157,CC(C)(CO)C(O)C(=O)NCCS(=O)(=O)O,0.0,1,2,2,3,1,5,1,4,3,2
158,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,0.0,2,1,5,2,2,4,5,4,5,5
159,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0.0,1,5,1,3,2,1,5,4,3,4
160,CC[N+](C)(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0.0,4,5,3,2,2,3,5,5,3,2
161,CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,0.0,5,5,3,2,2,5,4,2,5,4
162,Nc1cc([As]=[As]c2ccc(O)c(N)c2)ccc1O,0.0,1,2,4,4,2,2,5,3,5,3
163,Oc1nc(O)c2nnoc2n1,0.0,2,4,4,3,1,1,3,1,4,4
164,N=C1NCCS1,0.0,2,5,1,2,4,5,3,5,3,1
165,O=Nc1ccc(O)cc1,0.0,5,4,1,1,5,1,2,1,3,4
166,NNC(=O)C(CC(C(=O)NN)C(=O)NN)C(=O)NN,0.0,3,2,1,1,4,3,1,5,1,1
167,O=C(O)Cc1cc(=O)[nH]n(-c2ccccc2)c1=O,0.0,1,5,5,2,2,3,1,1,5,4
168,NC(=O)C(=O)NN=Cc1ccc([N+](=O)[O-])o1,0.0,4,5,4,4,4,3,1,1,2,1
169,C[N+]1=Cc2ccccc2O[Cu-3]12Oc1ccccc1C=[N+]2C,0.0,3,5,1,4,1,1,1,4,2,2
170,O=S1OCCO1,0.0,3,1,2,1,4,1,2,1,3,1
171,CCCCS(=O)(=O)O,0.0,4,3,3,2,1,2,1,2,2,5
172,COc1ccc2c(ccc(=O)n2C)c1,0.0,4,3,2,4,4,3,1,4,2,1
173,CC(CN1CCCCC1)SSC(C)CN1CCCCC1,0.0,4,3,1,1,4,3,4,3,1,3
174,Cn1c(SSc2ccc(-c3cccnc3)n2C)ccc1-c1cccnc1,0.0,3,4,5,4,1,1,5,5,3,5
175,O=C1N(CO)C2C(N1CO)N(CO)C(=O)N2CO,0.0,2,1,4,2,1,5,5,4,5,1
176,CC(=O)OC1CCC2(C)C3=CCC4(C)C(C(C)=O)CCC4C34C=CC2(C1)C1C(=O)OC(=O)C14,0.0,1,2,3,3,5,1,1,4,2,4
177,CNC(=O)C(C)C1C(=O)C(=C(O)C=CC(C)=CC(C)C2OC3(C)OC(C=CC34CO4)C2C)C(=O)N1C1CCC(O)C(C)O1,0.0,5,5,5,4,3,1,5,3,5,5
178,CCCCCC(O)C1C(=O)OC(C)C(O)C=CC=CC=CC=CC=C(C)C(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC1O,0.0,2,5,5,3,5,5,2,1,1,3
179,CCC(C(=O)O)c1ccc([N+](=O)[O-])cc1.COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,0.0,2,5,1,5,2,4,5,2,1,3
180,CCC(C)OC(=O)c1ccccc1C(=O)O.COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5C4C3,0.0,1,1,4,2,1,5,1,1,5,5
181,O=c1ssc(=Nc2ccccc2)n1-c1ccccc1,0.0,3,2,2,5,1,3,4,1,4,4
182,CCCN=c1ssc(=O)n1CCC,0.0,4,4,1,2,1,2,5,4,4,3
183,CCCCN=c1ssc(=O)n1CCCC,0.0,5,2,3,3,2,5,2,2,4,1
184,O=c1ssc(=Nc2ccc(Cl)cc2)n1-c1ccc(Cl)cc1,0.0,4,4,4,4,1,1,5,4,2,5
185,CCCCCCCN=c1ssc(=O)n1CCCCCCC,0.0,1,2,2,1,2,5,5,4,3,1
186,NS(=O)(=O)c1cc(O)nc(O)n1,0.0,1,4,4,2,1,3,4,2,4,3
187,CS(=O)(=O)c1cc(O)nc(O)n1,0.0,4,4,4,5,3,4,1,4,1,5
188,CCS(=O)(=O)c1cc(O)nc(O)n1,0.0,3,4,4,1,4,4,4,3,4,4
189,O=S(=O)(Cc1ccccc1)c1cc(O)nc(O)n1,0.0,5,5,1,5,3,2,4,4,2,1
190,Cc1oc(C)c2c1C(=O)c1ccccc1C2=O,0.0,2,3,5,3,4,5,5,3,5,4
191,Nc1nc(O)c2c(n1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O,0.0,4,4,4,3,3,1,3,5,3,4
192,CCOC(=O)Nc1ccc(C(=O)C=Cc2ccc(N(CC)CC)cc2)cc1,0.0,5,2,4,3,3,5,5,2,5,3
193,CC1NC(C)SC(C)S1,0.0,3,5,1,3,1,4,5,1,2,5
194,N#CNC(=N)NC(=O)C=CC=Cc1ccc(Cl)cc1,0.0,5,3,3,3,3,1,4,5,2,3
195,O=C(O)C=CC(=O)NNC(=O)C=CC(=O)O,0.0,2,1,1,2,3,5,3,2,2,3
196,CC1C(=O)N2C(=O)C(C)C(C)C(=O)N2C(=O)C1C,0.0,3,3,5,1,4,4,4,4,3,2
197,O=C(O)CCC(=O)NNC(=O)CCC(=O)O,0.0,5,2,5,3,3,3,5,4,1,2
198,Nc1ccc(-c2ccc(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,0.0,1,4,5,4,3,5,4,2,5,2
199,CCC(CS(=O)(=O)O)[N+](=O)[O-],0.0,1,5,3,4,4,1,1,1,2,1
200,Oc1nnc(O)c2ncccc12,0.0,5,2,4,4,2,2,1,4,4,5
201,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,0.0,4,1,5,2,1,5,3,1,5,3
202,O=Nc1ccc(O)c2ncccc12,0.0,2,1,5,4,3,1,1,5,2,2
203,Oc1ccc(Cl)cc1C(c1cc(Cl)ccc1O)C(Cl)(Cl)Cl,1.0,4,5,3,3,3,4,5,5,5,1
204,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,0.0,3,1,5,4,3,1,5,1,5,3
205,c1ccc2c(c1)SC1=[S+][Cu-3]3([S+]=C4Sc5ccccc5N43)N12,0.0,5,3,5,5,5,4,3,3,2,2
206,Oc1c(Cl)cc(Cl)c2cccnc12,0.0,3,2,1,5,1,1,1,4,2,1
207,CC(=O)Nc1c2sscc-2n(C)c1=O,0.0,4,2,1,3,2,3,1,3,1,5
208,[O-][N+]1=Cc2ccc[o+]2[Cu-3]12[N+]([O-])=Cc1ccc[o+]12,0.0,4,5,2,2,5,5,4,5,5,5
209,O=C1O[Cu-3]2(Nc3ccccc31)Nc1ccccc1C(=O)O2,0.0,3,2,2,1,5,2,3,3,3,1
210,O=C(Oc1cccc2cccnc12)c1ccccc1,0.0,2,2,4,4,3,3,4,3,4,4
211,CCN(CC)C(=S)S[Se](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC,0.0,5,4,4,3,5,2,2,5,3,4
212,C1COCCN1.S=C(S)N1CCOCC1,0.0,2,2,2,4,4,3,5,3,1,3
213,CC1=NNC(=O)C1,0.0,2,5,2,1,1,1,4,3,3,4
214,O=c1ccc2cc(Cl)ccc2o1,0.0,3,2,3,1,1,2,1,1,2,5
215,CN(C)c1ccc(C=Cc2ccnc3ccccc23)cc1,0.0,1,3,5,4,2,1,4,5,1,1
216,CN(C)c1ccc(C=Cc2ccc3ccccc3[n+]2C)cc1,0.0,1,3,1,5,1,5,1,3,1,3
217,CN(C)c1ccc(C=Cc2cc[n+](C)c3ccccc23)cc1,0.0,5,5,5,1,3,4,3,2,3,2
218,c1cnc2c(c1)ccc1cccnc12,0.0,5,4,4,4,4,3,4,5,2,3
219,Cc1ccc2ccc3ccc(C)nc3c2n1,0.0,1,3,1,1,3,4,2,5,3,2
220,O=S(=O)(O)c1ccc2c(N=Nc3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,0.0,1,3,1,2,3,5,5,5,1,3
221,O=C1OC(=O)C2C1C(c1ccccc1)N1C3C(=O)OC(=O)C3C(c3ccccc3)N21,0.0,1,2,1,2,5,3,3,4,3,4
222,CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccccc2S(=O)(=O)O)cc1,0.0,2,5,2,3,4,2,1,1,5,5
223,COc1ccc(C=CC(=O)O)cc1OC,0.0,3,5,3,2,2,4,5,4,2,5
224,Cc1ccc(S(=O)(=O)Nc2cccc3c(O)ncnc23)cc1,0.0,1,4,4,2,5,3,3,1,1,2
225,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,0.0,5,2,1,5,5,4,3,1,1,5
226,c1ccc(C2=NC3(CCCCC3)N=C2c2ccccc2)cc1,0.0,4,5,5,4,1,4,3,5,2,1
227,CSc1nc(N)nc(N)n1,0.0,2,2,4,5,5,3,1,2,2,5
228,Nc1nc(N)nc(-c2ccccc2-c2nc(N)nc(N)n2)n1,0.0,5,4,3,5,2,2,3,4,3,3
229,C1CN2CN1CN1CCN(C1)C2,0.0,5,1,4,3,3,1,3,4,3,1
230,N=C(N)Nc1nnn[nH]1,0.0,3,1,4,5,5,1,2,3,1,5
231,O=[N+]([O-])c1cc(S(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)ccc1Cl,0.0,1,2,2,4,4,1,2,3,3,2
