SID,group,label_1a2,label_2c19,label_2c9,label_2d6,label_3a4,smiles
846772,training set,,1,,0,1,S(=O)(=O)(N1CCC(CC1)C(=O)Nc2cc(c(cc2)C)C)c3c(OC)ccc(OC)c3
846890,training set,0,1,1,0,,o1nc(nc1C2CN(C(=O)c3c(OC)cccc3)CCC2)-c4cc(OC)c(OC)cc4
847033,training set,,0,,0,0,o1c(C2N(C(=O)C(O)=C2C(=O)c3cc(OC)ccc3)CCOC)ccc1C
847058,training set,,1,,0,1,S(c1n(c(nn1)COc2ccccc2)CC)CC(=O)Nc3c(OC)ccc(OC)c3
847251,training set,1,1,1,0,0,s1c(nnc1COC)NC(=O)CSc2ccc(cc2)C
847355,training set,,1,,1,1,O1C(Cn2c(-c3ccccc3)cnc2N)CCC1
847473,training set,0,0,0,0,0,s1c(-c2nn(nn2)CCC(=O)O)ccc1
847542,training set,1,1,1,,1,S(c1oc2c(n1)cccc2)CC(=O)Nc3c(N4CCCCCC4)cccc3
847614,training set,1,1,1,,,S(c1nc-2nc3c(c2[nH]n1)cccc3)CC(=O)CC(OCC)=O
847619,training set,,1,,0,,O=C(NC1CCCC1)c2c(N3CCCCCC3)nccc2
847676,training set,,1,1,,1,Clc1c(Cn2nnc3c2nc(nc3O)C4CCN(CC4)C(=O)Cc5sccc5)cccc1
847691,training set,1,1,1,0,1,o1c(C(=O)c2c3c(n(c2)CCOc4c(OC)cccc4)cccc3)ccc1
847836,training set,,1,1,0,,S(=O)(=O)(NC1CCN(c2scc(n2)-c3ccc(cc3)C)CC1)c4cc5OCCOc5cc4
847923,training set,,1,0,0,1,S(=O)(=O)(N1CCC(NC(=O)Nc2ccc(cc2)C)CC1)c3ccc(OC)cc3
848009,training set,1,,,0,,s1c(nc(-c2ccc(OC)cc2)c1)NC(=O)Cn3nc(cc3C)C
848062,training set,,1,,0,,S(c1n(c(nn1)CNC(=O)Nc2ccccc2)C)Cc3ccccc3
848129,training set,1,1,,0,1,S(c1oc(nn1)CNc2ccccc2)CC(=O)N3c4c(CCC3)cccc4
848253,training set,0,,1,0,0,S(=O)(=O)(NC(=O)NCCCC)c1oc(cc1)C(OC(C)C)=O
848392,training set,0,0,0,,0,O=C(N1C(CCC1)C(=O)O)c2ccc(OCC)cc2
848536,training set,,1,1,1,0,O(c1ccc(CCNc2n3ncnc3nc(c2C)C)cc1)C
848576,training set,,,,,1,O(c1c(C2C(C(N)=C(C=3C2CN(CC3)CCC)C#N)(C#N)C#N)cc(OC)cc1)C
848612,training set,0,0,0,0,0,o1c(C2N(C(=O)C(O)=C2C(=O)c3cc(OC)ccc3)CCOC)ccc1
848623,training set,1,,,0,,S(c1n(nnn1)Cc2ccccc2)CC(=O)Nc3cc(NC(=O)CC)ccc3
848633,training set,1,1,,,,FC(F)c1nc(-n2nc(cc2C)C)nc(-c3ccc(OC)cc3)c1
848731,training set,,,,,1,Clc1cc(NC(=O)CN2C(SCC2=O)=O)c(OC)cc1
848749,training set,,,0,0,0,Oc1n2nc(c(c2nc(c1CC)C)C#N)C
848751,training set,1,,0,0,0,Clc1c(S(=O)(=O)N2CCOCC2)cc(C(=O)N3CCN(CC3)C(OCC)=O)cc1
848762,training set,,1,1,,1,s1c(CC(=O)N2CCC(c3nc4n(nnc4c(O)n3)Cc5ccc(cc5)C)CC2)ccc1
848874,training set,1,1,1,0,,s1c(N(C(=O)CC)Cc2occc2)nc(-c3ccccc3)c1
848966,training set,,0,,0,0,O=C(O)CCn1nc(nn1)-c2ccc(cc2)C(C)C
849116,training set,0,,,1,0,O(C(=O)c1ccc(O)cc1)CCCN2CCCCC2
849118,training set,0,0,0,0,0,O1C2(OCC1)CCN(CC2)C(=O)CCC(=O)Nc3noc(c3)C
849132,training set,1,0,0,,0,O=C(Nc1cc2c(nc1)cccc2)c3cc(-n4nnnc4)ccc3
849137,training set,1,,,1,,s1c2NC(=O)CN=C(c2c3c1CCCC3)c4sccc4
849292,training set,,1,0,0,0,Clc1c(c(F)ccc1)COC(=O)CNC(=O)c2occc2
849465,training set,1,1,1,1,1,Clc1ccc(C(N2CCN(CC2)Cc3ccncc3)c4n(nnn4)C5CCCC5)cc1
849510,training set,,0,0,0,0,S(c1oc(nn1)-c2cnccc2)CC(Oc3ccccc3)=O
849814,training set,1,,0,0,,S(c1nc([nH]n1)-c2cnccc2)CC(OCC)=O
850010,training set,,0,,1,0,S(=O)(=O)(N(C)C)c1ccc(C(=O)Nc2ccc(cc2)CN3CCCC3)cc1
850038,training set,0,,,0,1,S(=O)(=O)(NCC(=O)N(C(C(=O)NCC1OCCC1)C(C)C)Cc2occc2)c3ccc(F)cc3
850151,training set,,0,0,0,0,s1c(-c2ccccc2)ccc1NC(=O)C
850189,training set,,1,0,0,0,Clc1c(nsc1Cl)C(OCC(=O)NCCOC)=O
850283,training set,0,1,0,0,1,O(c1cc(-c2nn(nn2)CC(=O)Nc3c(OC)ccc(OC)c3)ccc1OCC)CC
850433,training set,,0,0,0,0,O1C2=C(C3(C(=C1N)C#N)CCC4(OCCO4)CC3)C(=O)CCC2
850554,training set,1,1,,0,0,O1CCN(/C=C(\c2ccccc2)/C#N)CC1
850571,training set,,,0,0,,O(c1c(OC)cc(c(-n2nnnc2)c1)C(=O)Nc3cc4OCCOc4cc3)C
850684,training set,0,0,0,0,0,Clc1c(cc(S(=O)(=O)NCC2OCCC2)cc1)C(=O)O
850739,training set,0,,0,0,0,O1C23C(C(C1C=C2)C(=O)O)C(=O)N(C3)Cc4ncccc4
850865,training set,1,1,1,,1,S(c1n(c(nn1)-c2c(O)cc3c(c2)cccc3)C)CC(=O)NCc4cc5OCOc5cc4
851015,training set,1,1,1,,,Oc1nc(nc2c1cccc2)CN(C3CCCC3)C(=O)Nc4cc(ccc4)C
851085,training set,1,1,,0,,S(=O)(=O)(N1CCN(c2n3ncnc3nc(c2)-c4ccccc4)CC1)c5ccccc5
851134,training set,1,1,1,,1,S(c1nc(n[nH]1)-c2c(O)cccc2)CC(=O)N3c4c(CCC3)cccc4
851213,training set,,0,,0,,S(c1n(c2ncccc2n1)-c3c(OC)cccc3)CC(=O)N4CCCC4
851235,training set,,1,0,0,,s1c2n(nc1-c3ccc(NC(=O)c4occc4)cc3)c(nn2)CC
851303,training set,1,1,,,1,o1c(nc(c1O)/C=N/c2ccc(N(C)C)cc2)-c3ccccc3
851343,training set,,1,,1,1,s1c(CN(C(=O)Cn2nc(nn2)-c3cc(OC)c(OC)cc3)CC(=O)NCCC(C)C)ccc1
851466,training set,0,1,0,0,,Clc1c(CNc2nc(O)nnc2C)cccc1
851470,training set,,,1,0,,O(C(=O)C1CN(C(=O)C1)c2ccc(OC)cc2)CC(=O)c3cc(OC)ccc3
851492,training set,1,,1,0,,O1C2(OCC1)CCN(c3n4nc(cc4nc(c3)-c5ccccc5)-c6cc(OC)ccc6)CC2
851503,training set,0,,,0,0,S(=O)(=O)(N1CCCCC1)c2ccc(-c3n(c(SCc4ccc(cc4)C#N)nn3)CC)cc2
851595,training set,1,,,0,0,Oc1n2nc(c(c2nc(c1)CC(OCC)=O)-c3ccccc3)C
851598,training set,,,,0,,OC1=C(C(N(C1=O)Cc2occc2)c3ccncc3)C(=O)c4cc(OCC)ccc4
851660,training set,1,,0,,0,S(c1n(c2ncccc2n1)C)CC(=O)N3CCC(CC3)C
851674,training set,0,0,0,0,0,O=C1N(c2ccc(OCC)cc2)CC(C1)C(=O)NC(C)C
851770,training set,,1,1,,1,s1c(C(N(C(=O)c2occc2)Cc3sccc3)C(=O)NC4CCCCC4)ccc1
851833,training set,1,1,1,0,0,s1c2c(nc1NC(=O)CSc3oc4c(n3)cccc4)cccc2
851909,training set,,,0,0,0,O(c1[nH]nc2nncnc21)C
851940,training set,,1,1,0,0,S1C(NC(=O)C2CN(C(=O)C2)c3ccc(cc3)CC)=NCC1
852016,training set,0,1,,0,,S(=O)(=O)(NCC(=O)N(CC1OCCC1)CC(=O)NCc2ccc(OC)cc2)c3ccccc3
852029,training set,0,,,0,0,OC1=C(C(N(C1=O)CCc2ccccc2)c3cc(OC)c(O)cc3)C(=O)c4oc(cc4)C
852148,training set,0,,,0,0,O=C(O)C(n1c(ccc1C)C)Cc2ccccc2
852502,training set,1,,0,0,0,n1(nc(cc1C)C)-c2nc(nc(n2)NC(C)C)NC(C)C
852560,training set,,1,,0,1,Oc1nc2c(cc1CN(Cc3n(nnn3)CC4OCCC4)Cc5c(OC)cccc5)cc(cc2C)C
852628,training set,0,0,0,0,0,S(c1n(N)c(nn1)COc2ccc(OC)cc2)CC(=O)O
852680,training set,0,,,0,0,OC1=C(C(N(C1=O)CCCOC)c2ccncc2)C(=O)c3cc(c(OC(C)C)cc3)C
852761,training set,,1,1,1,1,S(=O)(=O)(N(C1CCCCC1)CC)c2ccc(S(=O)(=O)NCc3ccncc3)cc2
852799,training set,1,1,1,0,0,O(C(=O)C=1C(NC(=O)NC1C)c2cocc2)CC
852933,training set,0,1,,1,,Fc1ccc(C(N2CCN(C(=O)c3occc3)CC2)c4n(nnn4)CCC(C)C)cc1
852944,training set,,0,0,,0,Clc1ccc(CCNC(=O)c2n[nH]cn2)cc1
852985,training set,,,0,0,0,o1nc(cc1/C=C/c2ccccc2)C(OC)=O
853124,training set,1,,0,1,,n1(c2c(nc1NCc3ccccc3)cccc2)CC=C
853133,training set,,0,0,0,0,O(C(=O)NC(C(=O)NCC1OCCC1)C)Cc2ccccc2
853202,training set,1,1,,0,,n1(nnc2c1ncnc2N3Cc4c(CC3)cccc4)Cc5ccccc5
853212,training set,0,0,,,0,O(c1c(OC)ccc(C(=O)NC2CC3N(C(C2)CCC3)CC(C)C)c1)C
853274,training set,1,,0,,,O(c1c(CC(c2nn[nH]n2)C(=O)Nc3c(ccc(c3)C)C)cccc1OC)C
853296,training set,,,0,0,,s1c(N2CCN(c3n4ncnc4nc(c3)C)CC2)nc5c1cccc5
853361,training set,1,0,,0,,O1c2c(OCC1)cc(NC(=O)C(C)C)c(C(=O)c3ccccc3)c2
853371,training set,,0,1,0,,s1c(C2N(C(=O)C(O)=C2C(=O)c3occc3)CCc4cc(OC)c(OC)cc4)ccc1
853436,training set,0,0,0,0,,OC1=C2C(C(=C(N=C2CC(C1)(C)C)C)C(=O)N3CCOCC3)c4c(OC)cc(OC)cc4
853529,training set,1,1,1,0,0,Clc1cc(NC(OCCNC(OC(C)C)=O)=O)ccc1
853557,training set,1,,,,0,Oc1c(C2Nc3c4c(N2)cccc4ccc3)cccc1
853573,training set,1,,,,,Oc1c2c(ncc1)cccc2Cc3ccccc3
853614,training set,1,1,,1,,Oc1n2nc(c(c2nc3c1CCCC3)C)-c4ccc(cc4)C
853696,training set,0,,,0,0,s1c(NC(=O)C2CCN(C(=O)NC3CCCCC3)CC2)nnc1CC
856259,training set,,0,0,0,0,Oc1nc(-n2nc(cc2C)C)nc(c1)C
856905,training set,,,0,0,0,Oc1nc(-c2ccccc2)cnn1
856953,training set,0,1,0,0,0,S(=O)(=O)(n1nc(cc1C)C)Cc2ccccc2
857056,training set,,1,,0,,O(c1nc(-n2nc(cc2C)C)nc(c1)C)c3ccc(cc3)C(OC)=O
857272,training set,1,1,1,,,O1c2c(C(C(=C1N)C#N)c3cnccc3)ccc(N(CC)CC)c2
857377,training set,1,1,0,1,,Brc1cc2c(NC(=O)CN3CCN(C4CCCCC4)CC3)c([nH]c2cc1)C(OC)=O
857531,training set,0,1,1,0,,FC(F)(F)C(NC(=O)Nc1cc(OC)c(OC)c(OC)c1)(C(F)(F)F)CC
857679,training set,0,,,0,0,Sc1nc(O)c(nn1)Cc2ccccc2
857689,training set,0,0,0,0,0,O=C1C(=C(O)CC(c2ccc(OC)cc2)C1)/C=N/CCN3CCOCC3
857842,training set,1,,,0,,n1c2c(c(nc1NC(Nc3ccccc3)=N)C)cccc2
857973,training set,0,,,0,,S(C(C(=O)O)CC(=O)O)Cc1ccc(OCC)cc1
858164,training set,1,,0,0,0,O1c2c(OC1)ccc(C3CC(=O)NC3)c2
858229,training set,,1,1,,0,s1c(NC(=O)C(C(F)(F)F)C(F)(F)F)nnc1SCC
858280,training set,,0,,0,0,O(c1ccc(-n2cnnc2)cc1)C
858319,training set,1,1,1,,1,Fc1cc2nc([nH]c2cc1F)-c3ccncc3
858323,training set,,,0,,0,O(Cc1ccccc1)CC/N=C/c2c(n(nc2)C)C
858342,training set,0,0,,0,0,O=C\1N(C(=O)NC(=O)/C1=C\NCCN2CCOCC2)c3cc(OC)ccc3
858418,training set,0,1,0,0,0,O=C\1N(C(=O)NC(=O)/C1=C\NCCN(C)C)CC=C
858428,training set,0,0,0,0,,O=C\1N(c2c(cc(cc2C)C)C)C(=O)NC(=O)/C1=C\NCCN3CCOCC3
858435,training set,0,1,,0,,S(c1n(nnn1)-c2ccccc2)C(CN3C(=O)CCC3)CN4CCOCC4
858440,training set,0,0,0,0,,O=C\1N(C(=O)NC(=O)/C1=C\NCCN2CCCCC2)CCCC
858457,training set,1,,0,,0,O(C(=O)C1C(C(NC1=O)C)c2ccccc2)CC
858482,training set,1,1,1,0,0,O(c1nc(N2CCOCC2)nc(c1)C)c3ccc(-c4ccccc4)cc3
858515,training set,1,1,,0,0,S(=O)(=O)(N(CC)CC)c1c2c(c(N(C)C)ccc2)ccc1
858593,training set,,1,0,0,0,O(c1c(OC)ccc(c1)CC(=O)NCc2ncccc2)C
858595,training set,1,1,1,1,1,N1(c2nc(nc3c2cccc3)-c4ccncc4)C(CCCC1)C
858631,training set,1,1,1,,1,Clc1cc(-c2n[nH]cc2C(=O)c3ccc(cc3)C)c(O)cc1
858640,training set,0,0,0,0,0,S(c1nc(Oc2nnc(O)cc2)nc(n1)N(C)C)C
858756,training set,0,,0,,,S(c1nc2c(c(c1C#N)-c3occc3)CCCC2)CC(=O)Nc4cc(OC)ccc4
858812,training set,1,1,1,0,,Clc1ccc(-c2nc(N)c(c(-c3cc(oc3)C)c2)C#N)cc1
858981,training set,0,,0,1,0,S(=O)(=O)(N1CCC(N2CCCCC2)CC1)c3ccc(OC)cc3
859001,training set,0,,,0,0,o1c(nnc1-c2occc2)-c3ccc(NC(=O)COc4ccccc4)cc3
859105,training set,0,,0,0,,Clc1ccc(C(=O)C=2C(N(C(=O)C2O)CCN3CCOCC3)c4c(OC)cc(OC)cc4)cc1
859218,training set,,1,1,,0,O(C(=O)C(c1nc2c(nc1N3CCN(CC3)Cc4ccccc4)cccc2)C#N)C(C)C
859244,training set,0,,0,,0,O(CC(=O)N1CCC(N2CCCCCC2)CC1)c3cc(ccc3)C
859331,training set,1,,,,,s1c2nc(c3c(c2c(N)c1C#N)CCCC3)C
859361,training set,,0,,,,O1C2=C(C(c3c1nc4c(c3)cccc4)C(C#N)C#N)C(=O)CC(C2)(C)C
859536,training set,,,,0,0,O(C1(OC)N=C(NC(=O)Nc2ccccc2)C3(C1(C3c4ccccc4)C#N)C#N)C
859689,training set,0,1,0,0,,S(=O)(=O)(NCCSc1n(nnn1)C)c2ccc(cc2)C
859703,training set,0,,,0,1,o1c(nnc1-c2occc2)-c3ccc(NC(=O)c4cc(OC)ccc4)cc3
859733,training set,1,1,,,,Clc1ccc(-c2oc(NC)c(n2)C#N)cc1
859751,training set,1,,,0,,Fc1ccc(-c2oc(N3CCCC3)c(n2)C#N)cc1
859761,training set,1,0,,0,,s1c(-c2oc(NC)c(n2)C#N)ccc1
859796,training set,0,1,1,0,,O=C(Nc1ccc(Nc2ncnc3n(ncc32)-c4ccccc4)cc1)C
859865,training set,0,1,1,0,,Clc1ccc(CC(=O)Nc2cc(-c3oc(nn3)-c4occc4)ccc2)cc1
859874,training set,0,,0,0,0,S(C(C(=O)O)CC(=O)O)Cc1ccc(OCCC)cc1
859883,training set,0,,0,0,0,O1CCN(CCCNc2ncnc3n(ncc32)-c4ccccc4)CC1
859900,training set,1,1,,0,0,O1c2c(N3c4c1cccc4CCC3C)cc(c(c2)C#N)C#N
859914,training set,1,1,1,,1,s1c(-c2oc(NCc3ccccc3)c(n2)C#N)ccc1
859949,training set,,1,1,,1,o1c(nnc1-c2occc2)-c3cc(NC(=O)Cc4ccc(OC)cc4)ccc3
859957,training set,,,,0,,O(c1c(OC)cccc1)CC(=O)Nc2ccc(C(OCC)=O)cc2
859984,training set,1,,1,0,0,Brc1cc2c(c([nH]c2cc1)C(=O)O)CC
859990,training set,1,1,,0,0,Sc1n(nc(n1)-c2ccccc2)-c3ccccc3
860043,training set,0,1,,0,0,O=C(c1c(c(n(NC(=O)c2ccncc2)c1C)C)C(=O)C)C
860091,training set,0,0,0,0,0,S(c1nc(O)c(c(O)n1)Cc2ccccc2)C
860103,training set,,,1,0,0,O=C1N(C(=O)c2c1cccc2)CCCC3C(=O)CC(CC3=O)(C)C
860146,training set,0,,0,0,0,Oc1c(CNn2cnnc2)cccc1
860163,training set,1,,0,0,,O/N=C(/c1cc2c([nH]cc2)cc1)\C
860196,training set,,1,1,,,Fc1ccc(C2N(C(=O)c3c(N2)cccc3)Cc4occc4)cc1
860207,training set,,1,1,0,1,S(c1n(c(nn1)-c2ccc(N)cc2)CC)CC(=O)Nc3c(C(OC)=O)cccc3
860223,training set,,1,1,0,,O=C1N(C(Nc2c1cccc2)c3ccc(cc3)C)Cc4occc4
860227,training set,,0,0,0,0,O1c2c(OC1)cc3[nH]c(c(NC(=O)CN4CCC5(OCCO5)CC4)c3c2)C(OCC)=O
860250,training set,,0,0,0,0,s1c2n(c(nn2)-c3ccncc3)cc1C
860294,training set,1,1,1,,0,O(c1cc(C=2Nc3n(nnn3)C(C2)c4ccccc4)ccc1)C
860350,training set,,0,,0,,Brc1cc(c(O)cc1)CNn2cnnc2
860472,training set,,,,1,1,O1c2c(OC1)cc3[nH]c(c(NC(=O)CN4Cc5c(CC4)cccc5)c3c2)C(OCC)=O
860507,training set,0,0,0,0,,OC1=C(C(N(C1=O)c2noc(c2)C)c3cc(OC)c(OC)cc3)C(=O)c4cc(OC)c(OC)cc4
860508,training set,1,1,,0,0,S1n2nc(cc2NC1Nc3ccccc3)C
860591,training set,0,0,,0,,s1c(C2N(C(=O)C(O)=C2C(=O)c3cc(OC)ccc3)c4noc(c4)C)ccc1
860691,training set,0,0,0,0,0,OC1=C(C(N(C1=O)CCN(CC)CC)c2ncccc2)C(=O)c3cc(OC)ccc3
860723,training set,0,,1,0,,o1c(C(=O)C=2C(N(C(=O)C2O)c3noc(c3)C)c4c(OC)c(OC)ccc4)cc5c1cccc5
860735,training set,,0,0,1,,Oc1n(cnc2-c1nc3c2cc(cc3)C)CC4N(CCC4)CC
860758,training set,1,1,,0,1,O=C(NCCCOC)c1c2nc3c(nc2n(/N=C/c4ncccc4)c1N)cccc3
860782,training set,0,0,,0,,O=c1n(c(nc2n(/N=C(/OCC)\C)c3nc4c(nc3c21)cccc4)C)CC(C)C
860830,training set,,,0,,,O(c1c(NC(=O)CN2CCCCC2)c3c(c(n(c3cc1)C)C)C(OCC)=O)C
860868,training set,0,0,0,,,O(c1c(NC(=O)CN2CCN(CC2)Cc3ccccc3)c4c(c(n(c4cc1)C)C)C(OCC)=O)C
860889,training set,0,0,0,0,0,OC1=C(C(N(C1=O)CCN2CCOCC2)c3cc(OC)c(OCCC)cc3)C(=O)c4occc4
860967,training set,0,1,0,1,0,Oc1cc(N(c2ccc(cc2)C)CC3=NCCN3)ccc1
860968,training set,,,,0,1,ON(C1C(=O)N(C(=O)C1)Cc2ccccc2)C3C(=O)N(C(=O)C3)Cc4ccccc4
860986,training set,,1,,,,O(C(=O)C(c1nc2c(nc1N3CCN(CC3)CC)cccc2)C#N)CCCCCC
861014,training set,0,0,0,,,O=C1N(C(c2c1[nH]nc2C)c3ncccc3)c4ccc(cc4)C
