Name,CAS #,smiles,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Metformin,657-24-9,CN(C)C(=N)NC(=N)N,0.64,7.4,1.0,1.4,1.7,"Pentikainen PJ, Neuvonen PJ, and Penttila A (1979) Pharmacokinetics of metformin after intravenous and oral administration to man.  Eur. J. Clin. Pharmacol. 16: 195-202.",VDss calculated from reported rate micro-constants.,,1961,129.16,5,4,89.0,3,cationic,-2.0,-5.5
"Fluorouracil, 5-",51-21-8,FC1=CNC(=O)NC1=O,0.23,26.0,0.64,0.15,0.12,"Port RE, Daniel B, Ding RW, and Herrmann R (1991) Relative importance of dose, body surface area, sex, and age for 5-flurouracil clearance.  Oncology 48: 277-281.  Schaaf LJ, Dobbs BR, Edwards IR, and Perrier DG (1987) Nonlinear pharmacokinetic characteristics of 5-fluorouracil (5-FU) in colorectal cancer patients.  Eur. J. Clin. Pharmacol. 32: 411-418.  Esposito M, Rosso R, and Santi L (1974) Plasma protein binding of antineoplastic drugs in rats and humans.  IRCS Library Compendium 2: 1180.",5-FU shows dose dependent kinetics; low dose data cited.,,1946,130.08,4,2,58.2,0,neutral,-0.93,-1.1
Aminolevulinic acid,106-60-5,NCC(CCC(O)=O)=O,0.12,1.88,0.88,1.06,0.83,1999-Nov-19  PDF(1255k) Pharmacology Review 020965/S-000. NDA 20-965 page 21.,"Levulan kerastick. N=6, 1.34 mg/kg. MRT from VDss and Cl.",,1948,131.13,4,2,80.4,4,zwitterionic,-2.0,-2.8
"Aminohexanoic acid, 6-",60-32-2,NCCCCCC(=O)O,0.39,2.5,0.92,2.6,4.9,"Frederiksen  MC, Bowsher DJ, Ruo TI, Henthorn TK, Ts'ao CH, Green D, and Atkinson AJ (1984) Kinetics of epsilon-aminocaproic acid distribution, elimination, and antifibrinolytic effects in normal subjects.  Clin. Pharmacol. Ther. 35: 387-393.  McNicol GP, Fletcher AP, Alkjaersig N, and Sherry S (1962) The absorption, distribution, and excretion of e-aminocaproic acid following oral or intravenous administration to man.  J. Lab Clin. Med. 59: 15-24.",Aminocaproic acid ,,1909,131.17,3,2,63.3,5,zwitterionic,0.16,-2.1
Amphetamine (-d),51-64-9,c1(ccccc1)C[C@H](C)N,6.1,9.7,0.8,10.0,7.3,"Angagard E, Gunne LM, Jonsson LE and Niklasson F (1970) Pharmacokinetics and clinical studies on amphetamine dependent subjects.  Eur. J. Clin. Pharmacol. 3: 3-11.  Busto U, Bendayan R, and Sellers EM (1989) Clinical pharmacokinetics of non-opiate abused drugs.  Clin. Pharmacokinet. 16: 1-26.  De la Torre R, Farre M, Navarro M, Pacifici R, Zuccaro P, and Pichini S. Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet. 2004, 43, 157-185.",PK reported as monoexponential decline so reported VD was used as VDss.  CL calculated from VD and t1/2.,,1946,135.21,1,1,26.0,2,cationic,1.8,-0.64
Allopurinol,315-30-0,O=C1NC=Nc2[nH]ncc12,0.58,11.0,0.97,0.88,0.8,"Breithaupt H and Tittel M (1982) Kinetics of allopurinol after sinlge intravenous and oral doses.  Eur. J. Clin. Pharmacol. 22: 77-84.  Elion GB, Kovensky A, Hitchings GH, Metz E, and Rundles RW (1966) Metabolic studies of allopurinol, an inhibitor of xanthine oxidase.    Biochem. Pharmacol. 15: 863-889.",,,1913,136.11,5,2,70.1,0,neutral,-1.3,-1.4
INO-1001,3544-24-9,C(=O)(N)c1cc(N)ccc1,1.9,7.9,,4.0,5.0,"A Phase IB Trial of Intravenous INO-1001 Plus Oral Temozolomide in Subjects with Unresectable Stage-III or IV Melanoma. Agop Y. Bedikian, Nicholas E. Papadopoulos, Kevin B. Kim, Wen-Jen Hwu, Jade Homsi, Michelle R. Glass, Suzanne Cain, Patrick Rudewicz, Laurent Vernillet, and Patrick Hwu. Cancer Investigation, 2009, 27,756–763.","NSC36962. Weighted average of 100, 200 and 400 mg doses, 1-hr infusion,",,1917,136.15,3,2,69.1,1,neutral,-0.11,-0.11
Glyceryl 1-nitrate,624-43-1,C([C@@H](CO)O)O[N+](=O)[O-],0.76,3.63,,4.12,2.5,"H. LAUFEN, M. LEITOLD. Glyceryl-1-nitrate pharmacokinetics in healthy volunteers. Br. J. Clin. Pharmac. (1987), 23, 287-293.","N=10, 20 mg kg dose administered via 1hr infusion, 77.9 kg average weight.",,1949,137.09,6,2,92.8,4,neutral,-0.51,-0.51
Isoniazide,54-85-3,NNC(=O)c1ccncc1,0.82,7.4,1.0,1.8,1.0,"Advenier C, St.Aubin A, Gobert C, Houin G, Albengres E, and Tillement JP (1980) Pharmacokinetics of isoniazid in the elderly.  Br. J. Clin. Pharmacol. 10: 167-169.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.","VDss calculated from reported micro rate constants.  CL and t1/2 are for fast acetylators.  CL and t1/2 for slow acetylatore were 3.7 mL/min/kg and 3.1h, respectively.",,1952,137.14,4,2,68.0,1,neutral,-1.0,-1.0
Pralidoxime,51-15-0,c1([n+](cccc1)C)\C=N\O,0.8,9.0,1.0,1.5,1.4,"Toxogonin and Pralidoxime: Kinetic Comparison after Intravenous Administration to Man FREDERICK R. SIDELL’, WILLIAM A. GROFF, and ANDRIS KAMINSKIS. J. Pharm. Sci. 1972, 61, 1765-1769. ppb: The PDR states: Pralidoxime chloride is not bound to plasma protein. Accessed January 8 2015. http://www.pdr3d.com/detail.php?c=33217#section-3","Average of pralidoxime methansulfonate and chloride. N=6 total (3+3), all 5 mg/kg dose. Average weight 80 kg.",,1955,137.16,3,1,36.5,1,neutral,-3.2,-3.4
Fosfomycin,23155-02-4,C[C@@H]1O[C@@H]1P(=O)(O)O,0.32,2.0,1.0,2.7,1.9,"Goto M, Sugiyama M, Nakajima S, and Yamashina H (1981) Fosfomycin kinetics after intravenous and oral administration to human volunteers.    Antimic. Agents Chemother. 20: 393-397.  Potel G, Meignier M, Baron D, Reynaud A, Touze MD, and Cortieu AL (1989) Pharmacokinetics of fosfomycin in normal and burn patients.  Effect of probenecid.  Drugs Exptl. Clin. Res. 15: 177-184.  Kestle DG and Kirby WMM (1970) Clinical pharmacology and in vitro activity of phosphonomycin.  Antimic. Agents Chemother. 332-337 (Chem Abstr. 75:62036).",,,1969,138.06,4,2,70.1,1,anionic,-0.62,-5.7
Mesna,19767-45-4,C(S(=O)(=O)O)CS,0.65,20.5,,0.52,0.36,"C. A. JAMES, T. G. K. MANT and  H. J. ROGERS. Pharmacokinetics of intravenous and oral sodium 2-mercaptoethane sulphonate (mesna) in normal subjects  Br. J. clin. Pharmac. (1987), 23, 561-568","N=6, 800 mg dose, first order behavior. VD reported as VDz but taken as VDss. CAS number of the sodium salt and smiles of the free acid.",,1954,142.2,3,1,54.4,2,anionic,-0.71,-4.2
Valproic Acid,99-66-1,CCCC(CCC)C(=O)O,0.14,0.16,0.08,15.0,12.0,"Bryson SM, Verma N, Scott PJW, and Rubin PC (1983) Pharmacokinetics of valproic acid in young and elderly subjects.  Br. J. Clin. Pharmacol. 16: 104-105.  Hussein Z, Patterson KJ, Lamm JE, Cavanaugh JH, and Granneman GR (1993) Effect of infusion duration on valproate pharmacokinetics.  Biopharm. Drug Dispos. 14: 389-399.  Gugler R and Meuller G (1978) Plasma protein binding of valproic acid in healthy subjects and in patients with renal disease.  Br. J. Clin. Pharmacol. 5: 441-446.",,,1963,144.21,2,1,37.3,5,anionic,2.6,0.25
Heptaminol,372-66-7,CC(CCCC(C)(C)O)N,2.14,10.72,,3.24,2.5,"Von F. Kees, P. Pominiak und H. Grobecker. Untersuchungen zur Bioverfiigbarkeit von Heptaminol bei Probanden. Arzneim.-Forsch./Drug Res. 1987, 37, 1182-1185","N=10, 65 kg median weight reported. 250 and 300 mg dose, with essentially identical PK parameters. Data for the 250 mg dose taken. MRT from VDss and clearance",,1948,145.24,2,2,46.3,3,cationic,1.4,-1.6
Coumarin,91-64-5,c12c(ccc(o1)=O)cccc2,1.1,23.6,0.17,0.78,0.8,"Pharmacokinetics of coumarin and its 7-hydroxy-metabolites upon intravenous and peroral administration of coumarin in man. Ritschel, W. A.; Brady, M. E.; Tan, H. S. I.; Hoffmann, K. A.; Yiu, I. M.; Grummich, K. W. European Journal of Clinical Pharmacology (1977), 12(6), 457-461. ppb: Loren M. Berry, Chao Li, and Zhiyang Zhao. Species Differences in Distribution and Prediction of Human Vss from Preclinical Data Drug Metab. Disp. 2011, 39, 2103-2106.",Vc = Dose/Co reported. VDss = Vc*(1+ k12/k21). MRT = VDss/Cl. 68 kg average weight. N=4 16.78 mg dose.,,1884,146.14,2,0,30.5,0,neutral,1.6,1.6
Mildronate,76144-81-5,C(CCN[N+](C)(C)C)([O-])=O,0.7,2.8,,4.3,6.2,"Ye Penga,, Jing Yangb, ZhiRui Wang, Jingwen Wang, Yu Liub, Zhuojing Luoa, AiDong Wen. Determination of mildronate by LC–MS/MS and its application to a pharmacokinetic study in healthy Chinese volunteers. Journal of Chromatography B, 878 (2010) 551–556","meldonium. VDss from reported MRT and clearance. Average of 3 doses,  250, 500 and 1000 mg, N= 10 each. 70 kg average weight assumed.",,1980,146.19,4,1,52.2,4,zwitterionic,-6.6,-8.9
"Penicillamine, D-",52-67-5,CC(C)([C@H](C(=O)O)N)S,1.26,10.65,0.12,1.97,3.04,"WALTER R. KUKOVETZ, ECKHARD BEUBLER, FRANZ KREUZIG, ALFRED J. MORITZ,GONTHER NIRNBERGER, and LISBETH WERNER-BREITENECKER. Bioavailability and Pharmacokinetics of D-Penicillamine. J. Rheum. 1983, 10, 90-94.//ppb: M. A. ABOUNASSIF and T. M. JEFFERIES. The determination of D-penicillamine and its disulphide in plasma by reversed-phase ion-pair high-performance liquid chromatography. J. Pharm. Biomed. Anal. 1983, 1, 65-72.","N=6, 60.8 kg average weight, 250 mg bolus dose. 
Digitized from a very clear plot. The AUC corresponds to a calculation with a concentration of 0 at time 0 (run here for comparison) and NOT extrapolated  to t=0 from measured concentrations.The correct calculation was retained via PK solver. Also the clearance reported  uses units of AUC not clearance.//ppb: reported as 8-16% free. Median taken.",,1943,149.21,3,2,63.3,1,zwitterionic,-0.16,-1.8
Methamphetamine,537-46-2,CN[C@@H](C)Cc1ccccc1,4.3,4.4,0.85,16.0,12.0,"Harris DS, Boxenbaum H, Everhart ET, Sequeira G, Mendelson JE, and Jones RT (2003) The bioavailability of intranasal and smoked methamphetamine.  Clin. Pharmacol. Ther. 74: 475-486.  Cook CE, Jeffcoat AR, Hill JM, Pugh DE,  Patetta PK, Sadler BM, White WR, and Perez-Reyes M (1993) Pharmacokinetics of methamphetamine self-administered to human subjects by smoking S-(+)-methamphetamine hydrochloride.  Drug Metab. Dispos. 21: 717-723.  Mendelson J, Jones RT, Upton R, and Jacob P (1995) Methamphetamine and ethanol interactions in humans.  Clin. Pharmacol. Ther. 57: 559-568.  De la Torre R, Farre M, Navarro M, Pacifici R, Zuccaro P, and Pichini S (2004) Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet. 43: 157-185.",Values for individual stereoisomers were averaged.,,1919,149.23,1,1,12.0,3,cationic,2.1,-0.2
Xylose_D,58-86-6,O[C@@H]1[C@H]([C@H](OC[C@H]1O)O)O,0.23,2.38,,1.9,1.2,"Kinetic analysis of D-xylose absorption in normal subjects and in patients with chronic renal failureCraig R M; Murphy P; Gibson T P; Quintanilla A; Chao G C; Cochrane C; Patterson A; Atkinson A J Jr  The Journal of laboratory and clinical medicine (1983), 101(3), 496-506","Average weight of normal subject 75.3 kg, 10 g dose iv. N=12. VDss calculated by digitization of one patient plot, but data very tight across normal subjects and reported as VD (unspecified). Authors report VD values of 0.11, 0.12, and 0.23 L/kg for Vc, Vp, and “Vd” respectively.  What “Vd” refers to in the paper is not described in the calculations.  VDss and MRT was calculated from digitization of plot in Figure (which is for one subject).","Xylose_D reported originally to have a clearance of 7.7 mL/min/kg but due to erroneously taking intercompartmental clearance, 578 mL/min. Actual Cl(total) 179.7 mL/min",1890,150.13,5,4,90.1,0,neutral,-2.5,-2.5
Acetaminophen,103-90-2,CC(=O)Nc1ccc(O)cc1,1.0,5.0,0.52,3.3,2.5,"Rowlins MD, Henderson DB, Hijab AR (1977) Pharmacokinetics of paracetamol (acetaminophen) after intravenous and oral administration.  Eur. J. Clin. Pharmacol. 11: 283-286.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",VDss calculated from micro rate constants provided in Rowlins et al.,,1907,151.16,3,2,49.3,1,neutral,0.76,0.76
Amantadine,768-94-5,NC12CC3CC(CC(C3)C1)C2,6.6,4.8,0.33,23.0,16.0,Aoki FY and Sitar DS (1988) Clinical pharmacokinetics of amantadine hydrochloride.  Clin. Pharmacokinet. 14: 35-51.,,,1957,151.25,1,1,26.0,0,cationic,2.5,-0.43
"Mercaptopurine, 6-",50-44-2,S=C1NC=Nc2[nH]cnc12,1.0,15.0,0.85,1.1,1.0,"Coffey JJ, White CA, Lesk AB, Rogers WI, and Seppick AA (1972) Effect of allopurinol on the pharmacokinetics of 6-mercaptopurine (NSC 755) in cancer patients.  Cancer Res. 32: 1283-1289.  Esposito M, Rosso R, and Santi L (1974)  Plasma protein binding of antineoplastic drugs in rats and humans.    IRCS Library Compendium  2: 1180.",Purinethiol.U 4748. Pharmacokinetic parameters were calculated using the mean C vs t values from three study subjects receiving intravenous 500 mg/m2. ,,1953,152.18,4,2,53.1,0,neutral,-1.8,-2.0
"Aminosalicylic acid, 5-",89-57-6,Nc1ccc(O)c(c1)C(=O)O,0.33,9.3,0.39,0.59,0.61,"Bondesen S, Hegnhoj J, Larsen F, Hansen H, Hansen CP, and Rasmussen SN (1991) Pharmacokinetics of 5-aminosalicylic acid in man following administration of intravenous bolus and per os slow-release formulation.  Digest. Dis. Sci.  12: 1735-1740.  Way EL, Smith PK, Howie DL, Weiss R, and Swanson R (1948) The absorption, distribution, excretion, and fate of para-aminosalicylic acid.  J. Pharmacol. Exp. Ther. 93: 368-382.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",Mesalamine. Mesalazine. VDss and t1/2 calculated from data obtained by digitization of C vs t plots provided in the references.,,1907,153.14,4,3,83.6,1,anionic,0.67,-2.6
Dopamine,51-61-6,c1(cc(c(O)cc1)O)CCN,0.74,65.9,0.87,0.19,0.42,"Data digitized from Fig. 1 P.-0. JARNBEG, L. BENGTSSOJN, E KSTRANaD, B. HAMBERCER Dopamine Infusion in Man. Plasma Catecholamine Levels and Pharmacokinetics. Acta anaesth. scand. 1981, 25, 328-331.//ppb: Gunhild Franksson and Erik Änggård The Plasma Protein Binding of Amphetamine,  Catecholamines and  Related Compounds. Acta Pharmacol. Toxicol.1970, 28,  209-214.","N=8 for 2 and 5 ug/kg/min, 30' infusion. Data digitized from Fig.1",,1910,153.18,3,3,66.5,2,cationic,0.56,-2.0
Tranexamic acid,1197-18-8,NC[C@@H]1CC[C@H](CC1)C(=O)O,0.38,2.4,0.97,2.6,2.3,"Puigdellivol E, Carral ME, Moreno J, Pla-Delfina JM, and Jane F (1985) Pharmacokinetics and absolute bioavailability of intramuscular tranexamic acid in man.  Int. J. Clin. Pharmacol. Ther. Toxicol.  23: 298-301. ppb: the PDR states: The plasma protein binding of tranexamic acid is about 3% at therapeutic plasma levels and seems to be fully accounted for by its binding to plasminogen. Tranexamic acid does not bind to serum albumin. Accessed January 5 2015. http://www.pdr3d.com/detail.php?c=129323#section-3",PK parameters were calculated from reported C vs t data.  Data table in the report has incorrect units.,,1955,157.21,3,2,63.3,2,zwitterionic,0.34,-1.9
Butylbiguanide,692-13-7,CCCCNC(=N)NC(=N)N,1.84,6.58,0.9,4.66,4.62,"Lintz, W.; Berger, W.; Aenishaenslin, W.; Kutova, V.; Baerlocher, Ch.; Kapp, J. P.; Beckmann, R. Butylbiguanide concentration in plasma, liver, and intestine after intravenous and oral administration to man. Eur. J. Clin. Pharmacol. (1974), 7(6), 433-48.","N=4, diabetic patients, 77 kg average weight reported, 50 mg dose i.v. VDss from V1 and k12, k21. MRT from VDss and clearance. Renal clearance 73%. Total radioactivity but noted that there is no metabolism by the authors so that the equivalence radiioactivity=compound is valid. ",,1959,157.22,5,5,97.8,6,cationic,-0.61,-4.1
Oxiracetam,62613-82-5,NC(=O)CN1CC(O)CC1=O,0.55,1.8,,4.9,7.5,"Perucca E, Albrici A, Gatti G, Spalluto R, Visconti M, and Crema A (1984) Pharmacokinetics of oxiracetam following intravenous and oral administration in healthy volunteers.  Eur. J. Drug Metab. Pharmacokinet.  3: 267-274.",,,1977,158.16,5,2,83.6,2,neutral,-2.5,-2.5
Hydralazine,86-54-4,N\N=C\1/NN=Cc2ccccc12,1.5,85.0,0.12,0.29,1.0,"Ludden TM, Shepherd AMM, McNay JL, and Lin MS (1983) Effect of intravenous dose on hydralazine kinetics after administration.  Clin. Pharmacol. Ther.  34: 148-152.  Kirsten R, Nelson K, Kirsten D, and Heintz B (1998) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ","From Ludden, et al., used 1.02 umol/kg dose group.  Blood values corrected to plasma using B/P=1.68.  ",,1949,160.18,4,2,62.8,0,cationic,2.4,-1.1
Carnitine_L,406-76-8,C([N+](C)(C)C)[C@@H](CC(=O)[O-])O,0.4,1.6,1.0,4.2,5.0,"Sahajwalla CG, Helton ED, Purich ED, Hoppel CL, Cabana BE. Comparison of L-Carnitine Pharmacokinetics With and Without Baseline Correction Following Administration of Single 20-mglkg Intravenous Dose. J Pharm Sci. 1995 May;84(5):634-9. ppb: the PDR states: Levocarnitine was not bound to plasma protein or albumin when tested at any concentration or with any species including the human. Accessed January 2 2015. http://www.pdr3d.com/detail.php?c=138037#section-5","All data from table 3, calculated as average dose 1,485 mg (MW161, 9,223,602 nmol), 74 kg average weight.N=15. VDss taken as 29 L (free corrected, not conjugated L-carnitine). MRT from VDss and clearance. AUC taken as 1318 nmol.hr/mL.",70-85% excreted unchanged. Same paper as for ref. for data.,1902,161.2,4,1,60.4,4,anionic,-4.6,-4.0
Chlormethiazole,533-45-9,Cc1ncsc1CCCl,6.6,33.0,0.36,3.3,4.5,"Neuvonen PJ, Pentikainen PJ, Jostell KG, and Syvalahti E (1981) Effect of ethanol on the pharmacokinetics of chlormethiazole in humans. Int. J. Clin. Pharmacol. Ther. Toxicol. 19: 552-560.  Jostell KG, Agurell S, Allgen LG, Kuylenstierna B, Lindgren JE, Aberg G, and Osterlot G (1978) Pharmacokinetics of clomethiazole in healthy adults.  Acta Pharmacol. Toxicol. 43: 180-189.  Moore RG, Triggs EJ, Shanks CA, and Thomas J (1975) Pharmacokinetics of chlormethiazole in humans.  Eur. J. Clin. Pharmacol.  8: 353-357.  Pentikainen PJ, Neuvonen PJ, Jostell KG (1980) Pharmacokinetics of clormethiazole in healthy volunteers and patients with cirrhosis of the liver.  Eur. J. Clin. Pharmacol. 17: 275-284. "," VDss calculated from reported micro rate constants in the references by Moore, et al., and Jostell, et al.",,1935,161.65,1,0,12.9,2,neutral,1.9,1.9
Nicotine,54-11-5,CN1CCC[C@H]1c2cccnc2,2.6,18.0,0.95,2.4,2.0,"Benowitz NL, Jacob P, Jones RT, and Rosenberg J (1982) Interindividual variability in the metabolism and cardiovascular effects of nicotine in man.  J. Pharmacol. Exp. Ther. 221: 368-372. ",,,1946,162.23,2,0,16.1,1,cationic,1.1,-0.46
"Acetylcysteine, N-",616-91-1,CC(=O)N[C@@H](CS)C(=O)O,0.55,3.1,0.17,3.0,5.5,"Prescott LF, Donovan JW, Jarvie DR, and Proudfoot AT. The disposition and kinetics of intravenous N-acetylcysteine in patients with paracetamol overdosage.  Eur. J. Clin. Pharmacol. 1989, 37, 501-506.  Acetadote Product Label.",,,1921,163.19,4,2,66.4,3,anionic,-0.53,-3.8
Tiopronin,1953-02-2,C[C@@H](C(NCC(O)=O)=O)S,1.39,1.48,0.45,15.7,55.0,"M. S. Carlsson , T. Denneberg  , B.-M. Emanuelsson , B. Kagedal , and S. Lindgren. Pharmacokinetics of intravenous 2-mercaptopropionylglycine in man. Eur J Clin Pharmacol (1990) 38:499-503. fu from clearance total and unbound reported. M. S. Carlsson , T. Denneberg  , B.-M. Emanuelsson , B. Kagedal , and S. Lindgren. Pharmacokinetics of oral tiopronin Eur J Clin Pharmacol (1993) 45:79-84. Data initially and erroneously entered from this work being a follow-up p.o. of 1990 work. Corrected on January 6 2015.","2-MPG. N=10, 71 kg average weight. 250 mg iv dose.",Almost exclusively excreted unchanged renally. As reported by Carlsson et al.,1963,163.19,4,2,66.4,3,anionic,-0.23,-3.6
Guanylcisteine,40454-21-5,N([C@H](C(O)=O)CS)C(N)=N,0.25,2.88,,1.39,1.34,"R. Cadórniga, E. Barcia, I. T. Molina, A. Galiano, J.A. Gutiérrez. Estudio farmacocinetico de la guanil-cisteina. Rev farmacol Clin Exp 1987, 4, 325-331.","N=10, 69.4 kg average weight, 600 mg dose. VDss from Vc and k12/k21. Clearance from dose and AUC.",,1961,163.2,5,4,99.2,4,zwitterionic,-1.1,-3.4
Edrophonium,312-48-1,CC[N+](C)(C)c1cccc(O)c1,1.1,9.6,,1.9,1.8,"Morris RB, Cronnelly R, Miller RD, Stanski DR, and Fahey MR (1981) Pharmacokinetics of edrophonium and neostigmine when antagonizing d-tubocurarine neuromuscular blockade in man.  Anesthesiol. 54: 399-402.",,,1950,166.24,2,1,20.2,2,neutral,-3.1,-3.2
