Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID
CHEMBL2349480;;0;335.41;0;2.1;50, rac-50;CN1C(=O)C2(CC(C)(C)Cc3ccc(-c4cncnc4)cc32)N=C1N;EC50;'=';53.0;nM;7.28;;;UO_0000065;21.69;0.4;5.18;8.61;False;CHEMBL2352015;Inhibition of BACE1 in HEK293 cells expressing wild type APP assessed as level of amyloid beta (1 to 40) after 48 hrs by HTRF assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL2346596;1;Scientific Literature;J. Med. Chem.;2013;CHEMBL3307715
CHEMBL2349476;;0;352.41;0;2.84;46, rac-46;CN1C(=O)C2(CC(C)(C)Cc3ccc(-c4cccnc4F)cc32)N=C1N;EC50;'=';16.0;nM;7.8;;;UO_0000065;22.12;0.41;4.96;10.89;False;CHEMBL2352015;Inhibition of BACE1 in HEK293 cells expressing wild type APP assessed as level of amyloid beta (1 to 40) after 48 hrs by HTRF assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL2346596;1;Scientific Literature;J. Med. Chem.;2013;CHEMBL3307715
CHEMBL2349506;;0;374.44;0;2.66;36, rac-36;CC#Cc1cncc(-c2ccc3c(c2)C2(CC(C)(C)O3)N=C(N)N(C)C2=O)c1;EC50;'=';47.0;nM;7.33;;;UO_0000065;19.57;0.36;4.67;9.07;False;CHEMBL2352015;Inhibition of BACE1 in HEK293 cells expressing wild type APP assessed as level of amyloid beta (1 to 40) after 48 hrs by HTRF assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL2346596;1;Scientific Literature;J. Med. Chem.;2013;CHEMBL3307715
CHEMBL2349615;;0;365.43;0;2.91;15, rac-15;COc1ccccc1-c1ccc2c(c1)C1(CC(C)(C)O2)N=C(N)N(C)C1=O;EC50;;;;;;Not Determined;;;;;;False;CHEMBL2352015;Inhibition of BACE1 in HEK293 cells expressing wild type APP assessed as level of amyloid beta (1 to 40) after 48 hrs by HTRF assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL2346596;1;Scientific Literature;J. Med. Chem.;2013;CHEMBL3307715
CHEMBL1824345;;0;418.48;0;3.23;48;CN1C(=O)C(c2cccc(-c3cccnc3F)c2)(c2cnn(C3CCCC3)c2)N=C1N;EC50;'=';410.0;nM;6.39;;;UO_0000065;15.26;0.28;3.16;7.14;False;CHEMBL1825608;Inhibition of BACE1 expressed in CHO cells expressing wild type human APP assessed as inhibition of amyloid beta-40 or 42 production by ELISA assay;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1821667;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;CHEMBL3308072
CHEMBL1824338;;0;432.38;0;2.68;(S)-41;CN1C(=O)[C@](c2cccc(-c3cccnc3F)c2)(c2cnn(CC(F)(F)F)c2)N=C1N;EC50;'=';430.0;nM;6.37;;;UO_0000065;14.72;0.28;3.69;7.12;False;CHEMBL1825608;Inhibition of BACE1 expressed in CHO cells expressing wild type human APP assessed as inhibition of amyloid beta-40 or 42 production by ELISA assay;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1821667;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;CHEMBL3308072
CHEMBL1923708;;0;411.51;1;5.76;21;COc1ccc2nc(-c3ccc(-c4nc5ccccn5c4NC(C)(C)C)cc3)[nH]c2c1;EC50;'=';2405.0;nM;5.62;;;UO_0000065;13.65;0.25;-0.14;8.36;False;CHEMBL1926458;Inhibition of BACE1 in human H4 cells expressing APP Swedish K595N and M596L double mutant assessed as inhibition of amyloid beta (1 to 40) production after 24 hrs by whole cell assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;H4;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1921672;1;Scientific Literature;J. Med. Chem.;2011;CHEMBL3308507
CHEMBL583887;;0;416.45;0;4.21;32;CCCc1cccc(C2(c3ccc(OC(F)(F)F)cc3)N=C(N)N3CCCN=C32)c1;EC50;'=';2100.0;nM;5.68;;;UO_0000065;13.63;0.26;1.47;8.98;False;CHEMBL1061267;Inhibition of BACE1 expressed in CHO cells co-expressing human wild type APP protein by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1155232;1;Scientific Literature;J. Med. Chem.;2009;CHEMBL3308072
CHEMBL567633;;0;452.44;0;3.72;(S)-35;NC1=N[C@@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12;EC50;'=';2560.0;nM;5.59;;;UO_0000065;12.36;0.23;1.87;6.28;False;CHEMBL1061267;Inhibition of BACE1 expressed in CHO cells co-expressing human wild type APP protein by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1155232;1;Scientific Literature;J. Med. Chem.;2009;CHEMBL3308072
CHEMBL567430;;0;471.41;0;4.0;46;NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NOCCN12;EC50;'=';200.0;nM;6.7;;;UO_0000065;14.21;0.27;2.7;7.85;False;CHEMBL1061267;Inhibition of BACE1 expressed in CHO cells co-expressing human wild type APP protein by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1155232;1;Scientific Literature;J. Med. Chem.;2009;CHEMBL3308072
CHEMBL576258;;0;469.44;0;4.46;(R)-37;NC1=N[C@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCN12;EC50;'=';90.0;nM;7.05;;;UO_0000065;15.01;0.28;2.59;9.26;False;CHEMBL1061267;Inhibition of BACE1 expressed in CHO cells co-expressing human wild type APP protein by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1155232;1;Scientific Literature;J. Med. Chem.;2009;CHEMBL3308072
CHEMBL583213;;0;346.48;0;3.66;27;CC(C)(C)c1cccc(C2(c3ccccc3)N=C(N)N3CCCN=C32)c1;EC50;'=';3000.0;nM;5.52;;;UO_0000065;15.94;0.29;1.86;10.23;False;CHEMBL1061267;Inhibition of BACE1 expressed in CHO cells co-expressing human wild type APP protein by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1155232;1;Scientific Literature;J. Med. Chem.;2009;CHEMBL3308072
CHEMBL291784;;0;265.32;0;1.72;3;CN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1N;EC50;'=';3400.0;nM;5.47;;;UO_0000065;20.61;0.37;3.75;9.32;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL567259;;0;456.42;0;3.69;57;COc1ncccc1-c1cccc(C2(c3ccc(OC(F)(F)F)cc3)N=C(N)N(C)C2=O)c1;EC50;'=';2570.0;nM;5.59;;;UO_0000065;12.25;0.23;1.9;6.21;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL2349613;;0;360.42;0;2.77;13, rac-13;CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccc(C#N)c4)cc32)N=C1N;EC50;'=';36.0;nM;7.44;;;UO_0000065;20.65;0.38;4.67;8.12;False;CHEMBL2352015;Inhibition of BACE1 in HEK293 cells expressing wild type APP assessed as level of amyloid beta (1 to 40) after 48 hrs by HTRF assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL2346596;1;Scientific Literature;J. Med. Chem.;2013;CHEMBL3307715
CHEMBL3628124;;0;531.44;1;3.07;20a;N/C1=N\C(=O)[C@@H]2CCCN2c2ccc(cc2)OC/C=C/CNCC(=O)Nc2c(Cl)cc(cc2Cl)CN1;EC50;'=';880.0;nM;6.06;;;UO_0000065;11.39;0.23;2.99;5.0;False;CHEMBL3630428;Inhibition of BACE1 in HEK293 cells expressing APP695 Swedish mutant assessed as reduction of amyloid beta (1 to 40) production after overnight incubation by ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL3627595;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2015;CHEMBL3307715
CHEMBL1270335;;0;413.4;0;3.22;84;CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CC3CC3)c2)N=C1N;EC50;'=';70.0;nM;7.16;;;UO_0000065;17.31;0.33;3.93;10.53;False;CHEMBL1273979;Inhibition of human recombinant BACE1 expressed in CHO cells assessed as reduction in amyloid beta level by sandwich ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1268920;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;CHEMBL3308072
CHEMBL1270530;;0;443.37;0;3.41;89;Cc1cc([C@]2(c3ccc(F)c(OCC(F)F)c3)N=C(N)N(C)C2=O)ccc1OC(F)F;EC50;'=';30.0;nM;7.52;;;UO_0000065;16.97;0.33;4.11;9.75;False;CHEMBL1273979;Inhibition of human recombinant BACE1 expressed in CHO cells assessed as reduction in amyloid beta level by sandwich ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1268920;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;CHEMBL3308072
CHEMBL567688;;0;405.43;0;2.63;60;COc1ccc(C2(c3ccc(F)c(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc1C;EC50;'=';40.0;nM;7.4;;;UO_0000065;18.25;0.34;4.77;7.9;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL566414;;0;384.44;0;2.71;51;CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)CCO3)N=C1N;EC50;'=';370.0;nM;6.43;;;UO_0000065;16.73;0.3;3.72;7.96;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL566198;;0;367.49;0;3.28;31;CCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1;EC50;'=';380.0;nM;6.42;;;UO_0000065;17.47;0.32;3.14;9.45;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL566407;;0;430.51;0;3.58;40;CCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC;EC50;'=';680.0;nM;6.17;;;UO_0000065;14.33;0.26;2.59;6.85;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL568114;;0;397.44;0;2.66;48;COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C#N;EC50;'=';4500.0;nM;5.35;;;UO_0000065;13.45;0.24;2.69;5.11;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL585289;;0;440.43;0;3.81;47;COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C(F)(F)F;EC50;'=';290.0;nM;6.54;;;UO_0000065;14.84;0.28;2.73;8.09;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL566007;;0;299.76;0;2.37;28;CN1C(=O)C(c2ccccc2)(c2ccc(Cl)cc2)N=C1N;EC50;'=';2130.0;nM;5.67;;;UO_0000065;18.92;0.37;3.3;9.66;False;CHEMBL1044552;Inhibition of BACE1 expressed in CHOK1 cells coexpressing human recombinant wild type APP assessed as blockade of amyloid beta production by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO-K1;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1156789;1;Scientific Literature;J. Med. Chem.;2010;CHEMBL3307512
CHEMBL231863;;0;701.88;2;5.38;9;CCCC(CCC)S(=O)(=O)C[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(CC)c1;EC50;;;;;;Not Determined;;;;;;False;CHEMBL889830;Inhibition of BACE expressed in HEK293 cells;B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146261;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2007;CHEMBL3307715
CHEMBL565250;;0;358.37;0;3.38;25;NC1=NC(c2ccccc2)(c2cccc(C(F)(F)F)c2)C2=NCCCN12;EC50;'=';5100.0;nM;5.29;;;UO_0000065;14.77;0.28;1.91;9.8;False;CHEMBL1061267;Inhibition of BACE1 expressed in CHO cells co-expressing human wild type APP protein by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1155232;1;Scientific Literature;J. Med. Chem.;2009;CHEMBL3308072
CHEMBL1271451;;0;349.31;0;2.62;36;CN1C(=O)[C@](c2ccccc2)(c2ccc(OC(F)(F)F)cc2)N=C1N;EC50;'=';810.0;nM;6.09;;;UO_0000065;17.44;0.33;3.47;8.97;False;CHEMBL1273979;Inhibition of human recombinant BACE1 expressed in CHO cells assessed as reduction in amyloid beta level by sandwich ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1268920;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;CHEMBL3308072
CHEMBL1270727;;0;387.43;0;3.66;40;CCCCc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1;EC50;'=';100.0;nM;7.0;;;UO_0000065;18.07;0.34;3.34;10.31;False;CHEMBL1273979;Inhibition of human recombinant BACE1 expressed in CHO cells assessed as reduction in amyloid beta level by sandwich ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1268920;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;CHEMBL3308072
CHEMBL1270934;;0;369.37;0;2.69;58;CC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1;EC50;'=';70.0;nM;7.16;;;UO_0000065;19.37;0.36;4.46;10.53;False;CHEMBL1273979;Inhibition of human recombinant BACE1 expressed in CHO cells assessed as reduction in amyloid beta level by sandwich ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1268920;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;CHEMBL3308072
CHEMBL1271036;;0;397.43;0;3.47;60;CCCC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1;EC50;'=';220.0;nM;6.66;;;UO_0000065;16.75;0.31;3.19;9.8;False;CHEMBL1273979;Inhibition of human recombinant BACE1 expressed in CHO cells assessed as reduction in amyloid beta level by sandwich ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1268920;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;CHEMBL3308072
CHEMBL1271140;;0;444.39;0;3.82;29;CN1C(=O)[C@@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)N=C1N;EC50;'=';370.0;nM;6.43;;;UO_0000065;14.47;0.27;2.61;7.96;False;CHEMBL1273979;Inhibition of human recombinant BACE1 expressed in CHO cells assessed as reduction in amyloid beta level by sandwich ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1268920;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;CHEMBL3308072
