ID;Canonical_Smiles;hlm_clearance[mL.min-1.g-1];rlm_clearance[mL.min-1.g-1];mlm_clearance[mL.min-1.g-1];caco2_PAPP[10^-7cm/s];Set_hlm;Set_rlm;Set_mlm;Set_caco
CHEMBL211815;C[C@H](CCC(=O)Nc1ccccc1)[C@H]2CC[C@H]3[C@@H]4[C@@H](C[C@@H]5CC6(CC[C@]5(C)[C@H]4C[C@H](OC(=O)C)[C@]23C)OOC7(CCC(CC7)C(=O)Nc8ccccc8)OO6)OC(=O)C;0,6;;0,6;;Train;;Test;
CHEMBL379720;C[C@H](CCC(=O)NCCN(C)C)[C@H]1CC[C@H]2[C@@H]3[C@@H](C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(=O)C)[C@]12C)OOC6(CCC(CC6)C(=O)NCCN(C)C)OO5)OC(=O)C;0,6;;0,6;;Train;;Train;
CHEMBL413059;C[C@H](CCC(=O)N)[C@H]1CC[C@H]2[C@@H]3[C@@H](C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(=O)C)[C@]12C)OOC6(CCC(CC6)C(=O)N)OO5)OC(=O)C;3,4;;1,59;;Train;;Train;
CHEMBL244610;O=C(NC1CCN(C\C\2=C\CCCCCC2)CC1)Nc3ccc4ccccc4c3;72;;226;;Train;;Train;
CHEMBL460472;COc1ccc2c(Oc3ccc(NC(=O)C4=C(C)N(CC(C)(C)O)N(C4=O)c5ccccc5)nc3)ccnc2c1;18;62;5;;Train;Train;Train;
CHEMBL467114;OC(=O)c1cccc(Cc2cc(Cl)ccc2OCc3ccc(Cl)cc3F)n1;0,5;0,7;0,5;;Train;Train;Train;
CHEMBL513864;CNS(=O)(=O)c1cc(c2c3C(=O)N(C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)n(C)c1;100;;100;;Ext;;Train;
CHEMBL467999;CNS(=O)(=O)c1cc(c2c3C(=O)N(C)C(=O)N(CC4CC4)c3nn2Cc5c[nH]c6ccc(Cl)cc56)n(C)c1;100;;100;;Train;;Train;
CHEMBL513533;CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6oc(cc6)S(=O)(=O)C)c3C1=O;17;;14;;Train;;Ext;
CHEMBL513872;CN1C(=O)N(CC2CC2)c3nn(Cc4cn(C)c5ccc(Cl)cc45)c(c3C1=O)c6cc(cn6C)S(=O)(=O)C;23;;56;;Train;;Train;
CHEMBL469231;CN1C(=O)N(CC2CC2)c3nn(Cc4c[nH]c5ccc(Cl)cc45)c(c3C1=O)c6cc(cn6C)S(=O)(=O)C;49;;64;;Train;;Train;
CHEMBL469007;CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6oc(cc6Cl)S(=O)(=O)C)c3C1=O;19;;22;;Test;;Train;
CHEMBL467148;CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6nc(cn6C)S(=O)(=O)C;23;;56;;Train;;Train;
CHEMBL511736;CN1C(=O)N(CC2CC2)c3nn(Cc4c[nH]c5ccc(Cl)cc45)c(c3C1=O)c6nc(cn6C)S(=O)(=O)C;49;;100;;Ext;;Train;
CHEMBL467803;CN1C(=O)N(CC2CC2)c3nn(Cc4cn(C)c5ccc(Cl)cc45)c(c6cc(oc6C)S(=O)(=O)C)c3C1=O;100;;100;;Test;;Train;
CHEMBL466771;CN1C(=O)N(CC2CC2)c3nn(Cc4c[nH]c5ccc(Cl)cc45)c(c3C1=O)c6nc(cn6C)S(=O)(=O)N;56;;100;;Train;;Train;
CHEMBL469008;CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cc(oc6C)S(=O)(=O)C)c3C1=O;22;;61;;Train;;Train;
CHEMBL469065;CN1C(=O)N(CC2CC2)c3nn(Cc4c[nH]c5ccc(Cl)cc45)c(c6cc(cn6C)S(=O)C)c3C1=O;100;;100;;Train;;Train;
CHEMBL469219;CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cc(cn6C)S(=O)C;100;;100;;Train;;Train;
CHEMBL514681;Clc1ccc(cc1)C(NC(=O)CNC(=O)CCc2ccccc2)c3ccccc3;887;;926;;Train;;Train;
CHEMBL467510;CC(C)COc1ccc(Cl)cc1c2ccccc2c3cccc(n3)C(=O)O;1,9;0,7;0,6;;Train;Test;Ext;
CHEMBL253641;CCNc1cc(N2CCCCS2(=O)=O)c(F)c(c1)C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc4cccc(c4)C(F)(F)F;15;8,7;37;;Test;Ext;Test;
CHEMBL445734;CCNc1cc(N2CCCC2=O)c(F)c(c1)C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc4cccc(c4)C(F)(F)F;14;7,6;26;;Train;Train;Train;
CHEMBL399656;CCNc1cc(cc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc3cnn(CC)c3)N4CCCCS4(=O)=O;4,2;1,7;5,4;;Train;Train;Train;
CHEMBL453384;CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F;2,96;3,6;16;;Test;Train;Train;
CHEMBL1235;CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O;0,5;1,9;11;;Train;Train;Ext;
CHEMBL560450;CCc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(cc3)C4CC4)C(=O)NN5CCCC5;1,04;;1,5;;Train;;Train;
CHEMBL551966;Cc1c(nn(c2ccc(F)cc2F)c1c3ccc(cc3)C4CC4)C(=O)NN5CCCCC5;0,41;;0,9;;Train;;Test;
CHEMBL552050;COc1c(nn(c1c2ccc(cc2)C3CC3)c4ccc(Cl)cc4Cl)C(=O)NN5CCCCC5;0,6;;11,6;;Train;;Train;
CHEMBL550982;CCc1c(nn(c1c2ccc(cc2)C3CC3)c4ccc(Cl)cc4Cl)C(=O)NN5CCCCC5;0,6;;1,1;;Train;;Train;
CHEMBL563081;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(cc3)C4CC4)C(=O)NN5CCCCC5;0,87;;3,28;;Test;;Train;
CHEMBL551971;Cc1c(nn(c2ccccc2)c1c3ccc(cc3)C4CC4)C(=O)NN5CCCCC5;0,2;;1,82;;Train;;Train;
CHEMBL559655;Cc1c(nn(c2ccccc2Cl)c1c3ccc(cc3)C4CC4)C(=O)NN5CCCCC5;0,6;;9,71;;Ext;;Train;
CHEMBL560370;Cc1c(nn(c2ccc(Cl)cc2F)c1c3ccc(cc3)C4CC4)C(=O)NN5CCCCC5;0,21;;3,4;;Train;;Train;
CHEMBL564705;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(cc3)C4CCCC4)C(=O)NN5CCCCC5;0,16;;0,68;;Train;;Train;
CHEMBL2448073;Cc1c(nn(c1c2ccc(cc2)C3CCC3)c4ccc(Cl)cc4Cl)C(=O)NN5CCCCC5;0,26;;0,41;;Train;;Train;
CHEMBL561914;Cc1c(nn(c2ccc(F)cc2Cl)c1c3ccc(cc3)C4CC4)C(=O)NN5CCCCC5;0,41;;3,2;;Train;;Train;
CHEMBL556686;Clc1ccc(c(Cl)c1)n2nc(cc2c3ccc(cc3)C4CC4)C(=O)NN5CCCCC5;0,2;;11,6;;Train;;Train;
CHEMBL564570;Cc1c(nn(c2ccccc2F)c1c3ccc(cc3)C4CC4)C(=O)NN5CCCCC5;0,2;;3,81;;Train;;Train;
CHEMBL566685;COc1cnc2c(NCc3nnc4ccc(nn34)c5cc(C)ns5)ccnc2c1;24;59;60;;Train;Train;Test;
CHEMBL568138;COc1cnc2c(NCc3nnc4ccc(nn34)c5cc(F)cc(F)c5)ccnc2c1;47;53;49;;Test;Train;Ext;
CHEMBL1095606;NC(=O)c1cccc2cn(nc12)c3ccc4CCNCc4c3;;52;4;;;Train;Train;
CHEMBL1098296;NC(=O)c1cccc2cn(nc12)c3ccc4CNCCc4c3;;36;3;;;Train;Train;
CHEMBL1097627;NC(=O)c1cccc2cn(nc12)c3ccc(CN4CCCCC4)cc3;;29;3;;;Train;Train;
CHEMBL1094632;CN1CCN(Cc2ccc(cc2)n3cc4cccc(C(=O)N)c4n3)CC1;;34;2;;;Train;Train;
CHEMBL1098297;NC(=O)c1cccc2cn(nc12)c3ccc(cc3)C4CCCN4;;22;4;;;Train;Test;
CHEMBL594298;NC(=O)c1cccc2cn(nc12)c3ccccc3;;123;138;;;Test;Train;
CHEMBL1098298;NC(=O)c1cccc2cn(nc12)c3ccc(cc3)C4CCCNC4;;11;1;;;Train;Train;
CHEMBL1094960;CNC(C)c1ccc(cc1)n2cc3cccc(C(=O)N)c3n2;;9;1;;;Train;Train;
CHEMBL1098299;NC(=O)c1cccc2cn(nc12)c3ccc(cc3)C4CCNCC4;;15;5;;;Train;Train;
CHEMBL1095605;CNCc1cccc(c1)n2cc3cccc(C(=O)N)c3n2;;32;5;;;Train;Ext;
CHEMBL1097260;NC(=O)c1cccc2cn(nc12)c3ccc(cc3)[C@H]4CCCNC4;;7;3;;;Train;Train;
CHEMBL1094961;CNC(C)(C)c1ccc(cc1)n2cc3cccc(C(=O)N)c3n2;;11;1;;;Train;Train;
CHEMBL609862;CNCc1ccc(cc1)n2cc3cccc(C(=O)N)c3n2;;28;3;;;Train;Test;
CHEMBL1094636;NC(=O)c1cccc2cn(nc12)c3ccc(cc3)[C@@H]4CCCNC4;;16;4;;;Train;Train;
CHEMBL1094959;CC(C)NCc1ccc(cc1)n2cc3cccc(C(=O)N)c3n2;;18;1;;;Train;Train;
CHEMBL1096641;CN(C)Cc1ccc(cc1)n2cc3cccc(C(=O)N)c3n2;;177;1;;;Test;Train;
CHEMBL1631007;C[C@H](Oc1ccc(cc1C(=O)N2Cc3ccc(Cl)cc3C2)S(=O)(=O)C)C(F)(F)F;2,4;;23,3;;Train;;Train;
CHEMBL81;Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4;;79;66;;;Train;Train;
CHEMBL1760646;COc1ccc(OC(F)(F)F)cc1Cn2c(cc3cc(ccc23)C#N)C(=O)NCC(C)(C)CO;69;69;45;;Train;Train;Train;
CHEMBL1760664;Cc1ccc(cc1Cn2c(cc3cc(ccc23)C#N)C(=O)NCCC(C)(C)O)C(F)(F)F;12;280;33;;Train;Test;Train;
CHEMBL1762808;CC(C)N(CCO)Cc1csc(n1)c2cn(CC3CCOCC3)c4c(Cl)cccc24;161;160;176;;Test;Train;Train;
CHEMBL1779194;CC(=O)NCCOc1ccc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2c1;4,2;;14,1;;Test;;Train;
CHEMBL1779201;CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCN(CC5)C6COC6;9,6;;15,1;;Train;;Train;
CHEMBL1779199;CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCN(CC5)S(=O)(=O)C;19,2;;15,8;;Train;;Train;
CHEMBL1779193;CC1(C)c2cc(OCCN3CCS(=O)(=O)CC3)ccc2C(=O)c4c1[nH]c5cc(ccc45)C#N;67;;24,9;;Ext;;Train;
CHEMBL1779192;CCN(CC)CCOc1ccc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2c1;54,5;;51,4;;Train;;Train;
CHEMBL1779202;CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)C5CCN(CC5)C6COC6;10,2;;10,4;;Ext;;Train;
CHEMBL1779196;CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCCCC5;39,5;;58,9;;Train;;Train;
CHEMBL1779198;CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCC(O)CC5;7,1;;24,6;;Train;;Test;
CHEMBL1779200;CC(C)N1CCN(CC1)c2ccc3C(=O)c4c([nH]c5cc(ccc45)C#N)C(C)(C)c3c2;82,7;;23,1;;Train;;Train;
CHEMBL1779195;CC1(C)c2cc(OCCNC(=O)N)ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N;4;;6,8;;Test;;Train;
CHEMBL1779197;CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCOCC5;33,6;;8,1;;Test;;Test;
CHEMBL1784564;Cc1cc(Nc2ccc(cc2)C#C)n3ncnc3n1;8;;27;;Train;;Train;
CHEMBL582694;CN(C)c1ccc(Nc2cc(C)nc3ncnn23)cc1;9;;226;;Train;;Train;
CHEMBL1784562;Cc1cc(Nc2ccc(cc2)C3CC3)n4ncnc4n1;53;;287;;Train;;Train;
CHEMBL1784574;Cc1cc(Nc2ccc(c(F)c2)C(C)(C)C)n3ncnc3n1;32;;68;;Test;;Train;
CHEMBL586157;Cc1cc(Nc2ccc3CCCc3c2)n4ncnc4n1;77;;341;;Train;;Train;
CHEMBL1784589;Cc1cc(NC2Cc3ccccc3C2)n4ncnc4n1;5;;32;;Train;;Train;
CHEMBL600255;CC(C)c1ccc(Nc2cc(C)nc3ncnn23)cc1;30;;241;;Train;;Train;
CHEMBL1784578;Cc1cc(Nc2ccc3CCCCc3c2)n4ncnc4n1;72;;361;;Train;;Train;
CHEMBL1784593;Cc1cc(NC2CCc3ccccc3C2)n4ncnc4n1;5;;35;;Train;;Train;
CHEMBL1784580;Cc1cc(Nc2ccc3sccc3c2)n4ncnc4n1;64;;162;;Train;;Train;
CHEMBL1784563;Cc1cc(Nc2ccc(C=C)cc2)n3ncnc3n1;32;;168;;Train;;Train;
CHEMBL1784566;Cc1cc(Nc2ccc(SC(F)(F)F)cc2)n3ncnc3n1;5;;119;;Train;;Train;
CHEMBL1784577;Cc1cc(Nc2cc(F)c(c(F)c2)C(F)(F)F)n3ncnc3n1;5;;6;;Test;;Ext;
CHEMBL1784567;Cc1cc(Nc2ccc(cc2)S(F)(F)(F)(F)F)n3ncnc3n1;5;;6;;Ext;;Train;
CHEMBL1800632;FC(F)(F)c1ccc(cc1)c2cc(NCCN3CCCC3)n4c5ccccc5nc4c2C#N;88,4;25,8;25,6;;Train;Train;Train;
CHEMBL1800631;FC(F)(F)c1ccc(cc1)c2cc(NCCN3CCCCC3)n4c5ccccc5nc4c2C#N;45,8;27;29,1;;Train;Test;Train;
CHEMBL3216541;CCN(CC)CCNc1cc(c2ccc(cc2)C(F)(F)F)c(C#N)c3nc4ccccc4n13;126,7;69,8;71,8;;Train;Train;Train;
CHEMBL3216526;CCNCCNc1cc(c2ccc(cc2)C(F)(F)F)c(C#N)c3nc4ccccc4n13;12,7;6,1;5,4;;Train;Train;Train;
CHEMBL1800633;FC(F)(F)c1ccc(cc1)c2cc(NCCN3CCOCC3)n4c5ccccc5nc4c2C#N;108,9;108,4;65,2;;Train;Train;Train;
CHEMBL1800081;FC(F)(F)c1ccc(cc1)c2cc(NCCCN3CCOCC3)n4c5ccccc5nc4c2C#N;166,2;234,4;87;;Test;Train;Train;
CHEMBL1823220;CC1(C)c2cc(N3CCN(CC3)C4COC4)c(cc2C(=O)c5c1[nH]c6cc(ccc56)C#N)C#C;18,9;;2,1;;Train;;Train;
CHEMBL1823219;Cc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6COC6;22,6;;7;;Train;;Train;
CHEMBL1823361;CC1(C)c2cc(N3CCN(CC3)C4COC4)c(CCC5CCCC5)cc2C(=O)c6c1[nH]c7cc(ccc67)C#N;17,8;;44,7;;Train;;Train;
CHEMBL1823221;CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6COC6;17;;4,5;;Train;;Ext;
CHEMBL1823222;CCCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6COC6;19,4;;4,7;;Test;;Train;
CHEMBL1823223;CC(C)c1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6COC6;17,4;;4,1;;Train;;Train;
CHEMBL1825104;CCC(NC(=O)c1ccc2c(c1)nc(C)n2Cc3ccc(Cl)c(Cl)c3)c4ccccc4;0,5;2,5;1,75;;Test;Train;Train;
CHEMBL1858239;O\N=C(\NC1CCCCC1)/c2cccc3ccccc23;12;;168;;Train;;Train;
CHEMBL1862694;O\N=C(/NC1CCCCC1)\c2ccc(F)cc2;12;;53;;Train;;Train;
CHEMBL1861979;O\N=C(/NC1CCCCC1)\c2c(F)cccc2F;5;;8;;Test;;Test;
CHEMBL1861940;CCCCc1ccc(cc1)c2occ(CNC3CC(C)CC(C)(C)C3)n2;14;;3,666666667;;Train;;Train;
CHEMBL1859333;CCCCCC(C)NCc1coc(n1)c2ccc(OC(C)C)cc2;37;;24;;Test;;Test;
CHEMBL1858782;O\N=C(/NCC1CC1)\c2ccccc2c3ccccc3;5;;93;;Train;;Train;
CHEMBL1861752;COC\C(=N\O)\c1ccc(OC)cc1;3;;19;;Train;;Train;
CHEMBL1861897;O\N=C(/CNC1CCCCC1)\c2ccccc2;5;;55;;Train;;Train;
CHEMBL1860146;N=C(NC1CCCCC1)c2ccccc2c3ccccc3;5;;2;;Train;;Train;
CHEMBL1859828;COc1cc(C)ccc1Oc2ncccc2\C(=N\C3CCCCC3)\NO;19;;76;;Test;;Train;
CHEMBL1859694;COc1ccc(cc1)\C(=N\C2CCCCC2)\NO;38;;329;;Train;;Train;
CHEMBL1858441;CCCCOc1ccc(cc1)c2occ(CNC3CCCCCC3)n2;38;;21,5;;Train;;Train;
CHEMBL1861020;COc1ccc(cc1)\C(=N\O)\CNC2CCCCC2;70,5;;229,5;;Ext;;Train;
CHEMBL1860484;O\N=C(/NC1CCCCC1)\c2cccnc2;3;;12;;Train;;Test;
CHEMBL1860800;CCCCc1ccc(cc1)c2occ(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)n2;10;;64,5;;Train;;Train;
CHEMBL1860725;O\N=C(/NC1CCCCC1)\c2cc(F)cc(F)c2;14;;35;;Train;;Train;
CHEMBL1861710;CC(C)(C)C\N=C(/NO)\c1ccccc1c2ccccc2;13;;78;;Train;;Train;
CHEMBL1862433;COc1ccccc1\C(=N\C2CCCCC2)\NO;23;;40;;Train;;Train;
CHEMBL1859827;CCCCCC(C)NCc1coc(n1)c2ccc(CCCC)cc2;30;;11,5;;Train;;Train;
CHEMBL1858439;CCOc1ccc(cc1)c2occ(CNC3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)n2;17;;207;;Train;;Train;
CHEMBL1859620;O\N=C(/NC1CCCCC1)\c2ccccc2;10;;111;;Test;;Train;
CHEMBL1862016;O\N=C(/NC1CCCCC1)\c2ccccc2c3ccccc3;5;;119;;Train;;Train;
CHEMBL1862041;CCCCCC(C)NCc1coc(n1)c2ccc(cc2)c3ccccc3;1;;22;;Test;;Test;
CHEMBL1861531;O\N=C(\NC1CCCCC1)/c2cccnc2Oc3ccccc3;9;;423;;Train;;Train;
CHEMBL1858816;CCCCCC(C)NCc1coc(n1)c2ccc(OCCCC)cc2;28;;11;;Train;;Train;
CHEMBL1860389;O\N=C(/Nc1ccccc1)\c2ccccc2c3ccccc3;8;;345;;Ext;;Train;
CHEMBL1859664;CCCCCC(C)NCc1coc(n1)c2ccc(OCC)cc2;33;;36;;Train;;Train;
CHEMBL1230468;Cc1nn(C)c(C)c1NS(=O)(=O)c2c(Cl)cc(cc2Cl)c3ccnc(c3)N4CCNCC4;1,2;0,5;0,35;;Train;Train;Train;
CHEMBL1738786;Cc1cc(Nc2ccc(cc2)C(F)(F)F)n3nc(nc3n1)C(C)(F)F;5;;10,1;;Test;;Train;
CHEMBL1956288;CCC(F)(F)c1nc2nc(C)cc(Nc3ccc(cc3)C(F)(F)F)n2n1;5;;6,5;;Train;;Train;
CHEMBL1956298;COCCc1nc2nc(C)cc(Nc3ccc(cc3)C(F)(F)F)n2n1;9;;14,3;;Train;;Test;
CHEMBL1956303;CSc1nc2nc(C)cc(Nc3ccc(cc3)S(F)(F)(F)(F)F)n2n1;22,4;;107,5;;Train;;Train;
CHEMBL1956264;CCc1nc2nc(C)cc(Nc3ccc(cc3)C(F)(F)F)n2n1;5;;14,4;;Train;;Test;
CHEMBL1956285;Cc1cc(Nc2ccc(cc2)S(F)(F)(F)(F)F)n3nc(nc3n1)C(C)(F)F;5;;8,1;;Train;;Train;
CHEMBL1956266;CC(C)c1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1;14,1;;157,7;;Test;;Train;
CHEMBL1956278;Cc1cc(Nc2ccc(cc2)C(F)(F)F)n3nc(nc3n1)C4CC4;5;;8,6;;Test;;Train;
CHEMBL1956265;CCc1nc2nc(C)cc(Nc3ccc(cc3)S(F)(F)(F)(F)F)n2n1;5;;16,7;;Train;;Train;
CHEMBL1956283;Cc1cc(Nc2ccc(Cl)cc2)n3nc(nc3n1)C(C)(F)F;16;;62,8;;Train;;Test;
CHEMBL1956294;COCc1nc2nc(C)cc(Nc3ccc(cc3)C(F)(F)F)n2n1;6,7;;13,3;;Train;;Train;
CHEMBL1956263;CCc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1;78,3;;125,4;;Ext;;Train;
CHEMBL1956290;Cc1cc(Nc2ccc(cc2)C(F)(F)F)n3nc(nc3n1)C(F)(F)F;5;;6;;Train;;Train;
CHEMBL1956473;CCOc1nc2nc(C)cc(Nc3ccc(cc3)S(F)(F)(F)(F)F)n2n1;5;;11,3;;Train;;Train;
CHEMBL1956279;Cc1cc(Nc2ccc(cc2)S(F)(F)(F)(F)F)n3nc(nc3n1)C4CC4;5;;12,6;;Ext;;Train;
CHEMBL1956299;COCCc1nc2nc(C)cc(Nc3ccc(cc3)S(F)(F)(F)(F)F)n2n1;11,5;;14,1;;Train;;Train;
CHEMBL1956289;CCC(F)(F)c1nc2nc(C)cc(Nc3ccc(cc3)S(F)(F)(F)(F)F)n2n1;5;;6,7;;Train;;Train;
CHEMBL1956499;Cc1cc(Nc2ccc(cc2)C(F)(F)F)n3nc(CCO)nc3n1;5;;6,9;;Test;;Ext;
CHEMBL1956284;Cc1cc(Nc2cccc(Cl)c2)n3nc(nc3n1)C(C)(F)F;44,4;;72,2;;Train;;Train;
CHEMBL1956472;CCOc1nc2nc(C)cc(Nc3ccc(cc3)C(F)(F)F)n2n1;7;;14,4;;Train;;Ext;
CHEMBL1956302;CSc1nc2nc(C)cc(Nc3ccc(cc3)C(F)(F)F)n2n1;18,7;;76,9;;Train;;Ext;
CHEMBL1956262;CCc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1;12,8;;63,1;;Train;;Train;
CHEMBL1956291;Cc1cc(Nc2ccc(cc2)S(F)(F)(F)(F)F)n3nc(nc3n1)C(F)(F)F;5;;6;;Train;;Train;
CHEMBL1956295;COCc1nc2nc(C)cc(Nc3ccc(cc3)S(F)(F)(F)(F)F)n2n1;5,6;;14,3;;Train;;Train;
CHEMBL2029687;COCCOc1cnc2ccc(cc2c1)[C@H](C)n3nnc4C=CN(C(=O)c34)c5ccc(F)c(F)c5;120;105;98;;Train;Train;Train;
CHEMBL2029678;COCCOc1cnc2ccc(cc2c1)[C@H](C)n3nnc4C=CN(C(=O)c34)c5cc(C)ns5;84;89;68;;Train;Test;Train;
CHEMBL2086804;COc1c(C(=O)NC2CCNCC2)n(C)c3c4ccccc4N(CC(=O)c5ccccc5)C(=O)c13;2;;10;;Train;;Train;
CHEMBL2086800;COc1c2C(=O)N(CC(=O)c3ccccc3)c4ccccc4c2n(C)c1C(=O)NCCN5CCCC5;14;;95;;Train;;Train;
