,SID,group,label_1a2,label_2c19,label_2c9,label_2d6,label_3a4,smiles,scaffold
18,843808,training set,1.0,1.0,,0.0,,S(c1nc2[nH]c3c(c2nn1)cc(F)cc3)CC(OCc4ccccc4)=O,O=C(CSc1nnc2c(n1)[nH]c1ccccc12)OCc1ccccc1
19,843813,training set,1.0,1.0,1.0,,,O(c1ccc(CCNc2n3ncnc3nc(c2CC)C)cc1)C,c1ccc(CCNc2ccnc3ncnn23)cc1
20,843859,training set,1.0,1.0,,0.0,0.0,S(C=1N=C2C(C(C1C#N)C)=C(O)CCC2)CC(OCC)=O,C1=CN=C2CCCC=C2C1
21,843987,training set,1.0,,1.0,0.0,1.0,S(c1n2c(nn1)c(cc3c2cc(cc3)C)C)CC(=O)NCc4occc4,O=C(CSc1nnc2ccc3ccccc3n12)NCc1ccco1
22,844035,training set,,1.0,0.0,,,S(=O)(=O)(N1CCC(C(=O)c2cc3OCCOc3cc2)CC1)c4c(F)cccc4,O=C(c1ccc2c(c1)OCCO2)C1CCN(S(=O)(=O)c2ccccc2)CC1
23,844042,training set,,,,0.0,,S(c1n(c(nn1)-c2cnccc2)-c3ccc(cc3)C)CC(=O)N4CCOCC4,O=C(CSc1nnc(-c2cccnc2)n1-c1ccccc1)N1CCOCC1
24,844043,training set,0.0,1.0,0.0,0.0,0.0,S(=O)(=O)(N1CCN(CC1)C(OCC)=O)Cc2ccccc2,O=S(=O)(Cc1ccccc1)N1CCNCC1
25,844085,training set,,1.0,1.0,1.0,1.0,S(C=1NC(N)=C(C2(C1C#N)CCCCC2)C#N)CC,C1=CC2(C=CN1)CCCCC2
26,844118,training set,1.0,1.0,1.0,,,FC(F)(F)c1cnc(N2CCN(c3n4ncnc4nc(c3)-c5ccccc5)CC2)cc1,c1ccc(-c2cc(N3CCN(c4ccccn4)CC3)n3ncnc3n2)cc1
27,844156,training set,,,,0.0,,s1c2c(n(c(c2)C(OCC)=O)CC(=O)N3CCN(C(=O)c4occc4)CC3)cc1C,O=C(Cn1ccc2sccc21)N1CCN(C(=O)c2ccco2)CC1
29,844275,training set,1.0,1.0,,0.0,0.0,O1c2c(OCC1)cc(NC(=O)CC)c(C(=O)c3ccccc3)c2,O=C(c1ccccc1)c1ccc2c(c1)OCCO2
30,844442,training set,0.0,0.0,,0.0,0.0,Fc1ccc(CCNC(=O)C2CCN(c3nc(cc(n3)C)C)CC2)cc1,O=C(NCCc1ccccc1)C1CCN(c2ncccn2)CC1
31,844455,training set,0.0,1.0,,0.0,,o1c(nnc1-c2ccc(N3CCOCC3)cc2)-c4cc(OC)c(OC)c(OC)c4,c1ccc(-c2nnc(-c3ccc(N4CCOCC4)cc3)o2)cc1
32,844570,training set,0.0,1.0,1.0,0.0,0.0,O=C1N(C(=O)C(C(=O)N1C2CCCCC2)=CN(C)C)C3CCCCC3,C=C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O
33,844622,training set,,0.0,,0.0,0.0,S(=O)(=O)(N(c1ncccc1)CC(OC)=O)c2ccccc2,O=S(=O)(Nc1ccccn1)c1ccccc1
34,844690,training set,,,,0.0,,o1c(C2N(C(=O)C(O)=C2C(=O)c3c(ccc(c3)C)C)CCN4CCOCC4)ccc1,O=C(C1=CC(=O)N(CCN2CCOCC2)C1c1ccco1)c1ccccc1
35,844782,training set,1.0,1.0,,0.0,,S1(=O)(=O)c2c(C(Sc3n(c4c(n3)cccc4)C)=C1)cccc2,O=S1(=O)C=C(Sc2nc3ccccc3[nH]2)c2ccccc21
36,844835,training set,1.0,1.0,1.0,,,o1c(nnc1-c2ccncc2)-c3ccc(OCC)cc3,c1ccc(-c2nnc(-c3ccncc3)o2)cc1
37,844873,training set,0.0,1.0,1.0,,,s1nc(c(N)c1C(=O)N(c2cc3OCCOc3cc2)C(C(=O)NC4CCCC4)C)C(=O)N,O=C(CN(C(=O)c1ccns1)c1ccc2c(c1)OCCO2)NC1CCCC1
38,844932,training set,,0.0,0.0,,,O=C(Nc1n(c(-c2ccc(cc2)C)cn1)C)CCC(=O)N3CCCCC3,O=C(CCC(=O)N1CCCCC1)Nc1ncc(-c2ccccc2)[nH]1
39,845164,training set,0.0,,0.0,0.0,0.0,S(C=1N(C(=O)C(N1)(CCC#N)C)c2ccccc2)CCC#N,O=C1CN=CN1c1ccccc1
40,845245,training set,1.0,1.0,,,1.0,S(c1nc([nH]n1)-c2ccncc2)CC(=O)Nc3cc(ccc3)C,O=C(CSc1n[nH]c(-c2ccncc2)n1)Nc1ccccc1
41,845384,training set,1.0,0.0,,,0.0,S(=O)(=O)(N1CCCC1)c2ccc(NC(=O)c3ccc(cc3)CN4CCOCC4)cc2,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccc(CN2CCOCC2)cc1
42,845406,training set,,1.0,1.0,0.0,,Clc1c(N2CCN(CC2)C(=O)C(C)C)ccc(NC(=O)COc3c(cccc3)C)c1,O=C(COc1ccccc1)Nc1ccc(N2CCNCC2)cc1
43,845577,training set,,1.0,1.0,0.0,,O=C(N1CCN(c2ccccc2)CC1)Nc3cc(NC(=O)N4CCN(c5ccccc5)CC4)ccc3,O=C(Nc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1
44,845581,training set,0.0,,0.0,0.0,0.0,Fc1cc(C2(NC(=O)C)CCN(CC2)CC(=O)NC3CCCCC3)ccc1,O=C(CN1CCC(c2ccccc2)CC1)NC1CCCCC1
45,845632,training set,0.0,1.0,1.0,0.0,0.0,Clc1cc(N2CCN(S(=O)(=O)c3cc4OCCOc4cc3)CC2)c(cc1)C,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(c2ccccc2)CC1
46,845652,training set,1.0,1.0,,,1.0,s1c(NC(=O)CSc2n(nnn2)C)c(c(c1C)C)C(OCC)=O,O=C(CSc1nnn[nH]1)Nc1cccs1
47,845706,training set,,,1.0,0.0,1.0,OC1=C(C(N(C1=O)Cc2ccncc2)c3cc(OCC)ccc3)C(=O)c4oc(cc4)C,O=C(C1=CC(=O)N(Cc2ccncc2)C1c1ccccc1)c1ccco1
48,845813,training set,0.0,,,0.0,1.0,S(c1n(c(nn1)Cc2ccccc2)CC)CC(=O)NC(C)(C)C,c1ccc(Cc2nnc[nH]2)cc1
49,845859,training set,1.0,,,0.0,0.0,O1C(C(=O)Nc2ccc(C(OCC)=O)cc2)CCC1,O=C(Nc1ccccc1)C1CCCO1
50,845879,training set,,,1.0,0.0,1.0,Oc1nc2c(cc1CN(C(c3n(nnn3)C(CC)(C)C)C(C)C)CCCO)cc(cc2)C,c1ccc2ncc(CNCc3nnn[nH]3)cc2c1
51,845912,training set,0.0,,1.0,0.0,,Clc1c(S(=O)(=O)N(Cc2c(O)nc3c(c2)cc(OC)c(OC)c3)CCCO)cccc1,O=S(=O)(NCc1cnc2ccccc2c1)c1ccccc1
52,846035,training set,1.0,0.0,0.0,0.0,0.0,S(c1n(c(nn1)COc2ccccc2)Cc3ccccc3)CC(=O)Nc4sc(nn4)CC,O=C(CSc1nnc(COc2ccccc2)n1Cc1ccccc1)Nc1nncs1
53,846056,training set,1.0,1.0,1.0,0.0,0.0,Clc1ccc(-c2n(c(SCC(=O)N3CCOCC3)nc2)CC(C)C)cc1,O=C(CSc1ncc(-c2ccccc2)[nH]1)N1CCOCC1
54,846109,training set,1.0,0.0,,0.0,,S(c1nn2c(nc3c(c2O)CN(CC3)Cc4ccccc4)n1)C,c1ccc(CN2CCc3nc4ncnn4cc3C2)cc1
55,846155,training set,1.0,0.0,1.0,0.0,0.0,s1c2ncnc(NCCO)c2cc1CC,c1ncc2ccsc2n1
56,846175,training set,1.0,0.0,,,0.0,OC1=C(C(N(C1=O)Cc2cnccc2)c3cnccc3)C(=O)c4c(ccc(c4)C)C,O=C(C1=CC(=O)N(Cc2cccnc2)C1c1cccnc1)c1ccccc1
57,846286,training set,1.0,1.0,,,,Brc1ccc(-c2n[nH]c(N)c2Cl)cc1,c1ccc(-c2cc[nH]n2)cc1
58,846322,training set,0.0,0.0,,0.0,,FC(F)(F)C1n2ncc(c2NC(C1)c3ccccc3)C(=O)NCc4c(n(nc4C)C)C,O=C(NCc1cn[nH]c1)c1cnn2c1NC(c1ccccc1)CC2
59,846376,training set,0.0,0.0,0.0,0.0,0.0,O=C(Nc1ccc(NC(=O)CN(CCC#N)C)cc1)CN(CCC#N)C,c1ccccc1
60,846379,training set,,1.0,,,,S(c1n(c(nn1)-c2occc2)CCCC)CC(=O)NC(C)(C)C,c1coc(-c2nnc[nH]2)c1
61,846448,training set,0.0,,,0.0,,o1c(C(=O)N2CCN(C(c3n(nnn3)CC4OCCC4)c5ccc(cc5)C)CC2)ccc1,O=C(c1ccco1)N1CCN(C(c2ccccc2)c2nnnn2CC2CCCO2)CC1
62,846555,training set,0.0,0.0,0.0,0.0,0.0,O(c1c(NC(=O)C(NCc2occc2)CC(=O)O)cc(OC)cc1)C,O=C(CNCc1ccco1)Nc1ccccc1
63,846619,training set,1.0,1.0,1.0,1.0,1.0,s1c(C2c3c(NC(=O)C2)cc4OCOc4c3)ccc1,O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3
64,846659,training set,1.0,1.0,,0.0,,S(c1oc(nn1)-c2cc(OC)c(OC)c(OC)c2)CC(OCCCC)=O,c1ccc(-c2nnco2)cc1
65,846760,training set,,,0.0,0.0,,o1c(C(N(C(=O)Cn2nnc3c2cccc3)CC4OCCC4)C(=O)NCCOC)ccc1C,O=C(Cn1nnc2ccccc21)N(Cc1ccco1)CC1CCCO1
66,846772,training set,,1.0,,0.0,1.0,S(=O)(=O)(N1CCC(CC1)C(=O)Nc2cc(c(cc2)C)C)c3c(OC)ccc(OC)c3,O=C(Nc1ccccc1)C1CCN(S(=O)(=O)c2ccccc2)CC1
67,846890,training set,0.0,1.0,1.0,0.0,,o1nc(nc1C2CN(C(=O)c3c(OC)cccc3)CCC2)-c4cc(OC)c(OC)cc4,O=C(c1ccccc1)N1CCCC(c2nc(-c3ccccc3)no2)C1
68,847033,training set,,0.0,,0.0,0.0,o1c(C2N(C(=O)C(O)=C2C(=O)c3cc(OC)ccc3)CCOC)ccc1C,O=C1C=C(C(=O)c2ccccc2)C(c2ccco2)N1
69,847058,training set,,1.0,,0.0,1.0,S(c1n(c(nn1)COc2ccccc2)CC)CC(=O)Nc3c(OC)ccc(OC)c3,O=C(CSc1nnc(COc2ccccc2)[nH]1)Nc1ccccc1
70,847251,training set,1.0,1.0,1.0,0.0,0.0,s1c(nnc1COC)NC(=O)CSc2ccc(cc2)C,O=C(CSc1ccccc1)Nc1nncs1
71,847355,training set,,1.0,,1.0,1.0,O1C(Cn2c(-c3ccccc3)cnc2N)CCC1,c1ccc(-c2cncn2CC2CCCO2)cc1
72,847473,training set,0.0,0.0,0.0,0.0,0.0,s1c(-c2nn(nn2)CCC(=O)O)ccc1,c1csc(-c2nn[nH]n2)c1
73,847542,training set,1.0,1.0,1.0,,1.0,S(c1oc2c(n1)cccc2)CC(=O)Nc3c(N4CCCCCC4)cccc3,O=C(CSc1nc2ccccc2o1)Nc1ccccc1N1CCCCCC1
74,847614,training set,1.0,1.0,1.0,,,S(c1nc-2nc3c(c2[nH]n1)cccc3)CC(=O)CC(OCC)=O,c1ccc2c3[nH]ncnc-3nc2c1
75,847619,training set,,1.0,,0.0,,O=C(NC1CCCC1)c2c(N3CCCCCC3)nccc2,O=C(NC1CCCC1)c1cccnc1N1CCCCCC1
76,847676,training set,,1.0,1.0,,1.0,Clc1c(Cn2nnc3c2nc(nc3O)C4CCN(CC4)C(=O)Cc5sccc5)cccc1,O=C(Cc1cccs1)N1CCC(c2ncc3nnn(Cc4ccccc4)c3n2)CC1
77,847691,training set,1.0,1.0,1.0,0.0,1.0,o1c(C(=O)c2c3c(n(c2)CCOc4c(OC)cccc4)cccc3)ccc1,O=C(c1ccco1)c1cn(CCOc2ccccc2)c2ccccc12
78,847836,training set,,1.0,1.0,0.0,,S(=O)(=O)(NC1CCN(c2scc(n2)-c3ccc(cc3)C)CC1)c4cc5OCCOc5cc4,O=S(=O)(NC1CCN(c2nc(-c3ccccc3)cs2)CC1)c1ccc2c(c1)OCCO2
79,847923,training set,,1.0,0.0,0.0,1.0,S(=O)(=O)(N1CCC(NC(=O)Nc2ccc(cc2)C)CC1)c3ccc(OC)cc3,O=C(Nc1ccccc1)NC1CCN(S(=O)(=O)c2ccccc2)CC1
80,848009,training set,1.0,,,0.0,,s1c(nc(-c2ccc(OC)cc2)c1)NC(=O)Cn3nc(cc3C)C,O=C(Cn1cccn1)Nc1nc(-c2ccccc2)cs1
81,848062,training set,,1.0,,0.0,,S(c1n(c(nn1)CNC(=O)Nc2ccccc2)C)Cc3ccccc3,O=C(NCc1nnc(SCc2ccccc2)[nH]1)Nc1ccccc1
82,848129,training set,1.0,1.0,,0.0,1.0,S(c1oc(nn1)CNc2ccccc2)CC(=O)N3c4c(CCC3)cccc4,O=C(CSc1nnc(CNc2ccccc2)o1)N1CCCc2ccccc21
84,848392,training set,0.0,0.0,0.0,,0.0,O=C(N1C(CCC1)C(=O)O)c2ccc(OCC)cc2,O=C(c1ccccc1)N1CCCC1
85,848536,training set,,1.0,1.0,1.0,0.0,O(c1ccc(CCNc2n3ncnc3nc(c2C)C)cc1)C,c1ccc(CCNc2ccnc3ncnn23)cc1
86,848576,training set,,,,,1.0,O(c1c(C2C(C(N)=C(C=3C2CN(CC3)CCC)C#N)(C#N)C#N)cc(OC)cc1)C,C1=CC2=CCNCC2C(c2ccccc2)C1
87,848612,training set,0.0,0.0,0.0,0.0,0.0,o1c(C2N(C(=O)C(O)=C2C(=O)c3cc(OC)ccc3)CCOC)ccc1,O=C1C=C(C(=O)c2ccccc2)C(c2ccco2)N1
88,848623,training set,1.0,,,0.0,,S(c1n(nnn1)Cc2ccccc2)CC(=O)Nc3cc(NC(=O)CC)ccc3,O=C(CSc1nnnn1Cc1ccccc1)Nc1ccccc1
89,848633,training set,1.0,1.0,,,,FC(F)c1nc(-n2nc(cc2C)C)nc(-c3ccc(OC)cc3)c1,c1ccc(-c2ccnc(-n3cccn3)n2)cc1
90,848731,training set,,,,,1.0,Clc1cc(NC(=O)CN2C(SCC2=O)=O)c(OC)cc1,O=C(CN1C(=O)CSC1=O)Nc1ccccc1
92,848751,training set,1.0,,0.0,0.0,0.0,Clc1c(S(=O)(=O)N2CCOCC2)cc(C(=O)N3CCN(CC3)C(OCC)=O)cc1,O=C(c1cccc(S(=O)(=O)N2CCOCC2)c1)N1CCNCC1
93,848762,training set,,1.0,1.0,,1.0,s1c(CC(=O)N2CCC(c3nc4n(nnc4c(O)n3)Cc5ccc(cc5)C)CC2)ccc1,O=C(Cc1cccs1)N1CCC(c2ncc3nnn(Cc4ccccc4)c3n2)CC1
94,848874,training set,1.0,1.0,1.0,0.0,,s1c(N(C(=O)CC)Cc2occc2)nc(-c3ccccc3)c1,c1ccc(-c2csc(NCc3ccco3)n2)cc1
95,848966,training set,,0.0,,0.0,0.0,O=C(O)CCn1nc(nn1)-c2ccc(cc2)C(C)C,c1ccc(-c2nn[nH]n2)cc1
96,849116,training set,0.0,,,1.0,0.0,O(C(=O)c1ccc(O)cc1)CCCN2CCCCC2,O=C(OCCCN1CCCCC1)c1ccccc1
97,849118,training set,0.0,0.0,0.0,0.0,0.0,O1C2(OCC1)CCN(CC2)C(=O)CCC(=O)Nc3noc(c3)C,O=C(CCC(=O)N1CCC2(CC1)OCCO2)Nc1ccon1
98,849132,training set,1.0,0.0,0.0,,0.0,O=C(Nc1cc2c(nc1)cccc2)c3cc(-n4nnnc4)ccc3,O=C(Nc1cnc2ccccc2c1)c1cccc(-n2cnnn2)c1
99,849137,training set,1.0,,,1.0,,s1c2NC(=O)CN=C(c2c3c1CCCC3)c4sccc4,O=C1CN=C(c2cccs2)c2c(sc3c2CCCC3)N1
100,849292,training set,,1.0,0.0,0.0,0.0,Clc1c(c(F)ccc1)COC(=O)CNC(=O)c2occc2,O=C(CNC(=O)c1ccco1)OCc1ccccc1
101,849465,training set,1.0,1.0,1.0,1.0,1.0,Clc1ccc(C(N2CCN(CC2)Cc3ccncc3)c4n(nnn4)C5CCCC5)cc1,c1ccc(C(c2nnnn2C2CCCC2)N2CCN(Cc3ccncc3)CC2)cc1
102,849510,training set,,0.0,0.0,0.0,0.0,S(c1oc(nn1)-c2cnccc2)CC(Oc3ccccc3)=O,O=C(CSc1nnc(-c2cccnc2)o1)Oc1ccccc1
103,849814,training set,1.0,,0.0,0.0,,S(c1nc([nH]n1)-c2cnccc2)CC(OCC)=O,c1cncc(-c2ncn[nH]2)c1
104,850010,training set,,0.0,,1.0,0.0,S(=O)(=O)(N(C)C)c1ccc(C(=O)Nc2ccc(cc2)CN3CCCC3)cc1,O=C(Nc1ccc(CN2CCCC2)cc1)c1ccccc1
105,850038,training set,0.0,,,0.0,1.0,S(=O)(=O)(NCC(=O)N(C(C(=O)NCC1OCCC1)C(C)C)Cc2occc2)c3ccc(F)cc3,O=C(CN(Cc1ccco1)C(=O)CNS(=O)(=O)c1ccccc1)NCC1CCCO1
106,850151,training set,,0.0,0.0,0.0,0.0,s1c(-c2ccccc2)ccc1NC(=O)C,c1ccc(-c2cccs2)cc1
107,850189,training set,,1.0,0.0,0.0,0.0,Clc1c(nsc1Cl)C(OCC(=O)NCCOC)=O,c1cnsc1
108,850283,training set,0.0,1.0,0.0,0.0,1.0,O(c1cc(-c2nn(nn2)CC(=O)Nc3c(OC)ccc(OC)c3)ccc1OCC)CC,O=C(Cn1nnc(-c2ccccc2)n1)Nc1ccccc1
109,850433,training set,,0.0,0.0,0.0,0.0,O1C2=C(C3(C(=C1N)C#N)CCC4(OCCO4)CC3)C(=O)CCC2,O=C1CCCC2=C1C1(C=CO2)CCC2(CC1)OCCO2
110,850554,training set,1.0,1.0,,0.0,0.0,O1CCN(/C=C(\c2ccccc2)/C#N)CC1,C(=C\N1CCOCC1)\c1ccccc1
111,850571,training set,,,0.0,0.0,,O(c1c(OC)cc(c(-n2nnnc2)c1)C(=O)Nc3cc4OCCOc4cc3)C,O=C(Nc1ccc2c(c1)OCCO2)c1ccccc1-n1cnnn1
112,850684,training set,0.0,0.0,0.0,0.0,0.0,Clc1c(cc(S(=O)(=O)NCC2OCCC2)cc1)C(=O)O,O=S(=O)(NCC1CCCO1)c1ccccc1
113,850739,training set,0.0,,0.0,0.0,0.0,O1C23C(C(C1C=C2)C(=O)O)C(=O)N(C3)Cc4ncccc4,O=C1C2CC3C=CC2(CN1Cc1ccccn1)O3
114,850865,training set,1.0,1.0,1.0,,1.0,S(c1n(c(nn1)-c2c(O)cc3c(c2)cccc3)C)CC(=O)NCc4cc5OCOc5cc4,O=C(CSc1nnc(-c2ccc3ccccc3c2)[nH]1)NCc1ccc2c(c1)OCO2
115,851015,training set,1.0,1.0,1.0,,,Oc1nc(nc2c1cccc2)CN(C3CCCC3)C(=O)Nc4cc(ccc4)C,O=C(Nc1ccccc1)N(Cc1ncc2ccccc2n1)C1CCCC1
116,851085,training set,1.0,1.0,,0.0,,S(=O)(=O)(N1CCN(c2n3ncnc3nc(c2)-c4ccccc4)CC1)c5ccccc5,O=S(=O)(c1ccccc1)N1CCN(c2cc(-c3ccccc3)nc3ncnn23)CC1
117,851134,training set,1.0,1.0,1.0,,1.0,S(c1nc(n[nH]1)-c2c(O)cccc2)CC(=O)N3c4c(CCC3)cccc4,O=C(CSc1nc(-c2ccccc2)n[nH]1)N1CCCc2ccccc21
118,851213,training set,,0.0,,0.0,,S(c1n(c2ncccc2n1)-c3c(OC)cccc3)CC(=O)N4CCCC4,O=C(CSc1nc2cccnc2n1-c1ccccc1)N1CCCC1
119,851235,training set,,1.0,0.0,0.0,,s1c2n(nc1-c3ccc(NC(=O)c4occc4)cc3)c(nn2)CC,O=C(Nc1ccc(-c2nn3cnnc3s2)cc1)c1ccco1
120,851303,training set,1.0,1.0,,,1.0,o1c(nc(c1O)/C=N/c2ccc(N(C)C)cc2)-c3ccccc3,C(=N/c1ccccc1)\c1coc(-c2ccccc2)n1
121,851343,training set,,1.0,,1.0,1.0,s1c(CN(C(=O)Cn2nc(nn2)-c3cc(OC)c(OC)cc3)CC(=O)NCCC(C)C)ccc1,O=C(Cn1nnc(-c2ccccc2)n1)NCc1cccs1
122,851466,training set,0.0,1.0,0.0,0.0,,Clc1c(CNc2nc(O)nnc2C)cccc1,c1ccc(CNc2cnncn2)cc1
123,851470,training set,,,1.0,0.0,,O(C(=O)C1CN(C(=O)C1)c2ccc(OC)cc2)CC(=O)c3cc(OC)ccc3,O=C(COC(=O)C1CC(=O)N(c2ccccc2)C1)c1ccccc1
124,851492,training set,1.0,,1.0,0.0,,O1C2(OCC1)CCN(c3n4nc(cc4nc(c3)-c5ccccc5)-c6cc(OC)ccc6)CC2,c1ccc(-c2cc(N3CCC4(CC3)OCCO4)n3nc(-c4ccccc4)cc3n2)cc1
125,851503,training set,0.0,,,0.0,0.0,S(=O)(=O)(N1CCCCC1)c2ccc(-c3n(c(SCc4ccc(cc4)C#N)nn3)CC)cc2,O=S(=O)(c1ccc(-c2nnc(SCc3ccccc3)[nH]2)cc1)N1CCCCC1
126,851595,training set,1.0,,,0.0,0.0,Oc1n2nc(c(c2nc(c1)CC(OCC)=O)-c3ccccc3)C,c1ccc(-c2cnn3cccnc23)cc1
127,851598,training set,,,,0.0,,OC1=C(C(N(C1=O)Cc2occc2)c3ccncc3)C(=O)c4cc(OCC)ccc4,O=C(C1=CC(=O)N(Cc2ccco2)C1c1ccncc1)c1ccccc1
128,851660,training set,1.0,,0.0,,0.0,S(c1n(c2ncccc2n1)C)CC(=O)N3CCC(CC3)C,O=C(CSc1nc2cccnc2[nH]1)N1CCCCC1
129,851674,training set,0.0,0.0,0.0,0.0,0.0,O=C1N(c2ccc(OCC)cc2)CC(C1)C(=O)NC(C)C,O=C1CCCN1c1ccccc1
130,851770,training set,,1.0,1.0,,1.0,s1c(C(N(C(=O)c2occc2)Cc3sccc3)C(=O)NC4CCCCC4)ccc1,O=C(NC1CCCCC1)C(c1cccs1)N(Cc1cccs1)C(=O)c1ccco1
131,851833,training set,1.0,1.0,1.0,0.0,0.0,s1c2c(nc1NC(=O)CSc3oc4c(n3)cccc4)cccc2,O=C(CSc1nc2ccccc2o1)Nc1nc2ccccc2s1
132,851909,training set,,,0.0,0.0,0.0,O(c1[nH]nc2nncnc21)C,c1nnc2n[nH]cc2n1
133,851940,training set,,1.0,1.0,0.0,0.0,S1C(NC(=O)C2CN(C(=O)C2)c3ccc(cc3)CC)=NCC1,O=C(NC1=NCCS1)C1CC(=O)N(c2ccccc2)C1
134,852016,training set,0.0,1.0,,0.0,,S(=O)(=O)(NCC(=O)N(CC1OCCC1)CC(=O)NCc2ccc(OC)cc2)c3ccccc3,O=C(CN(CC1CCCO1)C(=O)CNS(=O)(=O)c1ccccc1)NCc1ccccc1
135,852029,training set,0.0,,,0.0,0.0,OC1=C(C(N(C1=O)CCc2ccccc2)c3cc(OC)c(O)cc3)C(=O)c4oc(cc4)C,O=C(C1=CC(=O)N(CCc2ccccc2)C1c1ccccc1)c1ccco1
136,852148,training set,0.0,,,0.0,0.0,O=C(O)C(n1c(ccc1C)C)Cc2ccccc2,c1ccc(CCn2cccc2)cc1
137,852502,training set,1.0,,0.0,0.0,0.0,n1(nc(cc1C)C)-c2nc(nc(n2)NC(C)C)NC(C)C,c1cnn(-c2ncncn2)c1
138,852560,training set,,1.0,,0.0,1.0,Oc1nc2c(cc1CN(Cc3n(nnn3)CC4OCCC4)Cc5c(OC)cccc5)cc(cc2C)C,c1ccc(CN(Cc2cnc3ccccc3c2)Cc2nnnn2CC2CCCO2)cc1
139,852628,training set,0.0,0.0,0.0,0.0,0.0,S(c1n(N)c(nn1)COc2ccc(OC)cc2)CC(=O)O,c1ccc(OCc2nnc[nH]2)cc1
