accession_number,description,similar_entities,author,title,journal_reference,pmid,group,subgroup
BIOV880102,"Information value for accessibility; average fraction 23% (Biou et al., 1988)","[('BIOV880101', 0.968), ('ROSG850102', 0.96), ('RADA880108', 0.942), ('NISK860101', 0.939), ('MIYS850101', 0.93), ('WERD780101', 0.929), ('CASG920101', 0.919), ('MEIH800103', 0.916), ('NADH010102', 0.914), ('NADH010103', 0.913), ('FAUJ830101', 0.911), ('NADH010104', 0.9), ('ZHOH040103', 0.891), ('CIDH920104', 0.89), ('CIDH920105', 0.882), ('CORJ870101', 0.882), ('PONP800103', 0.879), ('PONP930101', 0.877), ('DESM900102', 0.876), ('NISK800101', 0.873), ('ROSM880105', 0.871), ('BASU050103', 0.868), ('PONP800102', 0.867), ('JANJ780102', 0.862), ('PONP800101', 0.86), ('CIDH920103', 0.86), ('PLIV810101', 0.858), ('JANJ790102', 0.856), ('PONP800108', 0.854), ('WARP780101', 0.853), ('CORJ870107', 0.85), ('MANP780101', 0.847), ('EISD860103', 0.845), ('CORJ870103', 0.84), ('BASU050102', 0.838), ('CIDH920102', 0.837), ('EISD860101', 0.832), ('NAKH900110', 0.829), ('CORJ870105', 0.823), ('MEEJ810101', 0.822), ('DESM900101', 0.821), ('ROBB790101', 0.821), ('CIDH920101', 0.819), ('CORJ870106', 0.818), ('GUOD860101', 0.817), ('CORJ870104', 0.815), ('PONP800107', 0.814), ('EISD840101', 0.814), ('BASU050101', 0.812), ('BLAS910101', 0.809), ('JURD980101', 0.805), ('NADH010101', 0.804), ('KARP850101', -0.804), ('KUHL950101', -0.809), ('JANJ780101', -0.809), ('FUKS010102', -0.81), ('PARS000101', -0.813), ('GUYH850103', -0.818), ('WOEC730101', -0.819), ('ROSM880101', -0.824), ('VINM940102', -0.826), ('CORJ870108', -0.831), ('ROSM880102', -0.837), ('WOLS870101', -0.842), ('LEVM760101', -0.847), ('GUYH850104', -0.855), ('KARP850102', -0.859), ('JANJ780103', -0.86), ('PUNT030102', -0.86), ('HOPT810101', -0.864), ('PARJ860101', -0.875), ('RACS770101', -0.875), ('KRIW790101', -0.876), ('OOBM770101', -0.877), ('KRIW790102', -0.878), ('GRAR740102', -0.881), ('GUYH850101', -0.885), ('FUKS010104', -0.887), ('PUNT030101', -0.888), ('VINM940103', -0.889), ('KIDA850101', -0.892), ('MIYS990101', -0.901), ('MIYS990102', -0.902), ('GUYH850102', -0.903), ('RACS770103', -0.906), ('MIYS990103', -0.923), ('OOBM770103', -0.925), ('FASG890101', -0.928), ('VINM940101', -0.929), ('MIYS990104', -0.932), ('RACS770102', -0.932), ('MEIH800101', -0.937), ('MIYS990105', -0.947), ('MEIH800102', -0.951)]","Biou, V., Gibrat, J.F., Levin, J.M., Robson, B. and Garnier, J.",Secondary structure prediction: combination of three different methods,"Protein Engineering 2, 185-191 (1988)",PMID:3237683,indices,"H,Hydrophobicity"
BROC820101,"Retention coefficient in TFA (Browne et al., 1982)","[('BROC820102', 0.925), ('ZIMJ680105', 0.896), ('MEEJ800102', 0.877), ('TAKK010101', 0.836), ('GUOD860101', 0.832), ('NAKH900110', 0.83), ('NOZY710101', 0.829), ('MEEJ810102', 0.82), ('RADA880102', 0.811), ('BULH740101', -0.815), ('PARJ860101', -0.849), ('WOLS870101', -0.871)]","Browne, C.A., Bennett, H.P.J. and Solomon, S.",The isolation of peptides by high-performance liquid chromatography using predicted elution positions,"Anal. Biochem. 124, 201-208 (1982)",PMID:7125223,indices,"H,Hydrophobicity"
BROC820102,"Retention coefficient in HFBA (Browne et al., 1982)","[('BROC820101', 0.925), ('ZIMJ680105', 0.865), ('MEEJ800102', 0.857), ('MEEJ800101', 0.84), ('TAKK010101', 0.839)]","Browne, C.A., Bennett, H.P.J. and Solomon, S.",The isolation of peptides by high-performance liquid chromatography using predicted elution positions,"Anal. Biochem. 124, 201-208 (1982)",PMID:7125223,indices,"H,Hydrophobicity"
BULH740101,"Transfer free energy to surface (Bull-Breese, 1974)","[('WOLS870101', 0.929), ('PARJ860101', 0.909), ('MIYS990101', 0.884), ('MIYS990102', 0.88), ('GRAR740102', 0.822), ('GUYH850103', 0.82), ('COWR900101', -0.804), ('ROBB790101', -0.813), ('BROC820101', -0.815), ('LEVM760106', -0.818), ('ZHOH040103', -0.828), ('CIDH920104', -0.829), ('FAUJ830101', -0.83), ('BASU050103', -0.833), ('EISD860101', -0.833), ('MIYS850101', -0.838), ('WILM950101', -0.845), ('BASU050102', -0.845), ('CIDH920103', -0.848), ('CIDH920102', -0.851), ('JOND750101', -0.853), ('ARGP820101', -0.854), ('BASU050101', -0.854), ('RADA880102', -0.856), ('ZHOH040102', -0.86), ('BLAS910101', -0.86), ('TAKK010101', -0.865), ('CIDH920105', -0.871), ('GOLD730101', -0.874), ('MEEJ800102', -0.875), ('ZHOH040101', -0.876), ('MEEJ810101', -0.876), ('ZIMJ680105', -0.879), ('MEEJ810102', -0.88), ('ROSM880104', -0.884), ('NOZY710101', -0.892), ('SIMZ760101', -0.894), ('VENT840101', -0.907), ('PLIV810101', -0.912), ('GUOD860101', -0.922), ('SWER830101', -0.923), ('CORJ870102', -0.923)]","Bull, H.B. and Breese, K.",Surface tension of amino acid solutions: A hydrophobicity scale of the amino acid residues,"Arch. Biochem. Biophys. 161, 665-670 (1974)",PMID:4839053,indices,"H,Hydrophobicity"
BULH740102,"Apparent partial specific volume (Bull-Breese, 1974)","[('COHE430101', 0.923), ('ZIMJ680102', 0.825), ('GOLD730101', 0.825), ('SIMZ760101', 0.815)]","Bull, H.B. and Breese, K.",Surface tension of amino acid solutions: A hydrophobicity scale of the amino acid residues,"Arch. Biochem. Biophys. 161, 665-670 (1974) (Tyr !)",PMID:4839053,indices,"P,Physicochemical properties"
BUNA790101,"alpha-NH chemical shifts (Bundi-Wuthrich, 1979)","[('BLAM930101', 0.945), ('ONEK900101', 0.902), ('ROBB760104', 0.823), ('FAUJ880113', 0.818), ('CHOP780213', -0.822), ('ISOY800104', -0.842), ('MUNV940104', -0.865), ('TANS770104', -0.867), ('MUNV940105', -0.874), ('GEOR030109', -0.901), ('AVBF000104', -0.922), ('ONEK900102', -0.949), ('FINA910102', -0.992)]","Bundi, A. and Wuthrich, K.",1H-nmr parameters of the common amino acid residues measured in aqueous solutions of the linear tetrapeptides H-Gly-Gly-X-L-Ala-OH,"Biopolymers 18, 285-297 (1979) (Pro !)",,indices,"A,alpha and turn propensities"
BUNA790102,"alpha-CH chemical shifts (Bundi-Wuthrich, 1979)","[('ANDN920101', 0.949)]","Bundi, A. and Wuthrich, K.",1H-nmr parameters of the common amino acid residues measured in aqueous solutions of the linear tetrapeptides H-Gly-Gly-X-L-Ala-OH,"Biopolymers 18, 285-297 (1979)",,indices,"P,Physicochemical properties"
BUNA790103,"Spin-spin coupling constants 3JHalpha-NH (Bundi-Wuthrich, 1979)",[],"Bundi, A. and Wuthrich, K.",1H-nmr parameters of the common amino acid residues measured in aqueous solutions of the linear tetrapeptides H-Gly-Gly-X-L-Ala-OH,"Biopolymers 18, 285-297 (1979) (Met Pro Trp !)",,indices,"A,alpha and turn propensities"
BURA740101,"Normalized frequency of alpha-helix (Burgess et al., 1974)","[('CHOP780201', 0.917), ('TANS770101', 0.917), ('ROBB760101', 0.912), ('CRAJ730101', 0.9), ('PALJ810102', 0.9), ('NAGK730101', 0.883), ('GEIM800101', 0.858), ('KANM800101', 0.855), ('MAXF760101', 0.852), ('PALJ810101', 0.85), ('ISOY800101', 0.839), ('LEVM780104', 0.833), ('GEIM800104', 0.819), ('KANM800103', 0.81), ('RACS820108', 0.809), ('AURR980108', 0.808), ('PRAM900102', 0.805), ('LEVM780101', 0.805), ('NAGK730103', -0.83)]","Burgess, A.W., Ponnuswamy, P.K. and Scheraga, H.A.",Analysis of conformations of amino acid residues and prediction of backbone topography in proteins,"Isr. J. Chem. 12, 239-286 (1974)",,indices,"A,alpha and turn propensities"
BURA740102,"Normalized frequency of extended structure (Burgess et al., 1974)","[('ROBB760105', 0.821)]","Burgess, A.W., Ponnuswamy, P.K. and Scheraga, H.A.",Analysis of conformations of amino acid residues and prediction of backbone topography in proteins,"Isr. J. Chem. 12, 239-286 (1974)",,indices,"B,beta propensity"
CHAM810101,"Steric parameter (Charton, 1981)","[('FAUJ880102', 0.881), ('LEVM760104', -0.818), ('KIMC930101', -0.848)]","Charton, M.",Protein folding and the genetic code: An alternative quantitative model,"J. Theor. Biol. 91, 115-123 (1981) (Pro !)",PMID:7300379,indices,"O,Other properties"
CHAM820101,"Polarizability parameter (Charton-Charton, 1982)","[('FAUJ880103', 0.992), ('CHOC750101', 0.982), ('TSAJ990102', 0.978), ('TSAJ990101', 0.977), ('GOLD730102', 0.967), ('CHOC760101', 0.966), ('BIGC670101', 0.966), ('KRIW790103', 0.963), ('FASG760101', 0.962), ('GRAR740103', 0.951), ('PONJ960101', 0.938), ('HARY940101', 0.933), ('ROSG850101', 0.917), ('LEVM760102', 0.915), ('LEVM760105', 0.915), ('FAUJ880106', 0.902), ('CHAM830106', 0.899), ('LEVM760107', 0.891), ('MCMT640101', 0.871), ('DAWD720101', 0.865), ('RADA880106', 0.847), ('ZHOH040102', 0.826), ('LEVM760106', 0.818), ('HUTJ700102', 0.815), ('CHAM830105', 0.809), ('SNEP660103', 0.808), ('RADA880103', -0.912)]","Charton, M. and Charton, B.I.",The structural dependence of amino acid hydrophobicity parameters,"J. Theor. Biol. 99, 629-644 (1982) (Pro 0.018)",PMID:7183857,indices,"P,Physicochemical properties"
CHAM820102,"Free energy of solution in water, kcal/mole (Charton-Charton, 1982)",[],"Charton, M. and Charton, B.I.",The structural dependence of amino acid hydrophobicity parameters,"J. Theor. Biol. 99, 629-644 (1982) (Asn His Lys Thr !)",PMID:7183857,indices,"H,Hydrophobicity"
CHAM830101,"The Chou-Fasman parameter of the coil conformation (Charton-Charton, 1983)","[('CHOP780101', 0.946), ('CHOP780216', 0.942), ('PALJ810106', 0.939), ('GEIM800111', 0.938), ('CHOP780203', 0.931), ('QIAN880132', 0.925), ('TANS770110', 0.917), ('GEIM800108', 0.916), ('QIAN880133', 0.913), ('LEVM780103', 0.909), ('PRAM900104', 0.909), ('CHOP780210', 0.905), ('LEVM780106', 0.9), ('ISOY800103', 0.881), ('QIAN880131', 0.86), ('NAGK730103', 0.857), ('ROBB760113', 0.841), ('QIAN880134', 0.841), ('PALJ810105', 0.826), ('CRAJ730103', 0.821), ('QIAN880135', 0.814), ('ROBB760108', 0.812), ('ROBB760110', 0.804), ('AVBF000102', -0.803), ('QIAN880105', -0.803), ('PALJ810102', -0.808), ('FAUJ880102', -0.809), ('ISOY800101', -0.815), ('RICJ880109', -0.826), ('CHOP780201', -0.828), ('AURR980113', -0.828), ('ROBB760101', -0.828), ('AURR980108', -0.834), ('PTIO830101', -0.841), ('AURR980114', -0.842), ('BEGF750101', -0.854), ('QIAN880106', -0.856), ('QIAN880107', -0.858), ('ROBB760103', -0.878), ('KANM800103', -0.889), ('SUEM840101', -0.891), ('AURR980109', -0.896)]","Charton, M. and Charton, B.",The dependence of the Chou-Fasman parameters on amino acid side chain structure,"J. Theor. Biol. 111, 447-450 (1983)",PMID:6876837,indices,"A,alpha and turn propensities"
CHAM830102,"A parameter defined from the residuals obtained from the best correlation of the Chou-Fasman parameter of beta-sheet (Charton-Charton, 1983)",[],"Charton, M. and Charton, B.",The dependence of the Chou-Fasman parameters on amino acid side chain structure,"J. Theor. Biol. 111, 447-450 (1983) (Pro !)",PMID:6876837,indices,"A,alpha and turn propensities"
CHAM830103,"The number of atoms in the side chain labelled 1+1 (Charton-Charton, 1983)","[('AVBF000101', 0.843)]","Charton, M. and Charton, B.",The dependence of the Chou-Fasman parameters on amino acid side chain structure,"J. Theor. Biol. 111, 447-450 (1983) (Pro !)",PMID:6876837,indices,"P,Physicochemical properties"
CHAM830104,"The number of atoms in the side chain labelled 2+1 (Charton-Charton, 1983)",[],"Charton, M. and Charton, B.",The dependence of the Chou-Fasman parameters on amino acid side chain structure,"J. Theor. Biol. 111, 447-450 (1983) (Pro !)",PMID:,indices,"O,Other properties"
CHAM830105,"The number of atoms in the side chain labelled 3+1 (Charton-Charton, 1983)","[('CHAM830106', 0.874), ('LEVM760102', 0.843), ('FASG760101', 0.839), ('CHOC760101', 0.833), ('LEVM760105', 0.829), ('FAUJ880103', 0.813), ('CHAM820101', 0.809), ('RADA880103', -0.808)]","Charton, M. and Charton, B.",The dependence of the Chou-Fasman parameters on amino acid side chain structure,"J. Theor. Biol. 111, 447-450 (1983) (Pro !)",PMID:6876837,indices,"P,Physicochemical properties"
CHAM830106,"The number of bonds in the longest chain (Charton-Charton, 1983)","[('LEVM760102', 0.962), ('LEVM760105', 0.958), ('FASG760101', 0.943), ('CHOC760101', 0.937), ('FAUJ880103', 0.927), ('RADA880106', 0.922), ('PONJ960101', 0.917), ('CHOC750101', 0.906), ('CHAM820101', 0.899), ('TSAJ990102', 0.896), ('HARY940101', 0.894), ('GRAR740103', 0.89), ('TSAJ990101', 0.889), ('KRIW790103', 0.876), ('CHAM830105', 0.874), ('BIGC670101', 0.87), ('GOLD730102', 0.869), ('OOBM770102', 0.858), ('FAUJ880106', 0.845), ('FAUJ880104', 0.817), ('RADA880103', -0.901)]","Charton, M. and Charton, B.",The dependence of the Chou-Fasman parameters on amino acid side chain structure,"J. Theor. Biol. 111, 447-450 (1983) (Pro !)",PMID:6876837,indices,"P,Physicochemical properties"
CHAM830107,"A parameter of charge transfer capability (Charton-Charton, 1983)",[],"Charton, M. and Charton, B.",The dependence of the Chou-Fasman parameters on amino acid side chain structure,"J. Theor. Biol. 111, 447-450 (1983) (Pro !)",PMID:6876837,indices,"B,beta propensity"
CHAM830108,"A parameter of charge transfer donor capability (Charton-Charton, 1983)",[],"Charton, M. and Charton, B.",The dependence of the Chou-Fasman parameters on amino acid side chain structure,"J. Theor. Biol. 111, 447-450 (1983) (Pro !)",PMID:6876837,indices,"C,Composition"
CHOC750101,"Average volume of buried residue (Chothia, 1975)","[('TSAJ990102', 0.996), ('TSAJ990101', 0.995), ('FAUJ880103', 0.99), ('BIGC670101', 0.99), ('GOLD730102', 0.989), ('CHAM820101', 0.982), ('KRIW790103', 0.982), ('CHOC760101', 0.981), ('GRAR740103', 0.973), ('PONJ960101', 0.966), ('HARY940101', 0.961), ('FASG760101', 0.956), ('LEVM760105', 0.939), ('LEVM760102', 0.933), ('ROSG850101', 0.908), ('CHAM830106', 0.906), ('DAWD720101', 0.901), ('FAUJ880106', 0.888), ('RADA880106', 0.867), ('LEVM760107', 0.858), ('ZHOH040102', 0.856), ('LEVM760106', 0.841), ('MCMT640101', 0.822), ('HUTJ700102', 0.802), ('RADA880103', -0.892)]","Chothia, C.",Structural invariants in protein folding,"Nature 254, 304-308 (1975) (Arg missing)",PMID:1118010,indices,"P,Physicochemical properties"
CHOC760101,"Residue accessible surface area in tripeptide (Chothia, 1976)","[('FAUJ880103', 0.985), ('CHOC750101', 0.981), ('FASG760101', 0.978), ('LEVM760102', 0.972), ('TSAJ990102', 0.972), ('LEVM760105', 0.968), ('TSAJ990101', 0.968), ('CHAM820101', 0.966), ('PONJ960101', 0.961), ('GOLD730102', 0.96), ('BIGC670101', 0.96), ('KRIW790103', 0.948), ('HARY940101', 0.946), ('GRAR740103', 0.945), ('CHAM830106', 0.937), ('DAWD720101', 0.901), ('FAUJ880106', 0.898), ('RADA880106', 0.875), ('WOLS870102', 0.845), ('ROSG850101', 0.842), ('FAUJ880104', 0.835), ('CHAM830105', 0.833), ('OOBM770102', 0.824), ('HUTJ700102', 0.819), ('MCMT640101', 0.809), ('LEVM760107', 0.807), ('RADA880103', -0.924)]","Chothia, C.",The nature of the accessible and buried surfaces in proteins,"J. Mol. Biol. 105, 1-14 (1976)",PMID:994183,indices,"P,Physicochemical properties"
CHOC760102,"Residue accessible surface area in folded protein (Chothia, 1976)","[('JANJ780101', 0.973), ('GUYH850104', 0.97), ('JANJ780103', 0.959), ('GUYH850105', 0.946), ('OOBM770101', 0.925), ('FAUJ880109', 0.872), ('ROSM880102', 0.845), ('MEIH800102', 0.839), ('PRAM900101', 0.826), ('ENGD860101', 0.826), ('PUNT030101', 0.809), ('RACS770102', 0.809), ('GUYH850101', 0.807), ('KIDA850101', 0.804), ('MEIH800103', -0.802), ('EISD860103', -0.802), ('JACR890101', -0.803), ('NADH010104', -0.809), ('JANJ790101', -0.809), ('RADA880101', -0.814), ('ROSG850102', -0.819), ('DESM900102', -0.823), ('RADA880104', -0.83), ('WOLR790101', -0.834), ('KYTJ820101', -0.838), ('WOLR810101', -0.84), ('NADH010103', -0.84), ('CHOC760104', -0.845), ('WARP780101', -0.849), ('JURD980101', -0.851), ('OLSK800101', -0.886), ('EISD840101', -0.892), ('NADH010102', -0.893), ('CHOC760103', -0.912), ('RADA880107', -0.925), ('JANJ780102', -0.935), ('JANJ790102', -0.969)]","Chothia, C.",The nature of the accessible and buried surfaces in proteins,"J. Mol. Biol. 105, 1-14 (1976)",PMID:994183,indices,"H,Hydrophobicity"
CHOC760103,"Proportion of residues 95% buried (Chothia, 1976)","[('OLSK800101', 0.981), ('JURD980101', 0.967), ('KYTJ820101', 0.964), ('JANJ780102', 0.95), ('NADH010102', 0.91), ('CHOC760104', 0.907), ('JANJ790102', 0.905), ('EISD860103', 0.892), ('JANJ790101', 0.887), ('EISD840101', 0.885), ('NADH010101', 0.881), ('DESM900102', 0.877), ('NADH010103', 0.875), ('WOLR810101', 0.873), ('RADA880107', 0.87), ('MEIH800103', 0.865), ('MANP780101', 0.859), ('WOLR790101', 0.857), ('RADA880101', 0.853), ('ROSG850102', 0.851), ('NADH010104', 0.848), ('PONP800103', 0.837), ('PONP800102', 0.836), ('PONP800101', 0.83), ('RADA880108', 0.83), ('WARP780101', 0.824), ('NAKH920108', 0.824), ('BIOV880101', 0.823), ('CORJ870101', 0.822), ('RADA880104', 0.821), ('COWR900101', 0.82), ('PONP930101', 0.816), ('PONP800107', 0.813), ('MIYS850101', 0.81), ('LIFS790102', 0.81), ('PONP800108', 0.809), ('BASU050103', 0.805), ('MIYS990101', -0.803), ('MIYS990102', -0.805), ('FAUJ880109', -0.806), ('ENGD860101', -0.813), ('PRAM900101', -0.814), ('ROSM880101', -0.819), ('FASG890101', -0.849), ('GUYH850101', -0.856), ('PUNT030101', -0.859), ('KUHL950101', -0.865), ('ROSM880102', -0.869), ('RACS770102', -0.875), ('JANJ780103', -0.888), ('JANJ780101', -0.892), ('MEIH800102', -0.894), ('OOBM770101', -0.902), ('GUYH850104', -0.907), ('CHOC760102', -0.912), ('GUYH850105', -0.933)]","Chothia, C.",The nature of the accessible and buried surfaces in proteins,"J. Mol. Biol. 105, 1-14 (1976)",PMID:994183,indices,"H,Hydrophobicity"
